task,AA_wechsel-robust-german-from-640k-en,german-t5-base-nl36,green-run-640k-english-source,t5-base-original
OVERALL,0.2410625267055975,0.23757299529981485,0.24619000142429853,0.2299529981484119
abstract_algebra,0.28,0.26,0.33,0.22
anatomy,0.23703703703703705,0.24444444444444444,0.25925925925925924,0.18518518518518517
astronomy,0.3026315789473684,0.18421052631578946,0.25,0.18421052631578946
business_ethics,0.23,0.28,0.25,0.3
clinical_knowledge,0.22641509433962265,0.26037735849056604,0.23773584905660378,0.20754716981132076
college_biology,0.2638888888888889,0.2222222222222222,0.24305555555555555,0.2569444444444444
college_chemistry,0.18,0.27,0.2,0.21
college_computer_science,0.2,0.22,0.19,0.26
college_mathematics,0.21,0.25,0.2,0.21
college_medicine,0.2774566473988439,0.2774566473988439,0.2543352601156069,0.21965317919075145
college_physics,0.22549019607843138,0.22549019607843138,0.17647058823529413,0.20588235294117646
computer_security,0.29,0.26,0.27,0.28
conceptual_physics,0.25957446808510637,0.26382978723404255,0.2765957446808511,0.25957446808510637
econometrics,0.22807017543859648,0.22807017543859648,0.24561403508771928,0.23684210526315788
electrical_engineering,0.27586206896551724,0.21379310344827587,0.2689655172413793,0.23448275862068965
elementary_mathematics,0.21693121693121692,0.21164021164021163,0.24603174603174602,0.20899470899470898
formal_logic,0.2857142857142857,0.31746031746031744,0.23015873015873015,0.31746031746031744
global_facts,0.23,0.19,0.27,0.18
high_school_biology,0.23548387096774193,0.2,0.24193548387096775,0.18064516129032257
high_school_chemistry,0.2315270935960591,0.21674876847290642,0.29064039408866993,0.15270935960591134
high_school_computer_science,0.27,0.24,0.3,0.25
high_school_european_history,0.2787878787878788,0.21212121212121213,0.2787878787878788,0.21818181818181817
high_school_geography,0.2222222222222222,0.20707070707070707,0.23737373737373738,0.17676767676767677
high_school_government_and_politics,0.21761658031088082,0.2538860103626943,0.22797927461139897,0.19689119170984457
high_school_macroeconomics,0.23076923076923078,0.24871794871794872,0.1794871794871795,0.2153846153846154
high_school_mathematics,0.22962962962962963,0.2074074074074074,0.2740740740740741,0.21481481481481482
high_school_microeconomics,0.23949579831932774,0.19327731092436976,0.21008403361344538,0.21008403361344538
high_school_physics,0.16556291390728478,0.18543046357615894,0.18543046357615894,0.1986754966887417
high_school_psychology,0.24403669724770644,0.22935779816513763,0.23302752293577983,0.1963302752293578
high_school_statistics,0.25462962962962965,0.17592592592592593,0.16666666666666666,0.1574074074074074
high_school_us_history,0.21568627450980393,0.25,0.23529411764705882,0.25
high_school_world_history,0.2911392405063291,0.270042194092827,0.2616033755274262,0.2742616033755274
human_aging,0.21076233183856502,0.336322869955157,0.3273542600896861,0.31390134529147984
human_sexuality,0.2595419847328244,0.2366412213740458,0.22137404580152673,0.25190839694656486
international_law,0.2892561983471074,0.2644628099173554,0.256198347107438,0.2396694214876033
jurisprudence,0.24074074074074073,0.28703703703703703,0.2777777777777778,0.25925925925925924
logical_fallacies,0.2085889570552147,0.2085889570552147,0.25153374233128833,0.22699386503067484
machine_learning,0.25,0.25,0.3125,0.3125
management,0.17475728155339806,0.3106796116504854,0.22330097087378642,0.17475728155339806
marketing,0.2222222222222222,0.25213675213675213,0.24358974358974358,0.2863247863247863
medical_genetics,0.2,0.3,0.18,0.3
miscellaneous,0.26947637292464877,0.26181353767560667,0.2784163473818646,0.23754789272030652
moral_disputes,0.2398843930635838,0.22832369942196531,0.23699421965317918,0.23410404624277456
moral_scenarios,0.23687150837988827,0.24916201117318434,0.2558659217877095,0.23687150837988827
nutrition,0.19934640522875818,0.20915032679738563,0.24836601307189543,0.22875816993464052
philosophy,0.2379421221864952,0.22508038585209003,0.2797427652733119,0.17041800643086816
prehistory,0.24074074074074073,0.2191358024691358,0.2654320987654321,0.2222222222222222
professional_accounting,0.2127659574468085,0.24113475177304963,0.24822695035460993,0.23404255319148937
professional_law,0.25554106910039115,0.24771838331160365,0.242503259452412,0.24641460234680573
professional_medicine,0.23897058823529413,0.17279411764705882,0.20220588235294118,0.18382352941176472
professional_psychology,0.23202614379084968,0.2173202614379085,0.2581699346405229,0.24836601307189543
public_relations,0.20909090909090908,0.22727272727272727,0.3181818181818182,0.21818181818181817
security_studies,0.27346938775510204,0.19591836734693877,0.17142857142857143,0.18775510204081633
sociology,0.24378109452736318,0.24378109452736318,0.22885572139303484,0.24378109452736318
us_foreign_policy,0.24,0.25,0.23,0.3
virology,0.19879518072289157,0.25903614457831325,0.25903614457831325,0.28313253012048195
world_religions,0.28654970760233917,0.28654970760233917,0.2573099415204678,0.3216374269005848
