task,AA_wechsel-robust-german-from-640k-en,german-t5-base-nl36,green-run-640k-english-source,t5-base-original,AA_wechsel-robust-german-from-640k-en_improvement_%,green-run-640k-english-source_improvement_%,t5-base-original_improvement_%
OVERALL,0.2410625267055975,0.23757299529981485,0.24619000142429853,0.2299529981484119,1.47,3.63,-3.21
abstract_algebra,0.28,0.26,0.33,0.22,7.69,26.92,-15.38
anatomy,0.23703703703703705,0.24444444444444444,0.25925925925925924,0.18518518518518517,-3.03,6.06,-24.24
astronomy,0.3026315789473684,0.18421052631578946,0.25,0.18421052631578946,64.29,35.71,0.0
business_ethics,0.23,0.28,0.25,0.3,-17.86,-10.71,7.14
clinical_knowledge,0.22641509433962265,0.26037735849056604,0.23773584905660378,0.20754716981132076,-13.04,-8.7,-20.29
college_biology,0.2638888888888889,0.2222222222222222,0.24305555555555555,0.2569444444444444,18.75,9.38,15.62
college_chemistry,0.18,0.27,0.2,0.21,-33.33,-25.93,-22.22
college_computer_science,0.2,0.22,0.19,0.26,-9.09,-13.64,18.18
college_mathematics,0.21,0.25,0.2,0.21,-16.0,-20.0,-16.0
college_medicine,0.2774566473988439,0.2774566473988439,0.2543352601156069,0.21965317919075145,0.0,-8.33,-20.83
college_physics,0.22549019607843138,0.22549019607843138,0.17647058823529413,0.20588235294117646,0.0,-21.74,-8.7
computer_security,0.29,0.26,0.27,0.28,11.54,3.85,7.69
conceptual_physics,0.25957446808510637,0.26382978723404255,0.2765957446808511,0.25957446808510637,-1.61,4.84,-1.61
econometrics,0.22807017543859648,0.22807017543859648,0.24561403508771928,0.23684210526315788,0.0,7.69,3.85
electrical_engineering,0.27586206896551724,0.21379310344827587,0.2689655172413793,0.23448275862068965,29.03,25.81,9.68
elementary_mathematics,0.21693121693121692,0.21164021164021163,0.24603174603174602,0.20899470899470898,2.5,16.25,-1.25
formal_logic,0.2857142857142857,0.31746031746031744,0.23015873015873015,0.31746031746031744,-10.0,-27.5,0.0
global_facts,0.23,0.19,0.27,0.18,21.05,42.11,-5.26
high_school_biology,0.23548387096774193,0.2,0.24193548387096775,0.18064516129032257,17.74,20.97,-9.68
high_school_chemistry,0.2315270935960591,0.21674876847290642,0.29064039408866993,0.15270935960591134,6.82,34.09,-29.55
high_school_computer_science,0.27,0.24,0.3,0.25,12.5,25.0,4.17
high_school_european_history,0.2787878787878788,0.21212121212121213,0.2787878787878788,0.21818181818181817,31.43,31.43,2.86
high_school_geography,0.2222222222222222,0.20707070707070707,0.23737373737373738,0.17676767676767677,7.32,14.63,-14.63
high_school_government_and_politics,0.21761658031088082,0.2538860103626943,0.22797927461139897,0.19689119170984457,-14.29,-10.2,-22.45
high_school_macroeconomics,0.23076923076923078,0.24871794871794872,0.1794871794871795,0.2153846153846154,-7.22,-27.84,-13.4
high_school_mathematics,0.22962962962962963,0.2074074074074074,0.2740740740740741,0.21481481481481482,10.71,32.14,3.57
high_school_microeconomics,0.23949579831932774,0.19327731092436976,0.21008403361344538,0.21008403361344538,23.91,8.7,8.7
high_school_physics,0.16556291390728478,0.18543046357615894,0.18543046357615894,0.1986754966887417,-10.71,0.0,7.14
high_school_psychology,0.24403669724770644,0.22935779816513763,0.23302752293577983,0.1963302752293578,6.4,1.6,-14.4
high_school_statistics,0.25462962962962965,0.17592592592592593,0.16666666666666666,0.1574074074074074,44.74,-5.26,-10.53
high_school_us_history,0.21568627450980393,0.25,0.23529411764705882,0.25,-13.73,-5.88,0.0
high_school_world_history,0.2911392405063291,0.270042194092827,0.2616033755274262,0.2742616033755274,7.81,-3.12,1.56
human_aging,0.21076233183856502,0.336322869955157,0.3273542600896861,0.31390134529147984,-37.33,-2.67,-6.67
human_sexuality,0.2595419847328244,0.2366412213740458,0.22137404580152673,0.25190839694656486,9.68,-6.45,6.45
international_law,0.2892561983471074,0.2644628099173554,0.256198347107438,0.2396694214876033,9.37,-3.13,-9.38
jurisprudence,0.24074074074074073,0.28703703703703703,0.2777777777777778,0.25925925925925924,-16.13,-3.23,-9.68
logical_fallacies,0.2085889570552147,0.2085889570552147,0.25153374233128833,0.22699386503067484,0.0,20.59,8.82
machine_learning,0.25,0.25,0.3125,0.3125,0.0,25.0,25.0
management,0.17475728155339806,0.3106796116504854,0.22330097087378642,0.17475728155339806,-43.75,-28.12,-43.75
marketing,0.2222222222222222,0.25213675213675213,0.24358974358974358,0.2863247863247863,-11.86,-3.39,13.56
medical_genetics,0.2,0.3,0.18,0.3,-33.33,-40.0,0.0
miscellaneous,0.26947637292464877,0.26181353767560667,0.2784163473818646,0.23754789272030652,2.93,6.34,-9.27
moral_disputes,0.2398843930635838,0.22832369942196531,0.23699421965317918,0.23410404624277456,5.06,3.8,2.53
moral_scenarios,0.23687150837988827,0.24916201117318434,0.2558659217877095,0.23687150837988827,-4.93,2.69,-4.93
nutrition,0.19934640522875818,0.20915032679738563,0.24836601307189543,0.22875816993464052,-4.69,18.75,9.37
philosophy,0.2379421221864952,0.22508038585209003,0.2797427652733119,0.17041800643086816,5.71,24.29,-24.29
prehistory,0.24074074074074073,0.2191358024691358,0.2654320987654321,0.2222222222222222,9.86,21.13,1.41
professional_accounting,0.2127659574468085,0.24113475177304963,0.24822695035460993,0.23404255319148937,-11.76,2.94,-2.94
professional_law,0.25554106910039115,0.24771838331160365,0.242503259452412,0.24641460234680573,3.16,-2.11,-0.53
professional_medicine,0.23897058823529413,0.17279411764705882,0.20220588235294118,0.18382352941176472,38.3,17.02,6.38
professional_psychology,0.23202614379084968,0.2173202614379085,0.2581699346405229,0.24836601307189543,6.77,18.8,14.29
public_relations,0.20909090909090908,0.22727272727272727,0.3181818181818182,0.21818181818181817,-8.0,40.0,-4.0
security_studies,0.27346938775510204,0.19591836734693877,0.17142857142857143,0.18775510204081633,39.58,-12.5,-4.17
sociology,0.24378109452736318,0.24378109452736318,0.22885572139303484,0.24378109452736318,0.0,-6.12,0.0
us_foreign_policy,0.24,0.25,0.23,0.3,-4.0,-8.0,20.0
virology,0.19879518072289157,0.25903614457831325,0.25903614457831325,0.28313253012048195,-23.26,0.0,9.3
world_religions,0.28654970760233917,0.28654970760233917,0.2573099415204678,0.3216374269005848,0.0,-10.2,12.24
