Category,Metric,Before_Mean,Before_Std,After_Mean,After_Std,Diff_Mean,Pct_Change,N_Before,N_After
DOC_STATS,digit_ratio,0.015613,0.008911,0.011960,0.007339,-0.003653,-23.397169,10030761,10027111
DOC_STATS,elipsis_ratio,0.000151,0.001478,0.000110,0.000591,-0.000041,-27.152318,10030761,10027111
DOC_STATS,length,30914.251255,36599.486519,29403.319109,37346.435103,-1510.932146,-4.887494,10030761,10027111
DOC_STATS,non_alpha_digit_ratio,0.189765,0.012530,0.185890,0.011780,-0.003875,-2.041999,10030761,10027111
DOC_STATS,punctuation_ratio,0.029567,0.006239,0.027350,0.006162,-0.002217,-7.498224,10030761,10027111
DOC_STATS,uppercase_ratio,0.030389,0.014122,0.029229,0.014742,-0.001160,-3.817171,10030761,10027111
DOC_STATS,white_space_ratio,0.159477,0.009360,0.158166,0.008862,-0.001311,-0.822062,10030761,10027111
LANG_STATS,fasttext_en,0.933636,0.023715,0.937529,0.022884,0.003893,0.416972,10030761,10027111
LINE_STATS,avg_line_length,271.405051,154.971691,360.880827,185.283598,89.475776,32.967616,10030761,10027111
LINE_STATS,bullet_point_lines_ratio,0.007268,0.024004,0.007929,0.027742,0.000661,9.094662,10030761,10027111
LINE_STATS,line_char_duplicates,0.002383,0.013830,0.000929,0.009400,-0.001454,-61.015527,10030761,10027111
LINE_STATS,line_duplicates,0.380510,0.117603,0.309377,0.126235,-0.071133,-18.694121,10030761,10027111
LINE_STATS,lines_ending_with_terminal_mark_ratio,0.059378,0.077796,0.060656,0.104422,0.001278,2.152312,10030761,10027111
LINE_STATS,long_line_ratio_chars_10000,0.000061,0.002041,0.000081,0.002487,0.000020,32.786885,10030761,10027111
LINE_STATS,long_line_ratio_chars_2000,0.014945,0.029822,0.021478,0.040740,0.006533,43.713617,10030761,10027111
LINE_STATS,n_lines,134.388248,175.710919,93.535103,131.812275,-40.853145,-30.399343,10030761,10027111
LINE_STATS,short_line_ratio_chars_10,0.446515,0.120289,0.363819,0.119028,-0.082696,-18.520318,10030761,10027111
LINE_STATS,short_line_ratio_chars_30,0.529703,0.133633,0.439984,0.142239,-0.089719,-16.937605,10030761,10027111
PARAGRAPH_STATS,avg_paragraph_length,975.808643,979.968077,1210.336082,1154.855607,234.527439,24.034163,10030761,10027111
PARAGRAPH_STATS,long_paragraph_ratio_1000,0.227077,0.123494,0.288511,0.146533,0.061434,27.054259,10030761,10027111
PARAGRAPH_STATS,n_paragraphs,41.940316,50.541605,32.633093,42.356831,-9.307223,-22.191590,10030761,10027111
PARAGRAPH_STATS,paragraph_char_duplicates,0.001163,0.008494,0.000546,0.005717,-0.000617,-53.052451,10030761,10027111
PARAGRAPH_STATS,paragraph_duplicates,0.013015,0.041209,0.007762,0.026577,-0.005253,-40.361122,10030761,10027111
PARAGRAPH_STATS,short_paragraph_ratio_100,0.490920,0.129836,0.436364,0.134593,-0.054556,-11.113012,10030761,10027111
PERPLEXITY_STATS_WIKIPEDIA,ccnet_perplexity_wikipedia_en,571.069100,226.347820,548.306777,195.428891,-22.762323,-3.985914,10030761,10027111
SENTENCE_STATS,avg_sentence_length,148.966550,170.683257,151.226418,118.854316,2.259868,1.517031,10030761,10027111
SENTENCE_STATS,long_sentence_ratio_75,0.788466,0.107124,0.811937,0.103004,0.023471,2.976793,10030761,10027111
SENTENCE_STATS,n_sentences,213.272753,260.363521,198.484316,262.100468,-14.788437,-6.934049,10030761,10027111
SENTENCE_STATS,short_sentence_ratio_20,0.072959,0.068259,0.051257,0.057012,-0.021702,-29.745473,10030761,10027111
TOKEN_STATS,token_count,6845.538861,8112.095852,6923.226385,8672.939418,77.687524,1.134864,10030761,10027111
WORD_STATS,avg_word_length,4.615908,0.292523,4.647047,0.294192,0.031139,0.674602,10030761,10027111
WORD_STATS,avg_words_per_line,49.769101,28.551639,65.830568,34.183918,16.061467,32.271965,10030761,10027111
WORD_STATS,capitalized_word_ratio,0.088365,0.030588,0.086315,0.031537,-0.002050,-2.319923,10030761,10027111
WORD_STATS,long_word_ratio_7,0.272250,0.041150,0.275779,0.041776,0.003529,1.296235,10030761,10027111
WORD_STATS,n_words,5689.196202,6827.345761,5380.268740,6962.972256,-308.927462,-5.430072,10030761,10027111
WORD_STATS,short_word_ratio_3,0.472205,0.036717,0.466825,0.036686,-0.005380,-1.139336,10030761,10027111
WORD_STATS,stop_word_ratio,0.149033,0.022615,0.152857,0.022832,0.003824,2.565875,10030761,10027111
WORD_STATS,type_token_ratio,0.275682,0.107908,0.283564,0.111674,0.007882,2.859091,10030761,10027111
WORD_STATS,uppercase_word_ratio,0.028906,0.021684,0.028148,0.022143,-0.000758,-2.622293,10030761,10027111
