category,metric,mean,std,variance,cv,iqr,min,max,p25,p50,p75,p95,p99,n_samples,data_source
DOC_STATS,length__tokens,22318.696386,15070.084451,227107445.360188,0.675222,21590.000000,1.000000,597847.000000,10201.000000,19992.000000,31791.000000,49690.000000,63743.000000,8412879,histogram
DOC_STATS,length__chars,22318.701691,15070.082314,227107380.941739,0.675222,21590.000000,3.000000,597847.000000,10201.000000,19992.000000,31791.000000,49690.000000,63743.000000,8412877,histogram
DOC_STATS,white_space_ratio__tokens,0.158166,0.008797,0.000077,0.055619,0.011000,0.000000,0.245000,0.152000,0.157000,0.163000,0.174000,0.182000,10025571,histogram
DOC_STATS,uppercase_ratio__chars,0.028857,0.013702,0.000188,0.474811,0.016000,0.000000,1.000000,0.019000,0.026000,0.035000,0.055000,0.074000,10024714,histogram
DOC_STATS,elipsis_ratio__tokens,0.000086,0.000518,0.000000,6.031337,0.000000,0.000000,0.050000,0.000000,0.000000,0.000000,0.001000,0.002000,10026413,histogram
DOC_STATS,elipsis_ratio__chars,0.000086,0.000518,0.000000,6.031337,0.000000,0.000000,0.050000,0.000000,0.000000,0.000000,0.001000,0.002000,10026413,histogram
DOC_STATS,uppercase_ratio__tokens,0.028857,0.013702,0.000188,0.474811,0.016000,0.000000,1.000000,0.019000,0.026000,0.035000,0.055000,0.074000,10024714,histogram
DOC_STATS,non_alpha_digit_ratio__chars,0.185820,0.011740,0.000138,0.063181,0.014000,0.000000,0.308000,0.178000,0.185000,0.192000,0.207000,0.219000,10025191,histogram
DOC_STATS,digit_ratio__chars,0.011903,0.007307,0.000053,0.613893,0.010000,0.000000,0.134000,0.006000,0.011000,0.016000,0.025000,0.033000,10026123,histogram
DOC_STATS,non_alpha_digit_ratio__tokens,0.185820,0.011746,0.000138,0.063211,0.014000,0.000000,1.000000,0.178000,0.185000,0.192000,0.207000,0.219000,10025193,histogram
DOC_STATS,punctuation_ratio__tokens,0.027261,0.006107,0.000037,0.224020,0.008000,0.000000,0.111000,0.023000,0.027000,0.031000,0.038000,0.046000,10026091,histogram
DOC_STATS,digit_ratio__tokens,0.011903,0.007307,0.000053,0.613893,0.010000,0.000000,0.134000,0.006000,0.011000,0.016000,0.025000,0.033000,10026123,histogram
DOC_STATS,punctuation_ratio__chars,0.027261,0.006107,0.000037,0.224020,0.008000,0.000000,0.111000,0.023000,0.027000,0.031000,0.038000,0.046000,10026091,histogram
DOC_STATS,white_space_ratio__chars,0.158166,0.008797,0.000077,0.055619,0.011000,0.000000,0.245000,0.152000,0.157000,0.163000,0.174000,0.182000,10025571,histogram
SENTENCE_STATS,n_sentences__chars,184.676036,175.064790,30647.680619,0.947956,167.000000,1.000000,5953.000000,77.000000,151.000000,244.000000,440.000000,793.000000,9972744,histogram
SENTENCE_STATS,short_sentence_ratio_20__chars,0.050262,0.055112,0.003037,1.096488,0.064000,0.000000,1.000000,0.010000,0.033000,0.074000,0.158000,0.246000,10022852,histogram
SENTENCE_STATS,long_sentence_ratio_75__chars,0.813824,0.101302,0.010262,0.124476,0.126000,0.000000,1.000000,0.759000,0.828000,0.885000,0.950000,1.000000,10022105,histogram
SENTENCE_STATS,short_sentence_ratio_20__tokens,0.050262,0.055112,0.003037,1.096488,0.064000,0.000000,1.000000,0.010000,0.033000,0.074000,0.158000,0.246000,10022852,histogram
SENTENCE_STATS,n_sentences__tokens,184.676036,175.064790,30647.680619,0.947956,167.000000,1.000000,5953.000000,77.000000,151.000000,244.000000,440.000000,793.000000,9972744,histogram
SENTENCE_STATS,avg_sentence_length__tokens,147.564217,22.687587,514.726617,0.153747,29.248000,1.000000,4091.000000,132.047000,146.082000,161.295000,185.654000,207.378000,7346092,histogram
SENTENCE_STATS,long_sentence_ratio_75__tokens,0.813824,0.101302,0.010262,0.124476,0.126000,0.000000,1.000000,0.759000,0.828000,0.885000,0.950000,1.000000,10022105,histogram
SENTENCE_STATS,avg_sentence_length__chars,147.564257,22.687461,514.720909,0.153746,29.248000,3.000000,4091.000000,132.047000,146.082000,161.295000,185.654000,207.378000,7346090,histogram
PERPLEXITY_STATS_WIKIPEDIA,ccnet_perplexity_wikipedia_en__tokens,538.852450,158.242595,25040.718797,0.293666,190.300000,62.800000,121422.100000,432.400000,516.500000,622.700000,815.700000,974.100000,9881158,histogram
PERPLEXITY_STATS_WIKIPEDIA,ccnet_perplexity_wikipedia_en__chars,538.852450,158.242595,25040.718797,0.293666,190.300000,62.800000,121422.100000,432.400000,516.500000,622.700000,815.700000,974.100000,9881158,histogram
PARAGRAPH_STATS,paragraph_duplicates__chars,0.007504,0.025206,0.000635,3.358782,0.000000,0.000000,0.576000,0.000000,0.000000,0.000000,0.052000,0.128000,10022042,histogram
PARAGRAPH_STATS,short_paragraph_ratio_100__tokens,0.438479,0.132884,0.017658,0.303056,0.132000,0.000000,1.000000,0.382000,0.466000,0.514000,0.600000,0.714000,10021830,histogram
PARAGRAPH_STATS,short_paragraph_ratio_100__chars,0.438479,0.132884,0.017658,0.303056,0.132000,0.000000,1.000000,0.382000,0.466000,0.514000,0.600000,0.714000,10021830,histogram
PARAGRAPH_STATS,n_paragraphs__chars,31.681225,36.477094,1330.578376,1.151379,29.000000,1.000000,1154.000000,11.000000,23.000000,40.000000,88.000000,185.000000,10017691,histogram
PARAGRAPH_STATS,long_paragraph_ratio_1000__tokens,0.288748,0.143907,0.020709,0.498383,0.164000,0.000000,1.000000,0.200000,0.286000,0.364000,0.500000,0.727000,10023613,histogram
PARAGRAPH_STATS,long_paragraph_ratio_1000__chars,0.288748,0.143907,0.020709,0.498383,0.164000,0.000000,1.000000,0.200000,0.286000,0.364000,0.500000,0.727000,10023613,histogram
PARAGRAPH_STATS,paragraph_duplicates__tokens,0.007504,0.025206,0.000635,3.358782,0.000000,0.000000,0.576000,0.000000,0.000000,0.000000,0.052000,0.128000,10022042,histogram
PARAGRAPH_STATS,paragraph_char_duplicates__tokens,0.000458,0.003784,0.000014,8.257324,0.000000,0.000000,0.553000,0.000000,0.000000,0.000000,0.002000,0.008000,10022306,histogram
PARAGRAPH_STATS,avg_paragraph_length__chars,1086.051318,701.199487,491680.720854,0.645641,657.000000,3.000000,25930.000000,650.000000,914.683000,1307.000000,2376.333000,3684.500000,3118669,histogram
PARAGRAPH_STATS,avg_paragraph_length__tokens,1086.050622,701.199801,491681.160564,0.645642,657.000000,1.000000,25930.000000,650.000000,914.683000,1307.000000,2376.333000,3684.500000,3118671,histogram
PARAGRAPH_STATS,paragraph_char_duplicates__chars,0.000458,0.003784,0.000014,8.257324,0.000000,0.000000,0.553000,0.000000,0.000000,0.000000,0.002000,0.008000,10022306,histogram
PARAGRAPH_STATS,n_paragraphs__tokens,31.681225,36.477094,1330.578376,1.151379,29.000000,1.000000,1154.000000,11.000000,23.000000,40.000000,88.000000,185.000000,10017691,histogram
WORD_STATS,uppercase_word_ratio__chars,0.027819,0.021365,0.000456,0.768010,0.026000,0.000000,1.000000,0.012000,0.023000,0.038000,0.070000,0.097000,10024771,histogram
WORD_STATS,n_words__tokens,4533.683408,3277.334859,10740923.780621,0.722886,4426.000000,1.000000,111629.000000,1983.000000,3952.000000,6409.000000,10504.000000,13962.000000,9658872,histogram
WORD_STATS,avg_word_length__tokens,4.648960,0.288159,0.083036,0.061984,0.381000,1.000000,16.000000,4.460000,4.652000,4.841000,5.116000,5.321000,10002953,histogram
WORD_STATS,uppercase_word_ratio__tokens,0.027819,0.021365,0.000456,0.768010,0.026000,0.000000,1.000000,0.012000,0.023000,0.038000,0.070000,0.097000,10024771,histogram
WORD_STATS,short_word_ratio_3__chars,0.466807,0.036662,0.001344,0.078537,0.048000,0.000000,1.000000,0.442000,0.465000,0.490000,0.529000,0.561000,10023141,histogram
WORD_STATS,capitalized_word_ratio__tokens,0.085417,0.030336,0.000920,0.355157,0.031000,0.000000,1.000000,0.066000,0.079000,0.097000,0.140000,0.195000,10022360,histogram
WORD_STATS,avg_words_per_line__tokens,61.183045,24.780897,614.092847,0.405029,28.993000,1.000000,975.000000,44.250000,57.049000,73.243000,106.250000,140.714000,7642045,histogram
WORD_STATS,short_word_ratio_3__tokens,0.466807,0.036662,0.001344,0.078539,0.048000,0.000000,1.000000,0.442000,0.465000,0.490000,0.529000,0.561000,10023143,histogram
WORD_STATS,capitalized_word_ratio__chars,0.085417,0.030336,0.000920,0.355157,0.031000,0.000000,1.000000,0.066000,0.079000,0.097000,0.140000,0.195000,10022360,histogram
WORD_STATS,long_word_ratio_7__tokens,0.276127,0.041593,0.001730,0.150631,0.055000,0.000000,1.000000,0.249000,0.276000,0.304000,0.344000,0.374000,10023172,histogram
WORD_STATS,type_token_ratio__chars,0.280207,0.107883,0.011639,0.385010,0.125000,0.039000,1.000000,0.206000,0.252000,0.331000,0.494000,0.615000,10022766,histogram
WORD_STATS,long_word_ratio_7__chars,0.276127,0.041593,0.001730,0.150631,0.055000,0.000000,1.000000,0.249000,0.276000,0.304000,0.344000,0.374000,10023172,histogram
WORD_STATS,type_token_ratio__tokens,0.280207,0.107883,0.011639,0.385010,0.125000,0.039000,1.000000,0.206000,0.252000,0.331000,0.494000,0.615000,10022766,histogram
WORD_STATS,n_words__chars,4533.683408,3277.334859,10740923.780621,0.722886,4426.000000,1.000000,111629.000000,1983.000000,3952.000000,6409.000000,10504.000000,13962.000000,9658872,histogram
WORD_STATS,stop_word_ratio__chars,0.153137,0.022680,0.000514,0.148105,0.029000,0.000000,0.375000,0.138000,0.152000,0.167000,0.192000,0.214000,10024953,histogram
WORD_STATS,avg_words_per_line__chars,61.183045,24.780897,614.092847,0.405029,28.993000,1.000000,975.000000,44.250000,57.049000,73.243000,106.250000,140.714000,7642045,histogram
WORD_STATS,avg_word_length__chars,4.648961,0.288155,0.083033,0.061983,0.381000,1.000000,16.000000,4.460000,4.652000,4.841000,5.116000,5.321000,10002951,histogram
WORD_STATS,stop_word_ratio__tokens,0.153137,0.022680,0.000514,0.148105,0.029000,0.000000,0.375000,0.138000,0.152000,0.167000,0.192000,0.214000,10024953,histogram
LANG_STATS,fasttext_en__chars,0.937605,0.021851,0.000477,0.023305,0.028000,0.000000,0.998000,0.925000,0.939000,0.953000,0.970000,0.980000,10023827,histogram
LANG_STATS,fasttext_en__tokens,0.937605,0.021855,0.000478,0.023309,0.028000,0.000000,0.998000,0.925000,0.939000,0.953000,0.970000,0.980000,10023829,histogram
LINE_STATS,lines_ending_with_terminal_mark_ratio__chars,0.058237,0.101655,0.010334,1.745526,0.042000,0.000000,1.000000,0.006000,0.018000,0.048000,0.315000,0.382000,10025613,histogram
LINE_STATS,short_line_ratio_chars_30__chars,0.440033,0.140765,0.019815,0.319897,0.197000,0.000000,1.000000,0.348000,0.451000,0.545000,0.646000,0.702000,10023765,histogram
LINE_STATS,long_line_ratio_chars_2000__tokens,0.021473,0.039967,0.001597,1.861241,0.028000,0.000000,1.000000,0.000000,0.006000,0.028000,0.091000,0.176000,10023817,histogram
LINE_STATS,line_duplicates__chars,0.309636,0.124317,0.015455,0.401495,0.154000,0.000000,0.901000,0.239000,0.321000,0.393000,0.494000,0.546000,10023467,histogram
LINE_STATS,short_line_ratio_chars_30__tokens,0.440033,0.140765,0.019815,0.319897,0.197000,0.000000,1.000000,0.348000,0.451000,0.545000,0.646000,0.702000,10023765,histogram
LINE_STATS,bullet_point_lines_ratio__chars,0.007811,0.026304,0.000692,3.367416,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.047000,0.131000,10021325,histogram
LINE_STATS,line_duplicates__tokens,0.309636,0.124317,0.015455,0.401495,0.154000,0.000000,0.901000,0.239000,0.321000,0.393000,0.494000,0.546000,10023467,histogram
LINE_STATS,avg_line_length__tokens,334.228014,128.078820,16404.184083,0.383208,148.793000,1.000000,3801.000000,247.167000,312.154000,395.960000,572.333000,746.000000,3427237,histogram
LINE_STATS,bullet_point_lines_ratio__tokens,0.007811,0.026304,0.000692,3.367416,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.047000,0.131000,10021325,histogram
LINE_STATS,n_lines__tokens,88.130139,97.383548,9483.555496,1.104997,76.000000,1.000000,3184.000000,35.000000,67.000000,111.000000,221.000000,491.000000,9997715,histogram
LINE_STATS,line_char_duplicates__tokens,0.000763,0.005955,0.000035,7.808961,0.000000,0.000000,0.520000,0.000000,0.000000,0.000000,0.003000,0.014000,10021112,histogram
LINE_STATS,short_line_ratio_chars_10__tokens,0.363723,0.117326,0.013765,0.322570,0.155000,0.000000,1.000000,0.291000,0.368000,0.446000,0.541000,0.595000,10023475,histogram
LINE_STATS,short_line_ratio_chars_10__chars,0.363723,0.117326,0.013765,0.322570,0.155000,0.000000,1.000000,0.291000,0.368000,0.446000,0.541000,0.595000,10023475,histogram
