category,metric,mean,std,variance,cv,iqr,min,max,p25,p50,p75,p95,p99,n_samples,data_source
PARAGRAPH_STATS,avg_paragraph_length__chars,915.510826,774.082447,599203.634844,0.845520,555.976000,39.667000,49293.000000,504.224000,717.412000,1060.200000,2118.429000,4015.000000,9589426,histogram
PARAGRAPH_STATS,long_paragraph_ratio_1000__chars,0.227067,0.123491,0.015250,0.543851,0.136000,0.000000,1.000000,0.150000,0.211000,0.286000,0.444000,0.667000,10030723,histogram
PARAGRAPH_STATS,n_paragraphs__chars,41.900521,49.871491,2487.165628,1.190236,38.000000,1.000000,2024.000000,15.000000,32.000000,53.000000,108.000000,237.000000,10030506,histogram
PARAGRAPH_STATS,paragraph_duplicates__chars,0.013009,0.041172,0.001695,3.164845,0.000000,0.000000,0.842000,0.000000,0.000000,0.000000,0.077000,0.226000,10030701,histogram
PARAGRAPH_STATS,paragraph_char_duplicates__chars,0.001152,0.008348,0.000070,7.245312,0.000000,0.000000,0.632000,0.000000,0.000000,0.000000,0.003000,0.027000,10030677,histogram
PARAGRAPH_STATS,short_paragraph_ratio_100__chars,0.490916,0.129836,0.016857,0.264477,0.128000,0.000000,1.000000,0.438000,0.500000,0.566000,0.667000,0.750000,10030734,histogram
SENTENCE_STATS,long_sentence_ratio_75__chars,0.788469,0.107119,0.011475,0.135858,0.141000,0.000000,1.000000,0.724000,0.800000,0.865000,0.941000,1.000000,10030737,histogram
SENTENCE_STATS,n_sentences__chars,212.834172,255.309254,65182.815253,1.199569,185.000000,1.000000,8352.000000,84.000000,165.000000,269.000000,502.000000,1141.000000,10029993,histogram
SENTENCE_STATS,short_sentence_ratio_20__chars,0.072954,0.068248,0.004658,0.935492,0.091000,0.000000,0.800000,0.019000,0.056000,0.110000,0.205000,0.286000,10030714,histogram
SENTENCE_STATS,avg_sentence_length__chars,147.394338,35.518442,1261.559719,0.240976,37.382000,38.000000,19654.000000,126.751000,144.235000,164.133000,199.920000,234.496000,9988573,histogram
LINE_STATS,n_lines__chars,134.105527,172.063241,29605.758962,1.283044,117.000000,1.000000,6281.000000,49.000000,101.000000,166.000000,335.000000,800.000000,10030101,histogram
LINE_STATS,long_line_ratio_chars_2000__chars,0.014942,0.029803,0.000888,1.994524,0.019000,0.000000,1.000000,0.000000,0.004000,0.019000,0.063000,0.134000,10030718,histogram
LINE_STATS,avg_line_length__chars,264.297820,132.678286,17603.527608,0.502003,150.323000,15.215000,4888.000000,172.828000,233.959000,323.151000,515.022000,702.382000,9888193,histogram
LINE_STATS,line_char_duplicates__chars,0.002366,0.013669,0.000187,5.777100,0.001000,0.000000,0.830000,0.000000,0.000000,0.001000,0.008000,0.052000,10030664,histogram
LINE_STATS,line_duplicates__chars,0.380510,0.117601,0.013830,0.309063,0.148000,0.000000,0.977000,0.312000,0.389000,0.460000,0.560000,0.611000,10030738,histogram
LINE_STATS,bullet_point_lines_ratio__chars,0.007264,0.023944,0.000573,3.296444,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.042000,0.114000,10030693,histogram
LINE_STATS,short_line_ratio_chars_30__chars,0.529703,0.133633,0.017858,0.252279,0.171000,0.000000,0.991000,0.455000,0.549000,0.626000,0.708000,0.759000,10030753,histogram
