,217k,225k,232k,235k,237k,AVG
"Professional Medicine (Base: 0.227, +26.4%)",-18.994413407821227,97.6536312849162,-7.653631284916205,87.93296089385473,-27.094972067039112,26.36871508379887
"Security Studies (Base: 0.231, +25.2%)",-18.856447688564472,60.52311435523116,7.603406326034065,72.87104622871048,4.075425790754265,25.2433090024331
"College Chemistry (Base: 0.229, +24.0%)",-12.65060240963855,79.06626506024095,-3.9156626506024104,79.06626506024095,-21.385542168674704,24.036144578313248
"Management (Base: 0.234, +14.7%)",-25.21489971346704,57.87965616045846,-0.2865329512893908,57.87965616045846,-16.905444126074496,14.6704871060172
"Astronomy (Base: 0.241, +13.6%)",-29.00188323917136,39.26553672316386,-7.156308851224087,39.26553672316386,25.61205273069682,13.596986817325819
"Formal Logic (Base: 0.234, +10.4%)",21.962616822429908,55.84112149532711,-18.69158878504673,28.738317757009348,-35.63084112149533,10.44392523364486
"High School Government And Politics (Base: 0.246, +10.1%)",-17.745454545454535,49.74545454545456,-9.309090909090905,34.981818181818205,-7.199999999999987,10.094545454545466
"High School Psychology (Base: 0.240, +9.4%)",-17.405063291139257,45.30590717299576,-10.522151898734194,36.89345991561179,-7.463080168776387,9.361814345991544
"High School Statistics (Base: 0.226, +9.1%)",-32.31966053748233,105.09193776520507,4.596888260254577,-26.166902404526184,-5.657708628005672,9.108910891089094
"High School Biology (Base: 0.242, +8.9%)",-29.300827966881336,30.726770929162804,6.715731370745151,32.06071757129712,4.047838086476515,8.85004599816005
"High School Physics (Base: 0.240, +8.2%)",-17.221693625118938,35.2045670789724,-3.4253092293054275,13.13035204567079,13.13035204567079,8.163653663177923
"College Physics (Base: 0.238, +8.1%)",-9.246088193456622,56.756756756756744,7.254623044096707,-5.1209103840682895,-9.246088193456622,8.079658605974384
"Security Studies Stderr (Base: 0.027, +7.4%)",-5.674166840252411,16.709511815691293,4.447734603875361,18.33055489743172,3.2779654389551744,7.418319983140227
"High School European History (Base: 0.242, +7.2%)",-9.844559585492219,2.6770293609671962,17.7029360967185,7.68566493955097,17.7029360967185,7.184801381692589
"Sociology (Base: 0.245, +7.1%)",5.4545454545454595,5.4545454545454595,13.566433566433581,9.51048951048952,1.3986013986014108,7.0769230769230855
"Clinical Knowledge (Base: 0.245, +6.2%)",-10.721868365180457,21.602972399150747,6.210191082802555,24.681528662420384,-10.721868365180457,6.210191082802555
"Anatomy (Base: 0.249, +6.1%)",-31.44912641315519,-7.6053442959917765,31.14080164439878,4.316546762589924,34.12127440904419,6.104830421377185
"Professional Medicine Stderr (Base: 0.025, +5.8%)",-5.072078410915832,21.88717957222098,-0.25545796391402875,21.205904450829163,-8.934963006019865,5.766116928440082
"College Chemistry Stderr (Base: 0.042, +5.5%)",-3.2920804282845086,18.91043927938076,0.15224551507275882,18.91043927938076,-7.115076435796105,5.513193441950733
"International Law (Base: 0.258, +5.5%)",-4.079382579933832,8.710033076074989,24.69680264608601,-45.64498346196251,43.88092613009924,5.5126791620727795
"High School Chemistry (Base: 0.246, +4.7%)",-35.822959889349924,14.315352697095438,10.304287690179814,14.315352697095438,20.3319502074689,4.688796680497933
"College Mathematics (Base: 0.238, +4.2%)",-11.739130434782613,30.289855072463766,-15.942028985507243,13.478260869565222,5.072463768115941,4.231884057971015
"College Biology (Base: 0.250, +4.1%)",5.7581573896353095,5.7581573896353095,2.975047984644894,2.975047984644894,2.975047984644894,4.08829174664106
"Management Stderr (Base: 0.041, +4.1%)",-8.646372375351076,16.072291655804218,1.694917615266384,16.072291655804218,-4.844449448697721,4.069735820565205
"Nutrition (Base: 0.246, +4.1%)",-8.421052631578954,19.4508009153318,-7.093821510297495,14.14187643020594,2.1967963386727574,4.054919908466809
"Astronomy Stderr (Base: 0.034, +3.9%)",-10.937073964424076,11.678812545385608,-1.438915215261192,11.678812545385608,8.656787590604797,3.927684700338149
"Electrical Engineering (Base: 0.253, +3.8%)",-1.69491525423728,-4.425612052730684,9.227871939736355,-1.69491525423728,17.419962335216578,3.766478342749538
"High School Us History (Base: 0.248, +3.7%)",0.9556313993173976,2.9351535836177316,2.9351535836177316,6.8941979522184225,4.914675767918088,3.726962457337874
"High School Macroeconomics (Base: 0.239, +3.6%)",-13.096559378468381,52.34924158342579,-6.659267480577151,-3.4406215316315354,-10.950795412504647,3.6403995560488154
"Formal Logic Stderr (Base: 0.037, +3.0%)",8.62504254509839,15.766089613104075,-5.580181516633891,10.354637585035348,-13.954899976150244,3.042137650090736
"Business Ethics (Base: 0.247, +2.9%)",21.508379888268152,-14.944134078212295,17.458100558659208,-2.79329608938548,-6.843575418994412,2.8770949720670345
"High School Government And Politics Stderr (Base: 0.031, +2.8%)",-5.720271823304511,13.22302334516442,-2.2975363179492723,10.537719373136563,-1.4979814782354415,2.8489906197623514
