,510k,517k,520k,532k,577k,AVG
"High School Statistics (Base: 0.226, +35.4%)",105.09193776520507,-5.657708628005672,-26.166902404526184,-5.657708628005672,109.19377652050915,35.36067892503534
"Security Studies (Base: 0.231, +28.1%)",69.34306569343066,5.839416058394164,-13.564476885644758,4.075425790754265,74.63503649635038,28.06569343065694
"Professional Medicine (Base: 0.227, +26.0%)",97.6536312849162,-25.474860335195533,-14.134078212290508,-27.094972067039112,99.27374301675977,26.044692737430164
"College Chemistry (Base: 0.229, +21.4%)",79.06626506024095,-21.385542168674704,-8.283132530120486,-21.385542168674704,79.06626506024095,21.415662650602403
"Astronomy (Base: 0.241, +20.7%)",36.53483992467047,25.61205273069682,-23.540489642184546,25.61205273069682,39.26553672316386,20.696798493408686
"Management (Base: 0.234, +20.5%)",70.34383954154728,-16.905444126074496,8.022922636103157,-16.905444126074496,57.87965616045846,20.48710601719198
"High School Geography (Base: 0.239, +19.5%)",43.62709395484342,5.608157319737813,-4.952658412235977,5.608157319737813,47.85142024763293,19.5484340859432
"High School Biology (Base: 0.242, +17.1%)",30.726770929162804,9.383624655013788,9.383624655013788,4.047838086476515,32.06071757129712,17.120515179392804
"High School Macroeconomics (Base: 0.239, +15.7%)",54.49500554938954,-10.950795412504647,-7.732149463559031,-10.950795412504647,53.422123566407656,15.656677765445773
"College Computer Science (Base: 0.238, +15.3%)",43.105950653120495,9.433962264150964,-28.447024673439753,9.433962264150964,43.105950653120495,15.326560232220634
"High School Physics (Base: 0.240, +14.8%)",37.963843958135115,13.13035204567079,-28.258801141769744,13.13035204567079,37.963843958135115,14.785918173168415
"High School Psychology (Base: 0.240, +14.7%)",45.30590717299576,-7.463080168776387,-1.3449367088607764,-7.463080168776387,44.541139240506304,14.715189873417703
"College Physics (Base: 0.238, +14.7%)",56.756756756756744,-9.246088193456622,-25.746799431009965,-9.246088193456622,60.881934566145055,14.679943100995718
"College Mathematics (Base: 0.238, +13.5%)",30.289855072463766,5.072463768115941,0.8695652173912991,5.072463768115941,26.086956521739125,13.478260869565213
"High School Microeconomics (Base: 0.241, +12.2%)",44.65144230769229,-12.860576923076927,-0.6610576923076935,-12.860576923076927,42.90865384615384,12.235576923076916
"High School Government And Politics (Base: 0.246, +12.2%)",49.74545454545456,-7.199999999999987,-21.96363636363636,-7.199999999999987,47.63636363636366,12.203636363636376
"College Medicine (Base: 0.242, +11.3%)",40.93904448105438,-6.836902800658969,-18.7808896210873,2.7182866556836958,38.55024711696871,11.317957166392103
"High School European History (Base: 0.242, +10.2%)",5.1813471502590716,17.7029360967185,5.1813471502590716,17.7029360967185,5.1813471502590716,10.189982728842843
"Formal Logic (Base: 0.234, +9.1%)",55.84112149532711,-35.63084112149533,5.02336448598131,-35.63084112149533,55.84112149532711,9.088785046728974
"High School Chemistry (Base: 0.246, +8.7%)",10.304287690179814,-29.806362378976477,24.343015214384522,20.3319502074689,18.326417704011064,8.699861687413565
"High School Statistics Stderr (Base: 0.028, +8.4%)",23.41801548837939,1.3334761032051505,-7.756225130540827,1.3334761032051505,23.566878488715343,8.37912421059284
"Philosophy (Base: 0.251, +8.0%)",-3.7610619469026476,19.33628318584072,7.78761061946904,19.33628318584072,-2.477876106194685,8.04424778761063
"Security Studies Stderr (Base: 0.027, +8.0%)",17.9108979098884,3.869175740546272,-3.3835065069663544,3.2779654389551744,18.527526411037318,8.040411798692162
"Anatomy (Base: 0.249, +7.9%)",-7.6053442959917765,10.277492291880787,7.2970195272353555,34.12127440904419,-4.624871531346346,7.893114080164443
"Clinical Knowledge (Base: 0.245, +6.5%)",21.602972399150747,-9.182590233545639,10.828025477707012,-10.721868365180457,20.063694267515928,6.518046709129519
"Astronomy Stderr (Base: 0.034, +6.4%)",11.124571841148754,8.656787590604797,-8.311499362154692,8.656787590604797,11.678812545385608,6.361092041117852
"High School Geography Stderr (Base: 0.030, +5.9%)",12.239600536228638,2.691817356295325,-0.946015000215523,2.691817356295325,12.99883986092499,5.935212021905751
"High School Computer Science (Base: 0.246, +5.8%)",-22.72089761570828,34.221598877980355,5.750350631136038,34.221598877980355,-22.72089761570828,5.750350631136037
"Management Stderr (Base: 0.041, +5.7%)",17.75188155310948,-4.844449448697721,4.498996245379065,-4.844449448697721,16.072291655804218,5.726854111379465
"High School Biology Stderr (Base: 0.024, +5.5%)",9.13403014140433,3.5269869929506994,3.5269869929506856,1.8522245308226197,9.430415930708143,5.494128917767296
"Elementary Mathematics (Base: 0.250, +5.4%)",6.858810653046353,6.858810653046353,-0.5472455308281569,6.858810653046353,6.858810653046353,5.377599416271451
"Professional Medicine Stderr (Base: 0.025, +4.8%)",21.88717957222098,-8.131713041753754,-2.928335834950644,-8.934963006019865,21.977063202458396,4.773846178391023
"College Computer Science Stderr (Base: 0.042, +4.7%)",12.72566834625505,4.379190991691189,-10.612889324819447,4.379190991691189,12.72566834625505,4.719365870214606
"Logical Fallacies (Base: 0.257, +4.7%)",-9.150865622423757,24.319868095630653,0.41220115416322706,17.14756801319042,-9.150865622423757,4.715581203627357
"High School Mathematics (Base: 0.249, +4.7%)",2.6153846153846105,5.589743589743589,4.1025641025641,5.589743589743589,5.589743589743589,4.697435897435897
"Nutrition (Base: 0.246, +4.6%)",18.123569794050344,-9.748283752860425,-5.766590389016024,2.1967963386727574,18.123569794050344,4.585812356979399
"High School Us History (Base: 0.248, +4.5%)",2.9351535836177316,4.914675767918088,6.8941979522184225,4.914675767918088,2.9351535836177316,4.518771331058012
"College Mathematics Stderr (Base: 0.043, +4.5%)",9.104799148973832,2.1501709790373864,0.7513511022165831,2.1501709790373864,8.10557951730406,4.45241434531385
"College Chemistry Stderr (Base: 0.042, +4.4%)",18.91043927938076,-7.115076435796105,-1.5251694169122143,-7.115076435796105,18.91043927938076,4.41311125405142
"Sociology (Base: 0.245, +4.2%)",9.51048951048952,5.4545454545454595,1.3986013986014108,1.3986013986014108,3.4265734265734413,4.237762237762249
"High School Psychology Stderr (Base: 0.018, +4.2%)",12.370281295296778,-1.9977369443616424,0.23098803900984452,-1.9977369443616424,12.231919858909828,4.167543060898633
"High School Physics Stderr (Base: 0.035, +4.2%)",10.986374633030872,4.884725829598153,-10.963996712536343,4.884725829598153,10.986374633030872,4.155640842544342
"High School Macroeconomics Stderr (Base: 0.021, +3.8%)",13.948756180807548,-3.35730700178991,-2.108088977435408,-3.35730700178991,13.782974989621533,3.7818056378827705
"College Biology (Base: 0.250, +3.5%)",5.7581573896353095,-5.374280230326307,5.7581573896353095,2.975047984644894,8.541266794625702,3.531669865642982
"Moral Disputes (Base: 0.250, +3.5%)",-14.536041417761838,16.64675428116289,13.181999203504603,16.64675428116289,-14.536041417761838,3.4806849860613425
"High School Microeconomics Stderr (Base: 0.028, +3.5%)",12.413511036733466,-3.910143686089894,0.6677431689593823,-3.910143686089894,12.09412275214497,3.4710179171316065
"High School European History Stderr (Base: 0.033, +3.4%)",1.9279874639802155,5.6102768244167605,1.9279874639802363,5.6102768244167605,1.9279874639802155,3.400903208154838
"College Physics Stderr (Base: 0.042, +3.3%)",14.95490423479696,-2.208287240328723,-9.359641565619892,-2.208287240328723,15.544239093987205,3.3445854565013655
"Global Facts (Base: 0.254, +3.2%)",-36.95652173913043,30.027173913043505,22.1467391304348,30.027173913043505,-29.076086956521728,3.233695652173931
"High School Government And Politics Stderr (Base: 0.031, +3.1%)",13.22302334516442,-1.4979814782354415,-7.575136255871068,-1.4979814782354415,12.88265968836595,3.1069167642376834
"College Medicine Stderr (Base: 0.032, +3.0%)",11.325460126082445,-1.8702324648505062,-6.682536408011752,1.4897005888387482,10.861049149711725,3.024688198354132
"High School Chemistry Stderr (Base: 0.030, +3.0%)",4.331623202995654,-11.326791128194067,8.120778198360282,7.1142880931143235,6.588662757282848,2.965712224711808
"Philosophy Stderr (Base: 0.024, +2.9%)",-0.6898002705696029,6.286215423726505,3.076530919722977,6.286215423726505,-0.24195042389523724,2.943442214542229
"Anatomy Stderr (Base: 0.037, +2.9%)",-1.9088459490467409,4.027036694983992,3.133836908184657,9.941039546638168,-0.819583207791434,2.8746967985937286
"Moral Scenarios (Base: 0.250, +2.8%)",9.146999845750429,-1.1414468610211292,-2.036094400740394,-1.1414468610211292,9.146999845750429,2.795002313743641
"Electrical Engineering (Base: 0.253, +2.7%)",-4.425612052730684,17.419962335216578,-12.617702448210915,17.419962335216578,-4.425612052730684,2.6741996233521745
"Clinical Knowledge Stderr (Base: 0.026, +2.2%)",6.83777442615954,-2.833976258227205,3.8962129021170777,-3.427386591430104,6.444424770063168,2.1834098497364955
"Human Sexuality (Base: 0.245, +2.2%)",15.252416756176162,-6.552094522019339,-3.4371643394199785,-6.552094522019339,12.137486573576803,2.1697099892588616
