run_type,checkpoint_type,step,ppl,mmlu_overall,mmlu_humanities,mmlu_stem,mmlu_social_sciences,mmlu_other
baseline,baseline,0,,0.22988,0.24102,0.21503,0.21807,0.23978
baseline,baseline,0,,0.22995,0.24166,0.21313,0.21937,0.23978
baseline,baseline,0,,0.22995,0.24166,0.21313,0.21937,0.23978
flan,best,217000,1363.91,0.22981,0.24208,0.21186,0.21937,0.23978
flan,best,217000,1363.91,0.22945,0.24208,0.2125,0.21709,0.23978
flan,best,225000,1363.69,0.27112,0.24442,0.28513,0.29704,0.27164
flan,best,225000,1363.69,0.26264,0.24378,0.28576,0.27917,0.25137
flan,best,232000,1362.91,0.2516,0.25717,0.25626,0.23854,0.25137
flan,best,232000,1362.91,0.24861,0.2525,0.23533,0.24374,0.26102
flan,best,235000,1362.85,0.25139,0.24081,0.25531,0.26714,0.24783
flan,best,235000,1362.85,0.2531,0.2406,0.25595,0.27137,0.25105
flan,best,237000,1361.84,0.25509,0.2712,0.26261,0.23789,0.2401
flan,best,237000,1361.84,0.25509,0.2712,0.26261,0.23789,0.2401
green,best,510000,1379.22,0.26891,0.24187,0.28481,0.31004,0.25298
green,best,510000,1379.22,0.26891,0.24166,0.28608,0.31069,0.25137
green,best,517000,1379.27,0.25431,0.27333,0.25182,0.23594,0.24622
green,best,517000,1379.27,0.24925,0.26971,0.25119,0.23594,0.22948
green,best,520000,1379.3,0.24868,0.24825,0.24294,0.23692,0.26682
green,best,532000,1379.35,0.25509,0.2712,0.26261,0.23789,0.2401
green,best,532000,1379.35,0.25495,0.27056,0.26134,0.23887,0.24075
green,best,577000,1377.68,0.26919,0.24123,0.2883,0.31037,0.25137
green,best,577000,1377.68,0.26891,0.24166,0.28608,0.31069,0.25137
red,best,627000,1395.72,0.25118,0.25866,0.24897,0.24244,0.25072
red,best,627000,1395.72,0.24156,0.2559,0.23121,0.22814,0.24364
red,best,650000,1395.6,0.26891,0.24166,0.28608,0.31069,0.25137
red,best,650000,1395.6,0.26891,0.24166,0.28608,0.31069,0.25137
red,best,662000,1395.59,0.23964,0.23996,0.22233,0.23074,0.26553
red,best,662000,1395.59,0.24291,0.23294,0.24675,0.24472,0.25233
red,best,665000,1395.32,0.25459,0.27226,0.25975,0.23757,0.23946
red,best,665000,1395.32,0.25523,0.27163,0.26261,0.23789,0.2401
red,best,675000,1395.71,0.24626,0.24506,0.2385,0.23399,0.2681
red,best,675000,1395.71,0.24655,0.24506,0.23882,0.23432,0.26875
unknown,unknown,0,,0.25673,0.23741,0.26578,0.27949,0.25426
unknown,unknown,0,,0.25523,0.2712,0.26292,0.23789,0.24042
unknown,unknown,0,,0.2437,0.25313,0.23977,0.23627,0.24075
unknown,unknown,0,,0.23508,0.2491,0.2236,0.22294,0.23753
unknown,unknown,0,,0.25345,0.26993,0.26166,0.23464,0.23882
unknown,unknown,0,,0.25288,0.23443,0.24421,0.27104,0.27164
unknown,unknown,0,,0.24562,0.2508,0.25785,0.24374,0.22723
unknown,unknown,0,,0.24704,0.24378,0.2385,0.23692,0.27068
unknown,unknown,0,,0.22917,0.24463,0.21123,0.21222,0.24075
unknown,unknown,0,,0.25424,0.26993,0.26292,0.23594,0.23978
unknown,unknown,0,,0.25516,0.27205,0.26102,0.23724,0.24139
unknown,unknown,0,,0.24954,0.26121,0.25278,0.23627,0.24171
unknown,unknown,0,,0.26884,0.24315,0.28354,0.30939,0.25266
unknown,unknown,0,,0.24861,0.25399,0.22804,0.23789,0.27197
unknown,unknown,0,,0.24761,0.24591,0.24136,0.23367,0.27036
unknown,unknown,0,,0.23451,0.24187,0.21884,0.21904,0.25459
unknown,unknown,0,,0.25573,0.23698,0.26927,0.27982,0.24654
unknown,unknown,0,,0.26449,0.25058,0.27688,0.28177,0.25587
unknown,unknown,0,,0.25061,0.25058,0.24707,0.23464,0.27004
unknown,unknown,0,,0.24583,0.24952,0.23533,0.23237,0.26424
unknown,unknown,0,,0.27318,0.2423,0.2883,0.31524,0.26295
unknown,unknown,0,,0.23188,0.244,0.21503,0.22262,0.23978
unknown,unknown,0,,0.23764,0.24357,0.22455,0.22392,0.25555
unknown,unknown,0,,0.25395,0.26865,0.26292,0.23724,0.23914
unknown,unknown,0,,0.24647,0.24527,0.23914,0.23399,0.2681
unknown,unknown,0,,0.2583,0.2644,0.26261,0.26324,0.23978
