,627k,650k,662k,665k,675k,AVG
Professional Medicine (Avg: 0.280),0.17647058823529413,0.4485294117647059,0.40808823529411764,0.16544117647058823,0.20220588235294118,0.2801470588235294
Anatomy (Avg: 0.273),0.28888888888888886,0.22962962962962963,0.2518518518518518,0.3333333333333333,0.25925925925925924,0.2725925925925926
Clinical Knowledge (Avg: 0.263),0.2679245283018868,0.2981132075471698,0.2641509433962264,0.2188679245283019,0.2641509433962264,0.26264150943396225
Security Studies (Avg: 0.272),0.2163265306122449,0.4,0.34285714285714286,0.22857142857142856,0.17142857142857143,0.2718367346938776
Public Relations (Avg: 0.255),0.2727272727272727,0.22727272727272727,0.21818181818181817,0.20909090909090908,0.34545454545454546,0.2545454545454545
High School Computer Science (Avg: 0.258),0.29,0.19,0.26,0.32,0.23,0.258
Abstract Algebra (Avg: 0.264),0.32,0.21,0.22,0.31,0.26,0.264
Philosophy (Avg: 0.258),0.28938906752411575,0.24115755627009647,0.1864951768488746,0.2990353697749196,0.2733118971061093,0.25787781350482314
Astronomy (Avg: 0.270),0.24342105263157895,0.3355263157894737,0.29605263157894735,0.2894736842105263,0.18421052631578946,0.26973684210526316
Global Facts (Avg: 0.258),0.29,0.18,0.19,0.32,0.31,0.258
Electrical Engineering (Avg: 0.261),0.25517241379310346,0.2413793103448276,0.2827586206896552,0.30344827586206896,0.2206896551724138,0.26068965517241377
Econometrics (Avg: 0.261),0.2894736842105263,0.23684210526315788,0.2543859649122807,0.24561403508771928,0.2807017543859649,0.2614035087719298
College Medicine (Avg: 0.260),0.2254335260115607,0.3352601156069364,0.2832369942196532,0.24855491329479767,0.20809248554913296,0.2601156069364162
Elementary Mathematics (Avg: 0.252),0.2566137566137566,0.2671957671957672,0.21164021164021163,0.2724867724867725,0.25396825396825395,0.2523809523809524
Miscellaneous (Avg: 0.257),0.2848020434227331,0.20434227330779056,0.23754789272030652,0.26947637292464877,0.28735632183908044,0.2567049808429119
World Religions (Avg: 0.257),0.28654970760233917,0.17543859649122806,0.3216374269005848,0.29239766081871343,0.21052631578947367,0.2573099415204678
High School Mathematics (Avg: 0.250),0.25555555555555554,0.26296296296296295,0.2111111111111111,0.25925925925925924,0.26296296296296295,0.2503703703703704
Computer Security (Avg: 0.250),0.26,0.18,0.28,0.29,0.24,0.25
Professional Psychology (Avg: 0.258),0.29411764705882354,0.2173202614379085,0.2434640522875817,0.27450980392156865,0.2581699346405229,0.257516339869281
International Law (Avg: 0.263),0.3140495867768595,0.14049586776859505,0.2396694214876033,0.371900826446281,0.24793388429752067,0.2628099173553719
College Mathematics (Avg: 0.256),0.28,0.31,0.21,0.25,0.23,0.256
Logical Fallacies (Avg: 0.259),0.3006134969325153,0.2331288343558282,0.22085889570552147,0.294478527607362,0.24539877300613497,0.2588957055214724
High School Physics (Avg: 0.248),0.25165562913907286,0.33112582781456956,0.1986754966887417,0.2582781456953642,0.1986754966887417,0.24768211920529803
Prehistory (Avg: 0.251),0.25,0.22530864197530864,0.2191358024691358,0.2932098765432099,0.2654320987654321,0.2506172839506173
Nutrition (Avg: 0.251),0.2549019607843137,0.29411764705882354,0.22549019607843138,0.25163398692810457,0.22875816993464052,0.25098039215686274
Moral Disputes (Avg: 0.262),0.30346820809248554,0.2138728323699422,0.24855491329479767,0.30057803468208094,0.24566473988439305,0.26242774566473986
Formal Logic (Avg: 0.256),0.19047619047619047,0.36507936507936506,0.36507936507936506,0.15873015873015872,0.1984126984126984,0.2555555555555556
Sociology (Avg: 0.258),0.2885572139303483,0.26865671641791045,0.24378109452736318,0.24875621890547264,0.23880597014925373,0.25771144278606967
High School Biology (Avg: 0.255),0.27419354838709675,0.3161290322580645,0.18064516129032257,0.25161290322580643,0.25483870967741934,0.25548387096774194
Professional Accounting (Avg: 0.250),0.2375886524822695,0.24113475177304963,0.24468085106382978,0.2695035460992908,0.2553191489361702,0.24964539007092196
High School Geography (Avg: 0.246),0.23232323232323232,0.35353535353535354,0.17676767676767677,0.25252525252525254,0.21717171717171718,0.24646464646464644
Moral Scenarios (Avg: 0.249),0.24692737430167597,0.27262569832402234,0.23798882681564246,0.24692737430167597,0.2424581005586592,0.2493854748603352
High School Government And Politics (Avg: 0.245),0.22279792746113988,0.36787564766839376,0.19689119170984457,0.22797927461139897,0.20725388601036268,0.244559585492228
