,557k,645k,50k,655k,272k,502k,650k,527k,590k,275k,372k,375k,520k,635k,630k,145k,147k,500k,52k,105k,510k,295k,297k,512k,225k,565k,382k,212k,450k,440k,432k,585k,420k,207k,385k,285k,190k,110k,65k,72k,642k,125k,45k,435k,360k,55k,530k,290k,455k,357k,130k,410k,355k,492k,222k,442k,255k,57k,632k,62k,667k,675k,445k,515k,140k,490k,115k,217k,505k,485k,567k,627k,200k,447k,425k,292k,345k,282k,262k,60k,525k,587k,560k,195k,35k,340k,517k,570k,350k,380k,602k,287k,580k,280k,662k,422k,135k,495k,220k,202k,640k,412k,670k,365k,595k,300k,652k,75k,120k,552k,150k,205k,430k,415k,545k,142k,30k,67k,600k,660k,215k,665k,677k,132k,370k,575k,482k,260k,180k,185k,210k,270k,70k,265k,40k,137k,605k,AVG
MMLU OFFICIAL IMPROVEMENT,-1.1148962527098225,-0.4335707649427148,-0.34066274388355383,-0.3096934035305123,-0.247754722824405,-0.247754722824405,-0.21678538247135137,-0.21678538247135137,-0.21678538247135137,-0.21678538247135137,-0.21678538247135137,-0.21678538247135137,-0.21678538247135137,-0.21678538247135137,-0.21678538247135137,-0.21678538247135137,-0.21678538247135137,-0.15484670176525614,0.0,0.09290802105914886,0.15484670176524407,0.5264787860018516,0.7122948281201613,0.8981108702384591,1.0219882316506617,1.3007122948281202,1.6723443790647279,1.79622174047693,2.0130071229482813,2.570455249303187,3.127903375658092,3.2208113967172527,3.4995354598946995,4.056983586249604,4.273768968720968,5.853205326726535,5.915144007432642,6.224837410963143,6.28677609166925,6.689377516258899,6.751316196965005,6.813254877671102,6.813254877671102,6.968101579436357,7.030040260142453,7.061009600495506,7.061009600495506,7.122948281201602,7.153917621554655,7.184886961907709,7.215856302260762,7.215856302260762,7.215856302260762,7.215856302260762,7.215856302260762,7.215856302260762,7.215856302260762,7.215856302260762,7.215856302260762,7.246825642613803,7.246825642613803,7.246825642613803,7.246825642613803,7.277794982966858,7.370703004026007,7.401672344379061,7.432641684732114,7.432641684732114,7.463611025085168,7.525549705791263,7.618457726850411,7.649427067203465,7.649427067203465,7.711365747909572,7.773304428615669,7.866212449674817,8.11396717249922,8.330752554970573,8.361721895323626,8.547537937441923,8.795292660266341,8.91917002167853,8.950139362031585,9.41467946732734,9.445648807680396,9.538556828739555,9.848250232270045,10.034066274388342,10.034066274388342,10.343759677918854,10.46763703933107,10.46763703933107,10.622483741096312,10.653453081449367,10.68442242180242,10.68442242180242,10.87023846392072,10.932177144626825,10.932177144626825,10.932177144626825,10.932177144626825,10.932177144626825,10.932177144626825,10.994115825332909,11.025085165685962,11.025085165685962,11.056054506039017,11.056054506039017,11.17993186745123,11.17993186745123,11.365747909569528,11.79931867451223,12.01610405698358,13.10003096934034,13.131000309693391,13.223908330752554,13.440693713223906,14.989160730876419,15.082068751935578,15.329823474759985,15.546608857231337,15.67048621864355,15.70145555899658,16.0730876432332,16.41375038711674,16.568597088882008,16.723443790647252,16.90925983276555,16.940229173118603,16.940229173118603,16.940229173118603,16.940229173118603,16.940229173118603,17.002167853824712,17.09507587488387,17.28089191700217,17.34283059770828,7.8940170399188
SIMPLE AVERAGE IMPROVEMENT,-0.7877945666235673,-0.4527726509530907,-0.44023679318932446,-0.3300102705411011,-0.12537330762790386,-0.21897537965102956,-0.1891015381167241,-0.22503039912987843,-0.2475112753141064,-0.22503039912987843,-0.24203706944315945,-0.22327064485438672,-0.22503039912987843,-0.22503039912987843,-0.22503039912987843,-0.22503039912987843,-0.22503039912987843,-0.18067055741958887,0.14704590605767345,0.007303308853620652,0.2318610857300655,0.5999995176640572,1.1859802037241483,0.7635486976249556,1.1576376826648307,1.0255259462522868,0.9279019198753296,1.0346299406594428,2.444907392010674,1.8810758562436267,2.5847235203471173,3.580255842977644,3.9565393611848343,2.667373152777337,4.171589815151833,5.808408681379442,4.105742492696624,6.678761099577465,4.630927706185244,5.160149523379923,5.711517495127751,4.745529868032586,5.302638913116838,5.012495806094304,4.84581375573017,5.03458315770746,6.019040287195339,5.282286676096354,5.059616478343974,5.103155896063079,5.172426879803697,5.172426879803697,5.172426879803697,5.172426879803697,5.172426879803697,5.172426879803697,5.172426879803697,5.172426879803697,5.172426879803697,5.318887381344839,5.18997738423693,5.92081874836925,5.1865335239821455,5.148815003426952,5.2782395190745595,5.186990251169449,6.2856980653424115,5.311976986809321,5.7970144620251265,6.15065773012932,5.799449997635182,5.5800201799593525,6.981847488588092,5.755646105743578,5.669409358908567,5.6047948156152145,6.30027852495882,6.0356032853205415,6.328358521335401,6.046577004980069,6.41927282930124,6.657167552091767,7.114248779873054,7.1300376866724555,7.38155403239625,7.403008102963405,7.253991533590923,9.612404076981687,8.82109802642447,7.85118698946373,8.443341807338804,8.097713736654587,8.295021201225648,8.311377091033634,8.439163413436113,8.251244513276268,8.299853221825776,8.464348176083547,8.464348176083547,8.464348176083547,8.464348176083547,8.52935701257652,8.464348176083547,8.506509402415809,8.54905051338135,8.501988916036682,8.772921603649449,8.521290989282232,8.46800150299152,9.13827706668338,8.916330057024574,10.66403536783298,10.144918186138955,11.495957699575701,12.92711496980945,10.034338967394287,10.723179022579478,12.706399526377764,11.71471445333665,13.383657143775755,13.278834315775557,13.297934749128185,13.083214382326014,12.994243597901429,13.644488737026316,14.01747783211762,14.170659594232921,14.689273799082986,14.336845419948821,14.336845419948821,14.336845419948821,14.336845419948821,14.336845419948821,14.432006309617686,14.555981286225881,13.970070316457818,14.415444570344395,6.316207013590383
"High School Chemistry (Base: 0.153, +62.1%)",-3.225806451612899,-3.225806451612899,12.903225806451616,-3.225806451612899,0.0,-6.451612903225816,0.0,0.0,0.0,0.0,6.451612903225798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.451612903225798,0.0,-3.225806451612899,12.903225806451616,6.451612903225798,19.354838709677413,16.129032258064512,9.677419354838698,6.451612903225798,32.258064516129025,-3.225806451612899,41.935483870967744,38.709677419354826,35.48387096774193,41.935483870967744,38.709677419354826,67.74193548387098,77.41935483870968,25.80645161290321,64.51612903225808,58.06451612903226,58.06451612903226,70.96774193548387,77.41935483870968,58.06451612903226,80.64516129032256,74.19354838709677,70.96774193548387,48.38709677419354,58.06451612903226,74.19354838709677,77.41935483870968,77.41935483870968,77.41935483870968,77.41935483870968,77.41935483870968,77.41935483870968,77.41935483870968,77.41935483870968,77.41935483870968,77.41935483870968,80.64516129032256,77.41935483870968,51.61290322580644,77.41935483870968,45.16129032258064,77.41935483870968,90.32258064516127,80.64516129032256,77.41935483870968,80.64516129032256,51.61290322580644,77.41935483870968,83.87096774193546,74.19354838709677,74.19354838709677,83.87096774193546,74.19354838709677,77.41935483870968,61.29032258064515,70.96774193548387,74.19354838709677,58.06451612903226,80.64516129032256,80.64516129032256,90.32258064516127,103.2258064516129,67.74193548387098,74.19354838709677,80.64516129032256,67.74193548387098,80.64516129032256,83.87096774193546,93.5483870967742,100.0,100.0,87.09677419354837,90.32258064516127,103.2258064516129,93.5483870967742,93.5483870967742,93.5483870967742,93.5483870967742,90.32258064516127,93.5483870967742,100.0,100.0,96.7741935483871,90.32258064516127,93.5483870967742,96.7741935483871,90.32258064516127,51.61290322580644,112.9032258064516,109.6774193548387,87.09677419354837,64.51612903225808,74.19354838709677,83.87096774193546,77.41935483870968,96.7741935483871,87.09677419354837,54.83870967741934,83.87096774193546,83.87096774193546,70.96774193548387,83.87096774193546,80.64516129032256,83.87096774193546,93.5483870967742,83.87096774193546,83.87096774193546,83.87096774193546,83.87096774193546,83.87096774193546,83.87096774193546,87.09677419354837,83.87096774193546,103.2258064516129,62.11443371791852
"High School Statistics (Base: 0.157, +47.0%)",0.0,-5.882352941176479,2.9411764705882306,0.0,-5.882352941176479,0.0,-2.9411764705882306,-2.9411764705882306,-2.9411764705882306,-2.9411764705882306,-2.9411764705882306,-2.9411764705882306,-2.9411764705882306,-2.9411764705882306,-2.9411764705882306,-2.9411764705882306,-2.9411764705882306,-2.9411764705882306,-5.882352941176479,0.0,-2.9411764705882306,2.9411764705882306,-5.882352941176479,-2.9411764705882306,0.0,5.882352941176461,-5.882352941176479,-5.882352941176479,8.82352941176471,-5.882352941176479,-11.76470588235294,2.9411764705882306,0.0,14.705882352941172,49.999999999999986,38.23529411764705,17.647058823529402,73.52941176470587,-2.9411764705882306,2.9411764705882306,29.411764705882344,5.882352941176461,38.23529411764705,5.882352941176461,2.9411764705882306,2.9411764705882306,91.17647058823529,5.882352941176461,0.0,2.9411764705882306,2.9411764705882306,2.9411764705882306,2.9411764705882306,2.9411764705882306,2.9411764705882306,2.9411764705882306,2.9411764705882306,2.9411764705882306,2.9411764705882306,5.882352941176461,2.9411764705882306,76.47058823529413,2.9411764705882306,20.58823529411765,2.9411764705882306,-2.9411764705882306,5.882352941176461,2.9411764705882306,5.882352941176461,26.470588235294112,0.0,5.882352941176461,20.58823529411765,0.0,0.0,2.9411764705882306,0.0,64.70588235294116,17.647058823529402,32.35294117647059,14.705882352941172,20.58823529411765,26.470588235294112,82.35294117647058,55.88235294117647,44.11764705882353,26.470588235294112,85.29411764705883,132.35294117647058,61.76470588235294,41.17647058823528,35.29411764705882,32.35294117647059,35.29411764705882,35.29411764705882,38.23529411764705,38.23529411764705,35.29411764705882,35.29411764705882,35.29411764705882,35.29411764705882,35.29411764705882,35.29411764705882,38.23529411764705,35.29411764705882,35.29411764705882,35.29411764705882,35.29411764705882,49.999999999999986,35.29411764705882,120.58823529411764,97.05882352941175,91.17647058823529,114.70588235294117,173.52941176470586,132.35294117647058,88.23529411764704,138.23529411764704,141.1764705882353,161.76470588235296,176.47058823529412,182.35294117647055,155.88235294117646,167.64705882352936,191.17647058823528,197.0588235294118,199.99999999999994,191.17647058823528,199.99999999999994,199.99999999999994,199.99999999999994,199.99999999999994,199.99999999999994,199.99999999999994,199.99999999999994,199.99999999999994,199.99999999999994,46.95148132245598
"Philosophy (Base: 0.170, +46.6%)",18.867924528301895,7.547169811320761,0.0,9.433962264150948,3.773584905660389,9.433962264150948,5.660377358490575,9.433962264150948,9.433962264150948,9.433962264150948,7.547169811320761,11.320754716981133,9.433962264150948,9.433962264150948,9.433962264150948,9.433962264150948,9.433962264150948,11.320754716981133,9.433962264150948,9.433962264150948,11.320754716981133,3.773584905660389,15.094339622641522,30.18867924528303,30.18867924528303,15.094339622641522,11.320754716981133,22.641509433962266,28.30188679245284,30.18867924528303,43.39622641509435,7.547169811320761,7.547169811320761,20.75471698113208,26.41509433962266,77.35849056603773,43.39622641509435,24.528301886792452,60.37735849056604,66.03773584905662,56.60377358490567,58.49056603773587,26.41509433962266,62.264150943396245,60.37735849056604,54.71698113207547,9.433962264150948,77.35849056603773,60.37735849056604,60.37735849056604,60.37735849056604,60.37735849056604,60.37735849056604,60.37735849056604,60.37735849056604,60.37735849056604,60.37735849056604,60.37735849056604,60.37735849056604,60.37735849056604,60.37735849056604,37.73584905660379,60.37735849056604,67.92452830188682,60.37735849056604,71.69811320754718,66.03773584905662,60.37735849056604,54.71698113207547,45.28301886792453,71.69811320754718,60.37735849056604,62.264150943396245,54.71698113207547,66.03773584905662,49.056603773584925,54.71698113207547,47.169811320754725,77.35849056603773,58.49056603773587,64.15094339622641,64.15094339622641,77.35849056603773,43.39622641509435,69.81132075471699,66.03773584905662,66.03773584905662,49.056603773584925,30.18867924528303,67.92452830188682,79.24528301886794,77.35849056603773,75.47169811320757,73.58490566037736,77.35849056603773,71.69811320754718,75.47169811320757,75.47169811320757,75.47169811320757,75.47169811320757,75.47169811320757,75.47169811320757,75.47169811320757,75.47169811320757,75.47169811320757,75.47169811320757,73.58490566037736,79.24528301886794,69.81132075471699,77.35849056603773,33.9622641509434,54.71698113207547,67.92452830188682,39.622641509433976,41.50943396226416,30.18867924528303,58.49056603773587,52.830188679245296,49.056603773584925,45.28301886792453,39.622641509433976,37.73584905660379,43.39622641509435,69.81132075471699,49.056603773584925,37.73584905660379,41.50943396226416,37.73584905660379,41.50943396226416,41.50943396226416,41.50943396226416,41.50943396226416,41.50943396226416,41.50943396226416,41.50943396226416,41.50943396226416,45.28301886792453,46.61892301335905
"Global Facts (Base: 0.180, +43.7%)",-5.555555555555546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.555555555555546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111111111111121,0.0,11.111111111111121,-5.555555555555546,0.0,50.000000000000014,16.666666666666664,0.0,16.666666666666664,-5.555555555555546,33.33333333333333,66.66666666666666,16.666666666666664,22.222222222222225,50.000000000000014,50.000000000000014,5.555555555555561,38.88888888888889,5.555555555555561,-38.888888888888886,66.66666666666666,88.8888888888889,77.77777777777779,72.22222222222223,55.55555555555558,72.22222222222223,66.66666666666666,77.77777777777779,38.88888888888889,50.000000000000014,72.22222222222223,72.22222222222223,72.22222222222223,72.22222222222223,72.22222222222223,72.22222222222223,72.22222222222223,72.22222222222223,72.22222222222223,72.22222222222223,72.22222222222223,77.77777777777779,72.22222222222223,-11.111111111111107,72.22222222222223,50.000000000000014,72.22222222222223,72.22222222222223,133.33333333333331,72.22222222222223,77.77777777777779,55.55555555555558,66.66666666666666,72.22222222222223,66.66666666666666,77.77777777777779,72.22222222222223,66.66666666666666,72.22222222222223,33.33333333333333,83.33333333333334,77.77777777777779,72.22222222222223,66.66666666666666,83.33333333333334,61.11111111111111,66.66666666666666,77.77777777777779,50.000000000000014,61.11111111111111,0.0,83.33333333333334,83.33333333333334,83.33333333333334,77.77777777777779,83.33333333333334,83.33333333333334,77.77777777777779,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,77.77777777777779,55.55555555555558,94.44444444444444,16.666666666666664,38.88888888888889,27.77777777777779,16.666666666666664,22.222222222222225,66.66666666666666,55.55555555555558,22.222222222222225,72.22222222222223,55.55555555555558,0.0,27.77777777777779,27.77777777777779,44.44444444444445,-5.555555555555546,0.0,0.0,5.555555555555561,0.0,0.0,0.0,0.0,0.0,5.555555555555561,0.0,5.555555555555561,-5.555555555555546,43.67396593673966
"Management (Base: 0.175, +36.5%)",5.555555555555554,0.0,0.0,0.0,-5.555555555555554,0.0,5.555555555555554,0.0,0.0,0.0,5.555555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.555555555555554,0.0,0.0,27.77777777777778,5.555555555555554,55.55555555555555,5.555555555555554,11.111111111111107,5.555555555555554,-5.555555555555554,66.66666666666666,16.666666666666657,38.888888888888886,5.555555555555554,22.222222222222214,0.0,5.555555555555554,94.44444444444444,49.99999999999999,94.44444444444444,16.666666666666657,-5.555555555555554,33.33333333333333,27.77777777777778,0.0,49.99999999999999,38.888888888888886,44.444444444444436,38.888888888888886,33.33333333333333,44.444444444444436,44.444444444444436,44.444444444444436,44.444444444444436,44.444444444444436,44.444444444444436,44.444444444444436,44.444444444444436,44.444444444444436,44.444444444444436,44.444444444444436,49.99999999999999,44.444444444444436,33.33333333333333,44.444444444444436,38.888888888888886,44.444444444444436,27.77777777777778,5.555555555555554,44.444444444444436,44.444444444444436,27.77777777777778,49.99999999999999,44.444444444444436,27.77777777777778,44.444444444444436,44.444444444444436,0.0,44.444444444444436,0.0,0.0,44.444444444444436,11.111111111111107,38.888888888888886,16.666666666666657,38.888888888888886,27.77777777777778,16.666666666666657,-5.555555555555554,66.66666666666666,55.55555555555555,16.666666666666657,27.77777777777778,5.555555555555554,11.111111111111107,11.111111111111107,11.111111111111107,11.111111111111107,11.111111111111107,11.111111111111107,11.111111111111107,11.111111111111107,11.111111111111107,11.111111111111107,11.111111111111107,11.111111111111107,11.111111111111107,11.111111111111107,5.555555555555554,11.111111111111107,11.111111111111107,16.666666666666657,61.11111111111109,94.44444444444444,38.888888888888886,100.0,77.77777777777776,72.2222222222222,55.55555555555555,77.77777777777776,38.888888888888886,88.8888888888889,116.66666666666666,94.44444444444444,72.2222222222222,94.44444444444444,111.11111111111111,116.66666666666666,116.66666666666666,77.77777777777776,116.66666666666666,116.66666666666666,116.66666666666666,116.66666666666666,116.66666666666666,116.66666666666666,116.66666666666666,100.0,88.8888888888889,36.53690186536901
"High School Biology (Base: 0.181, +34.5%)",-3.571428571428566,-1.785714285714275,-3.571428571428566,-1.785714285714275,-1.785714285714275,0.0,-1.785714285714275,-1.785714285714275,-1.785714285714275,-1.785714285714275,0.0,-1.785714285714275,-1.785714285714275,-1.785714285714275,-1.785714285714275,-1.785714285714275,-1.785714285714275,0.0,-3.571428571428566,0.0,-3.571428571428566,-1.785714285714275,10.714285714285728,1.7857142857142905,1.7857142857142905,7.142857142857147,-1.785714285714275,8.928571428571438,1.7857142857142905,12.500000000000004,41.07142857142857,1.7857142857142905,14.285714285714294,8.928571428571438,25.000000000000007,7.142857142857147,44.64285714285715,33.928571428571445,33.928571428571445,21.428571428571438,35.714285714285715,39.28571428571428,8.928571428571438,42.85714285714286,41.07142857142857,39.28571428571428,33.928571428571445,42.85714285714286,42.85714285714286,41.07142857142857,41.07142857142857,41.07142857142857,41.07142857142857,41.07142857142857,41.07142857142857,41.07142857142857,41.07142857142857,41.07142857142857,41.07142857142857,44.64285714285715,41.07142857142857,26.785714285714295,41.07142857142857,17.857142857142858,42.85714285714286,37.50000000000001,51.78571428571428,42.85714285714286,39.28571428571428,30.35714285714286,46.428571428571445,42.85714285714286,42.85714285714286,37.50000000000001,39.28571428571428,39.28571428571428,42.85714285714286,30.35714285714286,28.571428571428587,35.714285714285715,32.14285714285715,37.50000000000001,28.571428571428587,35.714285714285715,37.50000000000001,30.35714285714286,44.64285714285715,53.57142857142857,51.78571428571428,33.928571428571445,41.07142857142857,41.07142857142857,37.50000000000001,39.28571428571428,41.07142857142857,41.07142857142857,41.07142857142857,39.28571428571428,39.28571428571428,39.28571428571428,39.28571428571428,39.28571428571428,39.28571428571428,37.50000000000001,39.28571428571428,39.28571428571428,37.50000000000001,39.28571428571428,67.85714285714286,46.428571428571445,55.35714285714286,71.42857142857144,53.57142857142857,66.07142857142857,64.28571428571428,53.57142857142857,58.928571428571445,42.85714285714286,37.50000000000001,44.64285714285715,73.21428571428574,66.07142857142857,69.64285714285715,42.85714285714286,60.71428571428573,76.78571428571429,76.78571428571429,55.35714285714286,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,71.42857142857144,34.502085505735145
"Anatomy (Base: 0.185, +34.5%)",4.000000000000006,0.0,-3.999999999999991,0.0,8.000000000000012,0.0,0.0,0.0,0.0,0.0,-3.999999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.000000000000002,0.0,0.0,0.0,-3.999999999999991,24.000000000000004,24.000000000000004,8.000000000000012,-15.999999999999995,12.000000000000002,20.0,20.0,40.0,8.000000000000012,48.00000000000001,24.000000000000004,20.0,48.00000000000001,24.000000000000004,28.000000000000014,24.000000000000004,68.00000000000001,40.0,24.000000000000004,35.99999999999999,40.0,32.0,35.99999999999999,20.0,80.0,35.99999999999999,35.99999999999999,35.99999999999999,35.99999999999999,35.99999999999999,35.99999999999999,35.99999999999999,35.99999999999999,35.99999999999999,35.99999999999999,35.99999999999999,44.00000000000001,35.99999999999999,35.99999999999999,35.99999999999999,24.000000000000004,35.99999999999999,32.0,55.99999999999999,35.99999999999999,35.99999999999999,20.0,35.99999999999999,48.00000000000001,60.0,32.0,28.000000000000014,76.00000000000003,40.0,20.0,64.0,28.000000000000014,76.00000000000003,48.00000000000001,72.00000000000001,24.000000000000004,68.00000000000001,72.00000000000001,55.99999999999999,28.000000000000014,20.0,80.0,64.0,84.00000000000001,72.00000000000001,80.0,84.00000000000001,76.00000000000003,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,76.00000000000003,80.0,35.99999999999999,64.0,-3.999999999999991,55.99999999999999,64.0,32.0,48.00000000000001,8.000000000000012,28.000000000000014,28.000000000000014,12.000000000000002,28.000000000000014,28.000000000000014,20.0,35.99999999999999,12.000000000000002,20.0,28.000000000000014,28.000000000000014,20.0,24.000000000000004,24.000000000000004,24.000000000000004,24.000000000000004,24.000000000000004,24.000000000000004,28.000000000000014,24.000000000000004,8.000000000000012,34.45255474452555
"High School Geography (Base: 0.177, +34.3%)",2.85714285714286,0.0,5.71428571428572,0.0,0.0,0.0,2.85714285714286,0.0,0.0,0.0,5.71428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.71428571428572,0.0,0.0,8.571428571428562,8.571428571428562,11.428571428571423,8.571428571428562,11.428571428571423,-17.142857142857142,-2.85714285714286,17.142857142857142,0.0,8.571428571428562,-5.71428571428572,25.714285714285705,25.714285714285705,-2.85714285714286,51.42857142857144,14.285714285714283,54.28571428571427,34.285714285714285,48.57142857142859,37.142857142857146,17.142857142857142,11.428571428571423,22.85714285714286,20.000000000000004,22.85714285714286,54.28571428571427,34.285714285714285,22.85714285714286,22.85714285714286,22.85714285714286,22.85714285714286,22.85714285714286,22.85714285714286,22.85714285714286,22.85714285714286,22.85714285714286,22.85714285714286,22.85714285714286,22.85714285714286,22.85714285714286,17.142857142857142,22.85714285714286,37.142857142857146,22.85714285714286,28.571428571428566,42.85714285714287,22.85714285714286,25.714285714285705,28.571428571428566,31.428571428571427,25.714285714285705,31.428571428571427,22.85714285714286,17.142857142857142,8.571428571428562,22.85714285714286,17.142857142857142,34.285714285714285,20.000000000000004,45.714285714285715,0.0,28.571428571428566,22.85714285714286,54.28571428571427,42.85714285714287,25.714285714285705,17.142857142857142,91.42857142857143,51.42857142857144,40.00000000000001,42.85714285714287,42.85714285714287,42.85714285714287,42.85714285714287,45.714285714285715,42.85714285714287,42.85714285714287,42.85714285714287,42.85714285714287,42.85714285714287,42.85714285714287,42.85714285714287,42.85714285714287,42.85714285714287,42.85714285714287,42.85714285714287,42.85714285714287,48.57142857142859,40.00000000000001,42.85714285714287,88.57142857142856,57.14285714285715,62.85714285714287,71.42857142857143,60.0,0.0,74.28571428571428,31.428571428571427,34.285714285714285,102.85714285714285,85.71428571428572,74.28571428571428,51.42857142857144,105.71428571428572,100.0,100.0,105.71428571428572,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.14285714285715,97.14285714285715,34.3274244004171
