,45k,5k,10k,35k,25k,30k,40k,55k,20k,50k,145k,60k,95k,65k,155k,165k,180k,80k,100k,125k,90k,150k,135k,120k,110k,85k,70k,75k,140k,130k,160k,215k,200k,210k,195k,230k,255k,265k,280k,225k,250k,270k,380k,240k,260k,275k,245k,285k,375k,305k,385k,335k,235k,330k,390k,340k,370k,315k,295k,320k,325k,365k,300k,360k,AVG
MMLU OFFICIAL,0.22981056829511465,0.22981056829511465,0.23023785785500642,0.2307363623415468,0.23080757726819542,0.23080757726819542,0.2310212220481413,0.23109243697478993,0.23109243697478993,0.23144851160803304,0.23251673550776242,0.23301523999430282,0.23308645492095142,0.2335849594074918,0.2343683236006267,0.23515168779376158,0.23600626691354507,0.23621991169349096,0.23700327588662584,0.23892607890613873,0.23906850875943597,0.23906850875943597,0.23963822817262498,0.23999430280586811,0.24013673265916535,0.24042159236575986,0.24056402221905712,0.24099131177894886,0.24113374163224613,0.24213075060532688,0.24248682523857001,0.25010682238997295,0.25046289702321606,0.25153112092294544,0.25181598062953997,0.2525993448226748,0.25466457769548495,0.2553767269619712,0.25544794188861986,0.2558752314485116,0.2560888762284575,0.2577268195413759,0.2582965389545649,0.258652613587808,0.2594359777809429,0.2600056971941319,0.2606466315339695,0.2616436405070503,0.2629255091867255,0.2630679390400228,0.26370887337986043,0.26406494801310354,0.26434980771969807,0.2651331719128329,0.26541803161942745,0.2656316763993733,0.26577410625267056,0.26577410625267056,0.26598775103261646,0.26662868537245404,0.2666999002991027,0.2669135450790486,0.2672696197122917,0.26855148839196696,0.24844773714570575
SIMPLE AVERAGE (All Tasks),0.2306662471306986,0.23158037593608496,0.23234692941692234,0.23185380328242564,0.23243796211731363,0.2320834011083622,0.2319646142050886,0.23280063089993921,0.23313131660080166,0.2324317837913031,0.2341219625857607,0.2331532092228863,0.235494569298929,0.23531859636883037,0.23653356306793968,0.2352329966233491,0.23773452557500083,0.23819156200863106,0.2382606733079572,0.24134382264480256,0.24190110830139488,0.23930176590444982,0.24027197988843862,0.2400197590438644,0.24365828183673674,0.24331354895851012,0.2409262419944226,0.24165342276553228,0.2457931114584331,0.24176494403239998,0.24375635509235466,0.24909882445183823,0.25023451302120453,0.24916785797575097,0.250799678262764,0.2507075222589488,0.2535976920484285,0.25413131897009644,0.2543791195196421,0.2536965980049868,0.253869984645224,0.2588720749414178,0.258304800251023,0.25646591153601506,0.2593347350365848,0.26080158942148635,0.2580102542100944,0.2608203380642026,0.26433193715335507,0.26525583777703,0.2648679712651038,0.2663765576317103,0.26251545772122237,0.26623674519397783,0.26728828422875645,0.26805300034674523,0.266882003960648,0.26792689406698167,0.26679557272858756,0.2683450988774008,0.2673092960051732,0.2664488419776642,0.2679846269847026,0.2694026255144444,0.24917744732066835
Formal Logic (Avg: 0.328),0.2777777777777778,0.30158730158730157,0.29365079365079366,0.23015873015873015,0.24603174603174602,0.2619047619047619,0.2698412698412698,0.2698412698412698,0.25396825396825395,0.25396825396825395,0.2619047619047619,0.2698412698412698,0.2857142857142857,0.2857142857142857,0.2698412698412698,0.2777777777777778,0.2698412698412698,0.29365079365079366,0.29365079365079366,0.2857142857142857,0.3412698412698413,0.29365079365079366,0.2857142857142857,0.2857142857142857,0.29365079365079366,0.30952380952380953,0.2857142857142857,0.29365079365079366,0.2857142857142857,0.29365079365079366,0.30952380952380953,0.3333333333333333,0.3333333333333333,0.3253968253968254,0.36507936507936506,0.3412698412698413,0.38095238095238093,0.36507936507936506,0.3968253968253968,0.3412698412698413,0.35714285714285715,0.40476190476190477,0.36507936507936506,0.3412698412698413,0.36507936507936506,0.3968253968253968,0.36507936507936506,0.36507936507936506,0.373015873015873,0.40476190476190477,0.373015873015873,0.38095238095238093,0.3333333333333333,0.38095238095238093,0.373015873015873,0.373015873015873,0.373015873015873,0.3888888888888889,0.42063492063492064,0.373015873015873,0.38095238095238093,0.3888888888888889,0.40476190476190477,0.373015873015873,0.32762896825396826
Security Studies (Avg: 0.316),0.19591836734693877,0.19183673469387755,0.18775510204081633,0.19183673469387755,0.18775510204081633,0.18775510204081633,0.19591836734693877,0.20408163265306123,0.2,0.19183673469387755,0.2163265306122449,0.23265306122448978,0.22040816326530613,0.2,0.22857142857142856,0.2816326530612245,0.24897959183673468,0.2571428571428571,0.24081632653061225,0.24489795918367346,0.30612244897959184,0.2897959183673469,0.2897959183673469,0.2693877551020408,0.2571428571428571,0.27755102040816326,0.2938775510204082,0.3142857142857143,0.2693877551020408,0.30612244897959184,0.3306122448979592,0.3224489795918367,0.37142857142857144,0.3877551020408163,0.363265306122449,0.3877551020408163,0.3877551020408163,0.3877551020408163,0.3795918367346939,0.37142857142857144,0.3877551020408163,0.3836734693877551,0.3795918367346939,0.40408163265306124,0.39183673469387753,0.4,0.40408163265306124,0.3836734693877551,0.39183673469387753,0.39183673469387753,0.39183673469387753,0.3673469387755102,0.39591836734693875,0.3836734693877551,0.4,0.3877551020408163,0.3836734693877551,0.3877551020408163,0.3877551020408163,0.39591836734693875,0.3877551020408163,0.39183673469387753,0.4,0.39591836734693875,0.3163265306122449
High School Statistics (Avg: 0.301),0.16203703703703703,0.1574074074074074,0.1527777777777778,0.16666666666666666,0.1574074074074074,0.1527777777777778,0.1574074074074074,0.1712962962962963,0.1712962962962963,0.16203703703703703,0.16666666666666666,0.2037037037037037,0.17592592592592593,0.16203703703703703,0.2222222222222222,0.2175925925925926,0.18981481481481483,0.19444444444444445,0.2037037037037037,0.21296296296296297,0.24074074074074073,0.22685185185185186,0.24074074074074073,0.2361111111111111,0.25462962962962965,0.2361111111111111,0.23148148148148148,0.24074074074074073,0.2222222222222222,0.25925925925925924,0.26851851851851855,0.2916666666666667,0.32407407407407407,0.30092592592592593,0.3333333333333333,0.37037037037037035,0.35648148148148145,0.375,0.36574074074074076,0.37037037037037035,0.37037037037037035,0.375,0.4212962962962963,0.39351851851851855,0.39351851851851855,0.37962962962962965,0.37962962962962965,0.4166666666666667,0.4305555555555556,0.37037037037037035,0.44907407407407407,0.4305555555555556,0.4212962962962963,0.4212962962962963,0.44907407407407407,0.4305555555555556,0.4444444444444444,0.38425925925925924,0.4166666666666667,0.4398148148148148,0.4305555555555556,0.4583333333333333,0.4166666666666667,0.46296296296296297,0.30143229166666663
Management (Avg: 0.298),0.17475728155339806,0.17475728155339806,0.17475728155339806,0.17475728155339806,0.17475728155339806,0.17475728155339806,0.17475728155339806,0.1941747572815534,0.1941747572815534,0.17475728155339806,0.18446601941747573,0.17475728155339806,0.21359223300970873,0.20388349514563106,0.20388349514563106,0.22330097087378642,0.22330097087378642,0.21359223300970873,0.22330097087378642,0.2815533980582524,0.2621359223300971,0.22330097087378642,0.27184466019417475,0.24271844660194175,0.27184466019417475,0.23300970873786409,0.2815533980582524,0.22330097087378642,0.30097087378640774,0.3106796116504854,0.2912621359223301,0.34951456310679613,0.3592233009708738,0.34951456310679613,0.36893203883495146,0.33980582524271846,0.3786407766990291,0.3592233009708738,0.33980582524271846,0.34951456310679613,0.3883495145631068,0.3786407766990291,0.39805825242718446,0.39805825242718446,0.3786407766990291,0.36893203883495146,0.36893203883495146,0.3592233009708738,0.4077669902912621,0.3592233009708738,0.3786407766990291,0.36893203883495146,0.4077669902912621,0.33980582524271846,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3592233009708738,0.3786407766990291,0.36893203883495146,0.36893203883495146,0.3883495145631068,0.3786407766990291,0.36893203883495146,0.2982402912621359
High School Macroeconomics (Avg: 0.287),0.2,0.20256410256410257,0.2,0.2128205128205128,0.2076923076923077,0.2076923076923077,0.2076923076923077,0.21025641025641026,0.2128205128205128,0.20512820512820512,0.21025641025641026,0.21025641025641026,0.21025641025641026,0.21794871794871795,0.2076923076923077,0.23076923076923078,0.20512820512820512,0.2205128205128205,0.2205128205128205,0.23076923076923078,0.2512820512820513,0.20512820512820512,0.21794871794871795,0.24102564102564103,0.23846153846153847,0.25384615384615383,0.24102564102564103,0.2230769230769231,0.2,0.24102564102564103,0.23333333333333334,0.3230769230769231,0.32564102564102565,0.31794871794871793,0.31794871794871793,0.3435897435897436,0.3435897435897436,0.3487179487179487,0.3282051282051282,0.3384615384615385,0.3384615384615385,0.32564102564102565,0.3564102564102564,0.3564102564102564,0.34102564102564104,0.3487179487179487,0.34615384615384615,0.35384615384615387,0.35128205128205126,0.3487179487179487,0.36923076923076925,0.3564102564102564,0.3641025641025641,0.36153846153846153,0.3717948717948718,0.358974358974359,0.3717948717948718,0.35128205128205126,0.36153846153846153,0.36666666666666664,0.37435897435897436,0.3717948717948718,0.37435897435897436,0.3641025641025641,0.28669871794871793
Medical Genetics (Avg: 0.284),0.31,0.29,0.31,0.32,0.32,0.32,0.31,0.32,0.33,0.31,0.31,0.29,0.31,0.3,0.32,0.28,0.3,0.28,0.29,0.32,0.3,0.28,0.28,0.29,0.27,0.32,0.3,0.3,0.31,0.27,0.31,0.28,0.31,0.27,0.3,0.22,0.27,0.27,0.27,0.24,0.24,0.34,0.28,0.27,0.28,0.3,0.25,0.27,0.29,0.26,0.27,0.26,0.26,0.25,0.25,0.24,0.23,0.26,0.27,0.26,0.26,0.25,0.26,0.25,0.28359375
College Chemistry (Avg: 0.283),0.19,0.19,0.19,0.17,0.18,0.2,0.17,0.18,0.19,0.16,0.24,0.16,0.18,0.16,0.22,0.17,0.18,0.18,0.25,0.22,0.21,0.21,0.19,0.21,0.24,0.24,0.22,0.22,0.19,0.25,0.23,0.26,0.33,0.27,0.3,0.29,0.37,0.36,0.35,0.29,0.37,0.39,0.37,0.31,0.37,0.38,0.35,0.32,0.38,0.4,0.39,0.41,0.32,0.39,0.41,0.41,0.39,0.39,0.37,0.4,0.38,0.39,0.41,0.39,0.2828125
High School Government And Politics (Avg: 0.279),0.20725388601036268,0.20207253886010362,0.19689119170984457,0.21243523316062177,0.21243523316062177,0.19689119170984457,0.21243523316062177,0.20207253886010362,0.20725388601036268,0.21243523316062177,0.19170984455958548,0.17616580310880828,0.21243523316062177,0.18134715025906736,0.22797927461139897,0.23834196891191708,0.23316062176165803,0.21243523316062177,0.23316062176165803,0.23316062176165803,0.22797927461139897,0.2538860103626943,0.2538860103626943,0.23316062176165803,0.22797927461139897,0.23316062176165803,0.25906735751295334,0.22279792746113988,0.24870466321243523,0.23834196891191708,0.27461139896373055,0.29015544041450775,0.27979274611398963,0.3005181347150259,0.3160621761658031,0.32642487046632124,0.3005181347150259,0.32642487046632124,0.3160621761658031,0.3160621761658031,0.32124352331606215,0.29533678756476683,0.33678756476683935,0.3160621761658031,0.3160621761658031,0.3160621761658031,0.32124352331606215,0.33678756476683935,0.3626943005181347,0.34196891191709844,0.34196891191709844,0.33678756476683935,0.35751295336787564,0.36787564766839376,0.35751295336787564,0.3626943005181347,0.34196891191709844,0.3471502590673575,0.33678756476683935,0.35751295336787564,0.35751295336787564,0.35751295336787564,0.3471502590673575,0.3626943005181347,0.27882124352331605
