,627k,650k,662k,665k,675k,AVG
"Professional Medicine (Base: 0.227, +23.5%)",-22.234636871508382,97.6536312849162,79.83240223463686,-27.094972067039112,-10.893854748603356,23.45251396648044
"Security Studies (Base: 0.231, +17.5%)",-6.508515815085147,72.87104622871048,48.17518248175184,-1.216545012165447,-25.912408759124084,17.48175182481753
"Astronomy (Base: 0.241, +12.0%)",1.0357815442561435,39.26553672316386,22.881355932203405,20.150659133710008,-23.540489642184546,11.958568738229776
"Anatomy (Base: 0.249, +9.7%)",16.238437821171626,-7.6053442959917765,1.3360739979444936,34.12127440904419,4.316546762589924,9.681397738951691
"Formal Logic (Base: 0.234, +9.1%)",-18.69158878504673,55.84112149532711,55.84112149532711,-32.242990654205606,-15.303738317757007,9.088785046728974
"College Mathematics (Base: 0.238, +7.6%)",17.681159420289863,30.289855072463766,-11.739130434782613,5.072463768115941,-3.3333333333333304,7.594202898550725
"College Medicine (Base: 0.242, +7.5%)",-6.836902800658969,38.55024711696871,17.051070840197717,2.7182866556836958,-14.003294892915969,7.495881383855038
"Clinical Knowledge (Base: 0.245, +7.1%)",9.288747346072194,21.602972399150747,7.749469214437374,-10.721868365180457,7.749469214437374,7.133757961783448
"High School Biology (Base: 0.242, +5.6%)",13.385464581416716,30.726770929162804,-25.2989880404784,4.047838086476515,5.381784728610834,5.6485740570376946
"Professional Medicine Stderr (Base: 0.025, +5.1%)",-6.571987380876944,21.88717957222098,20.45002938368089,-8.934963006019865,-1.5663261688037513,5.052786480040262
"Sociology (Base: 0.245, +5.0%)",17.62237762237764,9.51048951048952,-0.6293706293706195,1.3986013986014108,-2.65734265734265,5.048951048951061
"High School Statistics (Base: 0.226, +5.0%)",-15.91230551626592,109.19377652050915,-34.370579915134385,-5.657708628005672,-28.21782178217823,5.0070721357849886
"Security Studies Stderr (Base: 0.027, +5.0%)",-0.547948767206658,18.33055489743172,14.65098148581481,1.4261899120846515,-8.967208593950314,4.978513786834842
"High School Computer Science (Base: 0.246, +4.9%)",17.952314165497878,-22.72089761570828,5.750350631136038,30.154277699859737,-6.451612903225811,4.9368863955119116
"Moral Disputes (Base: 0.250, +4.9%)",21.266427718040628,-14.536041417761838,-0.6770211071286295,20.111509358821205,-1.8319394663480635,4.86658701712466
"High School Psychology (Base: 0.240, +4.3%)",0.9493670886075776,45.30590717299576,-15.875527426160351,-6.698312236286935,-2.109704641350228,4.314345991561165
"Astronomy Stderr (Base: 0.034, +4.0%)",1.5020456053583569,11.678812545385608,7.974986480638983,7.2662822400834255,-8.311499362154692,4.0221255018623365
"College Computer Science (Base: 0.238, +3.5%)",9.433962264150964,38.8969521044993,-3.193033381712608,9.433962264150964,-36.86502177068214,3.541364296081295
"Anatomy Stderr (Base: 0.037, +3.4%)",5.7061480968582785,-1.9088459490467409,1.2354162573418221,9.941039546638168,2.2036367380825244,3.4354789379748096
"Econometrics (Base: 0.253, +3.4%)",14.473684210526336,-6.339712918660282,0.5980861244019318,-2.8708133971291803,11.004784688995223,3.3732057416268058
"Electrical Engineering (Base: 0.253, +3.2%)",1.035781544256134,-4.425612052730684,11.958568738229769,20.150659133709993,-12.617702448210915,3.2203389830508597
