,217k,225k,232k,235k,237k,AVG
Professional Medicine (Avg: 0.287),0.18382352941176472,0.4485294117647059,0.20955882352941177,0.4264705882352941,0.16544117647058823,0.2867647058823529
Security Studies (Avg: 0.290),0.18775510204081633,0.37142857142857144,0.24897959183673468,0.4,0.24081632653061225,0.28979591836734697
College Chemistry (Avg: 0.284),0.2,0.41,0.22,0.41,0.18,0.284
Astronomy (Avg: 0.274),0.17105263157894737,0.3355263157894737,0.2236842105263158,0.3355263157894737,0.3026315789473684,0.2736842105263158
High School Government And Politics (Avg: 0.270),0.20207253886010362,0.36787564766839376,0.22279792746113988,0.3316062176165803,0.22797927461139897,0.2704663212435233
Management (Avg: 0.268),0.17475728155339806,0.36893203883495146,0.23300970873786409,0.36893203883495146,0.1941747572815534,0.26796116504854367
Electrical Engineering (Avg: 0.262),0.2482758620689655,0.2413793103448276,0.27586206896551724,0.2482758620689655,0.296551724137931,0.26206896551724135
Anatomy (Avg: 0.264),0.17037037037037037,0.22962962962962963,0.32592592592592595,0.25925925925925924,0.3333333333333333,0.26370370370370366
High School European History (Avg: 0.259),0.21818181818181817,0.24848484848484848,0.28484848484848485,0.2606060606060606,0.28484848484848485,0.2593939393939394
International Law (Avg: 0.273),0.24793388429752067,0.2809917355371901,0.32231404958677684,0.14049586776859505,0.371900826446281,0.27272727272727276
Formal Logic (Avg: 0.259),0.2857142857142857,0.36507936507936506,0.19047619047619047,0.30158730158730157,0.15079365079365079,0.2587301587301587
High School Psychology (Avg: 0.262),0.1981651376146789,0.3486238532110092,0.21467889908256882,0.3284403669724771,0.22201834862385322,0.26238532110091745
High School Chemistry (Avg: 0.257),0.15763546798029557,0.28078817733990147,0.270935960591133,0.28078817733990147,0.2955665024630542,0.2571428571428572
Sociology (Avg: 0.263),0.25870646766169153,0.25870646766169153,0.27860696517412936,0.26865671641791045,0.24875621890547264,0.26268656716417904
Logical Fallacies (Avg: 0.260),0.22085889570552147,0.2331288343558282,0.3128834355828221,0.2331288343558282,0.3006134969325153,0.26012269938650306
College Biology (Avg: 0.260),0.2638888888888889,0.2638888888888889,0.2569444444444444,0.2569444444444444,0.2569444444444444,0.2597222222222222
High School World History (Avg: 0.254),0.270042194092827,0.21940928270042195,0.25738396624472576,0.25738396624472576,0.26582278481012656,0.2540084388185654
Nutrition (Avg: 0.256),0.22549019607843138,0.29411764705882354,0.22875816993464052,0.28104575163398693,0.25163398692810457,0.25620915032679736
High School Us History (Avg: 0.257),0.25,0.2549019607843137,0.2549019607843137,0.2647058823529412,0.25980392156862747,0.2568627450980392
High School Biology (Avg: 0.263),0.17096774193548386,0.3161290322580645,0.25806451612903225,0.3193548387096774,0.25161290322580643,0.26322580645161286
Clinical Knowledge (Avg: 0.260),0.2188679245283019,0.2981132075471698,0.26037735849056604,0.30566037735849055,0.2188679245283019,0.26037735849056604
Professional Accounting (Avg: 0.247),0.23049645390070922,0.26595744680851063,0.22695035460992907,0.24113475177304963,0.2695035460992908,0.24680851063829787
High School Physics (Avg: 0.260),0.1986754966887417,0.32450331125827814,0.23178807947019867,0.271523178807947,0.271523178807947,0.2596026490066225
Global Facts (Avg: 0.260),0.18,0.24,0.37,0.18,0.33,0.26
High School Mathematics (Avg: 0.254),0.21851851851851853,0.26296296296296295,0.26666666666666666,0.25925925925925924,0.26296296296296295,0.2540740740740741
Moral Scenarios (Avg: 0.251),0.23798882681564246,0.27262569832402234,0.24581005586592178,0.25027932960893856,0.24692737430167597,0.2507262569832402
High School Geography (Avg: 0.237),0.18181818181818182,0.30808080808080807,0.23737373737373738,0.20707070707070707,0.25252525252525254,0.23737373737373738
Elementary Mathematics (Avg: 0.250),0.2037037037037037,0.2671957671957672,0.25132275132275134,0.2619047619047619,0.2671957671957672,0.2502645502645503
College Physics (Avg: 0.257),0.21568627450980393,0.37254901960784315,0.2549019607843137,0.22549019607843138,0.21568627450980393,0.2568627450980392
High School Statistics (Avg: 0.246),0.1527777777777778,0.46296296296296297,0.2361111111111111,0.16666666666666666,0.21296296296296297,0.24629629629629632
Public Relations (Avg: 0.251),0.24545454545454545,0.22727272727272727,0.22727272727272727,0.34545454545454546,0.20909090909090908,0.25090909090909086
Marketing (Avg: 0.248),0.2863247863247863,0.19658119658119658,0.24786324786324787,0.25213675213675213,0.2564102564102564,0.24786324786324787
Conceptual Physics (Avg: 0.249),0.2723404255319149,0.20851063829787234,0.2765957446808511,0.2851063829787234,0.20425531914893616,0.2493617021276596
Human Sexuality (Avg: 0.246),0.22900763358778625,0.2824427480916031,0.2366412213740458,0.25190839694656486,0.22900763358778625,0.24580152671755723
College Medicine (Avg: 0.249),0.21965317919075145,0.34104046242774566,0.23121387283236994,0.2023121387283237,0.24855491329479767,0.24855491329479767
Professional Law (Avg: 0.251),0.2457627118644068,0.24185136897001303,0.25358539765319427,0.24511082138200782,0.27053455019556716,0.2513689700130378
College Mathematics (Avg: 0.248),0.21,0.31,0.2,0.27,0.25,0.248
High School Computer Science (Avg: 0.242),0.25,0.19,0.28,0.16,0.33,0.242
Abstract Algebra (Avg: 0.252),0.21,0.21,0.31,0.22,0.31,0.252
Prehistory (Avg: 0.249),0.21604938271604937,0.22530864197530864,0.2777777777777778,0.2345679012345679,0.2932098765432099,0.24938271604938272
Professional Psychology (Avg: 0.245),0.24673202614379086,0.2173202614379085,0.27124183006535946,0.21568627450980393,0.2761437908496732,0.2454248366013072
Moral Disputes (Avg: 0.249),0.24855491329479767,0.2138728323699422,0.28034682080924855,0.20809248554913296,0.29190751445086704,0.24855491329479767
Miscellaneous (Avg: 0.249),0.23754789272030652,0.26947637292464877,0.2567049808429119,0.210727969348659,0.2707535121328225,0.2490421455938697
World Religions (Avg: 0.239),0.3157894736842105,0.15789473684210525,0.26900584795321636,0.15789473684210525,0.29239766081871343,0.2385964912280702
Medical Genetics (Avg: 0.240),0.3,0.24,0.22,0.24,0.2,0.24
