,510k,517k,520k,532k,577k,AVG
High School Statistics (Avg: 0.306),0.46296296296296297,0.21296296296296297,0.16666666666666666,0.21296296296296297,0.4722222222222222,0.3055555555555555
Security Studies (Avg: 0.296),0.39183673469387753,0.24489795918367346,0.2,0.24081632653061225,0.40408163265306124,0.2963265306122449
Astronomy (Avg: 0.291),0.32894736842105265,0.3026315789473684,0.18421052631578946,0.3026315789473684,0.3355263157894737,0.29078947368421054
Professional Medicine (Avg: 0.286),0.4485294117647059,0.16911764705882354,0.1948529411764706,0.16544117647058823,0.4522058823529412,0.28602941176470587
College Chemistry (Avg: 0.278),0.41,0.18,0.21,0.18,0.41,0.27799999999999997
High School Geography (Avg: 0.286),0.3434343434343434,0.25252525252525254,0.22727272727272727,0.25252525252525254,0.35353535353535354,0.2858585858585859
High School Physics (Avg: 0.275),0.33112582781456956,0.271523178807947,0.17218543046357615,0.271523178807947,0.33112582781456956,0.27549668874172184
High School Government And Politics (Avg: 0.276),0.36787564766839376,0.22797927461139897,0.19170984455958548,0.22797927461139897,0.3626943005181347,0.2756476683937824
High School Macroeconomics (Avg: 0.276),0.36923076923076925,0.2128205128205128,0.2205128205128205,0.2128205128205128,0.36666666666666664,0.2764102564102564
College Physics (Avg: 0.273),0.37254901960784315,0.21568627450980393,0.17647058823529413,0.21568627450980393,0.38235294117647056,0.27254901960784317
High School Biology (Avg: 0.283),0.3161290322580645,0.2645161290322581,0.2645161290322581,0.25161290322580643,0.3193548387096774,0.2832258064516129
Management (Avg: 0.282),0.39805825242718446,0.1941747572815534,0.2524271844660194,0.1941747572815534,0.36893203883495146,0.2815533980582524
College Computer Science (Avg: 0.274),0.34,0.26,0.17,0.26,0.34,0.2740000000000001
High School Psychology (Avg: 0.275),0.3486238532110092,0.22201834862385322,0.23669724770642203,0.22201834862385322,0.3467889908256881,0.27522935779816515
College Medicine (Avg: 0.269),0.34104046242774566,0.2254335260115607,0.19653179190751446,0.24855491329479767,0.3352601156069364,0.269364161849711
High School Microeconomics (Avg: 0.271),0.3487394957983193,0.21008403361344538,0.23949579831932774,0.21008403361344538,0.3445378151260504,0.2705882352941177
College Mathematics (Avg: 0.270),0.31,0.25,0.24,0.25,0.3,0.27
High School Chemistry (Avg: 0.267),0.270935960591133,0.1724137931034483,0.3054187192118227,0.2955665024630542,0.29064039408866993,0.26699507389162563
High School European History (Avg: 0.267),0.2545454545454545,0.28484848484848485,0.2545454545454545,0.28484848484848485,0.2545454545454545,0.2666666666666666
Philosophy (Avg: 0.271),0.24115755627009647,0.2990353697749196,0.27009646302250806,0.2990353697749196,0.24437299035369775,0.2707395498392283
Logical Fallacies (Avg: 0.269),0.2331288343558282,0.31901840490797545,0.25766871165644173,0.3006134969325153,0.2331288343558282,0.2687116564417178
Anatomy (Avg: 0.268),0.22962962962962963,0.2740740740740741,0.26666666666666666,0.3333333333333333,0.23703703703703705,0.26814814814814814
High School Computer Science (Avg: 0.260),0.19,0.33,0.26,0.33,0.19,0.26
High School Mathematics (Avg: 0.261),0.25555555555555554,0.26296296296296295,0.25925925925925924,0.26296296296296295,0.26296296296296295,0.2607407407407408
Elementary Mathematics (Avg: 0.263),0.2671957671957672,0.2671957671957672,0.24867724867724866,0.2671957671957672,0.2671957671957672,0.2634920634920635
College Biology (Avg: 0.258),0.2638888888888889,0.2361111111111111,0.2638888888888889,0.2569444444444444,0.2708333333333333,0.2583333333333333
Clinical Knowledge (Avg: 0.261),0.2981132075471698,0.22264150943396227,0.27169811320754716,0.2188679245283019,0.2943396226415094,0.2611320754716981
Electrical Engineering (Avg: 0.259),0.2413793103448276,0.296551724137931,0.2206896551724138,0.296551724137931,0.2413793103448276,0.2593103448275862
Nutrition (Avg: 0.258),0.2908496732026144,0.2222222222222222,0.23202614379084968,0.25163398692810457,0.2908496732026144,0.2575163398692811
Sociology (Avg: 0.256),0.26865671641791045,0.25870646766169153,0.24875621890547264,0.24875621890547264,0.2537313432835821,0.2557213930348259
Moral Scenarios (Avg: 0.257),0.27262569832402234,0.24692737430167597,0.2446927374301676,0.24692737430167597,0.27262569832402234,0.2567597765363128
High School Us History (Avg: 0.259),0.2549019607843137,0.25980392156862747,0.2647058823529412,0.25980392156862747,0.2549019607843137,0.2588235294117647
Prehistory (Avg: 0.256),0.22530864197530864,0.2932098765432099,0.24691358024691357,0.2932098765432099,0.2222222222222222,0.25617283950617287
Human Sexuality (Avg: 0.250),0.2824427480916031,0.22900763358778625,0.2366412213740458,0.22900763358778625,0.2748091603053435,0.250381679389313
Formal Logic (Avg: 0.256),0.36507936507936506,0.15079365079365079,0.24603174603174602,0.15079365079365079,0.36507936507936506,0.25555555555555554
Professional Law (Avg: 0.252),0.24445893089960888,0.27053455019556716,0.2288135593220339,0.27053455019556716,0.2438070404172099,0.2516297262059974
Abstract Algebra (Avg: 0.260),0.21,0.31,0.26,0.31,0.21,0.26
Moral Disputes (Avg: 0.259),0.2138728323699422,0.29190751445086704,0.2832369942196532,0.29190751445086704,0.2138728323699422,0.2589595375722543
Us Foreign Policy (Avg: 0.248),0.26,0.25,0.22,0.25,0.26,0.248
International Law (Avg: 0.260),0.14049586776859505,0.371900826446281,0.2727272727272727,0.371900826446281,0.14049586776859505,0.25950413223140495
Professional Accounting (Avg: 0.254),0.24113475177304963,0.2695035460992908,0.24822695035460993,0.2695035460992908,0.24113475177304963,0.25390070921985813
Global Facts (Avg: 0.262),0.16,0.33,0.31,0.33,0.18,0.262
Professional Psychology (Avg: 0.246),0.21568627450980393,0.2630718954248366,0.25326797385620914,0.2761437908496732,0.2238562091503268,0.24640522875816995
Computer Security (Avg: 0.252),0.18,0.3,0.3,0.3,0.18,0.252
Miscellaneous (Avg: 0.249),0.20689655172413793,0.2707535121328225,0.28991060025542786,0.2707535121328225,0.20434227330779056,0.24853128991060025
Econometrics (Avg: 0.246),0.23684210526315788,0.23684210526315788,0.2631578947368421,0.24561403508771928,0.24561403508771928,0.24561403508771926
World Religions (Avg: 0.237),0.18128654970760233,0.32748538011695905,0.21637426900584794,0.29239766081871343,0.1695906432748538,0.23742690058479532
High School World History (Avg: 0.245),0.20253164556962025,0.270042194092827,0.28270042194092826,0.26582278481012656,0.20253164556962025,0.24472573839662445
Medical Genetics (Avg: 0.238),0.25,0.25,0.26,0.2,0.23,0.238
Public Relations (Avg: 0.244),0.23636363636363636,0.20909090909090908,0.34545454545454546,0.20909090909090908,0.21818181818181817,0.24363636363636365
Marketing (Avg: 0.234),0.19230769230769232,0.26495726495726496,0.2606837606837607,0.2564102564102564,0.19658119658119658,0.2341880341880342
Jurisprudence (Avg: 0.233),0.21296296296296297,0.23148148148148148,0.2777777777777778,0.23148148148148148,0.21296296296296297,0.23333333333333334
