,30k,35k,40k,45k,50k,52k,55k,57k,60k,62k,65k,67k,70k,72k,75k,105k,110k,115k,120k,125k,130k,132k,135k,137k,140k,142k,145k,147k,150k,180k,185k,190k,195k,200k,202k,205k,207k,210k,212k,215k,217k,220k,222k,225k,255k,260k,262k,265k,270k,272k,275k,280k,282k,285k,287k,290k,292k,295k,297k,300k,340k,345k,350k,355k,357k,360k,365k,370k,372k,375k,380k,382k,385k,410k,412k,415k,420k,422k,425k,430k,432k,435k,440k,442k,445k,447k,450k,455k,482k,485k,490k,492k,495k,500k,502k,505k,510k,512k,515k,517k,520k,525k,527k,530k,545k,552k,557k,560k,565k,567k,570k,575k,580k,585k,587k,590k,595k,600k,602k,605k,627k,630k,632k,635k,640k,642k,645k,650k,652k,655k,660k,662k,665k,667k,670k,675k,677k,AVG
MMLU OFFICIAL IMPROVEMENT,13.440693713223906,9.445648807680396,17.09507587488387,6.813254877671102,-0.34066274388355383,0.0,7.061009600495506,7.215856302260762,8.547537937441923,7.246825642613803,6.28677609166925,14.989160730876419,16.940229173118603,6.689377516258899,11.056054506039017,0.09290802105914886,6.224837410963143,7.432641684732114,11.17993186745123,6.813254877671102,7.215856302260762,16.0730876432332,10.87023846392072,17.28089191700217,7.370703004026007,13.223908330752554,-0.21678538247135137,-0.21678538247135137,11.365747909569528,16.940229173118603,16.940229173118603,5.915144007432642,9.41467946732734,7.649427067203465,10.932177144626825,11.79931867451223,4.056983586249604,16.940229173118603,1.79622174047693,15.546608857231337,7.432641684732114,10.932177144626825,7.215856302260762,1.0219882316506617,7.215856302260762,16.90925983276555,8.361721895323626,17.002167853824712,16.940229173118603,-0.247754722824405,-0.21678538247135137,10.653453081449367,8.330752554970573,5.853205326726535,10.46763703933107,7.122948281201602,7.866212449674817,0.5264787860018516,0.7122948281201613,11.025085165685962,9.538556828739555,8.11396717249922,10.034066274388342,7.215856302260762,7.184886961907709,7.030040260142453,10.994115825332909,16.41375038711674,-0.21678538247135137,-0.21678538247135137,10.343759677918854,1.6723443790647279,4.273768968720968,7.215856302260762,10.932177144626825,13.10003096934034,3.4995354598946995,10.68442242180242,7.773304428615669,12.01610405698358,3.127903375658092,6.968101579436357,2.570455249303187,7.215856302260762,7.246825642613803,7.711365747909572,2.0130071229482813,7.153917621554655,16.723443790647252,7.525549705791263,7.401672344379061,7.215856302260762,10.932177144626825,-0.15484670176525614,-0.247754722824405,7.463611025085168,0.15484670176524407,0.8981108702384591,7.277794982966858,9.848250232270045,-0.21678538247135137,8.795292660266341,-0.21678538247135137,7.061009600495506,13.131000309693391,11.17993186745123,-1.1148962527098225,8.950139362031585,1.3007122948281202,7.618457726850411,10.034066274388342,16.568597088882008,10.622483741096312,3.2208113967172527,8.91917002167853,-0.21678538247135137,11.025085165685962,15.082068751935578,10.46763703933107,17.34283059770828,7.649427067203465,-0.21678538247135137,7.215856302260762,-0.21678538247135137,10.932177144626825,6.751316196965005,-0.4335707649427148,-0.21678538247135137,11.056054506039017,-0.3096934035305123,15.329823474759985,10.68442242180242,15.67048621864355,7.246825642613803,10.932177144626825,7.246825642613803,15.70145555899658,7.894017039918798
SIMPLE AVERAGE IMPROVEMENT,10.723179022579478,7.38155403239625,14.555981286225881,5.302638913116838,-0.44023679318932446,0.14704590605767345,5.03458315770746,5.172426879803697,6.046577004980069,5.318887381344839,4.630927706185244,12.706399526377764,14.336845419948821,5.160149523379923,8.521290989282232,0.007303308853620652,6.678761099577465,6.2856980653424115,8.46800150299152,4.745529868032586,5.172426879803697,12.994243597901429,8.299853221825776,13.970070316457818,5.2782395190745595,10.034338967394287,-0.22503039912987843,-0.22503039912987843,8.916330057024574,14.336845419948821,14.336845419948821,4.105742492696624,7.1300376866724555,6.981847488588092,8.464348176083547,10.66403536783298,2.667373152777337,14.336845419948821,1.0346299406594428,13.278834315775557,5.311976986809321,8.464348176083547,5.172426879803697,1.1576376826648307,5.172426879803697,14.689273799082986,6.328358521335401,14.432006309617686,14.336845419948821,-0.12537330762790386,-0.22503039912987843,8.311377091033634,6.0356032853205415,5.808408681379442,8.097713736654587,5.282286676096354,5.6047948156152145,0.5999995176640572,1.1859802037241483,8.501988916036682,7.403008102963405,6.30027852495882,8.82109802642447,5.172426879803697,5.103155896063079,4.84581375573017,8.506509402415809,13.644488737026316,-0.24203706944315945,-0.22327064485438672,7.85118698946373,0.9279019198753296,4.171589815151833,5.172426879803697,8.52935701257652,11.495957699575701,3.9565393611848343,8.251244513276268,5.669409358908567,10.144918186138955,2.5847235203471173,5.012495806094304,1.8810758562436267,5.172426879803697,5.1865335239821455,5.755646105743578,2.444907392010674,5.059616478343974,14.170659594232921,6.15065773012932,5.186990251169449,5.172426879803697,8.464348176083547,-0.18067055741958887,-0.21897537965102956,5.7970144620251265,0.2318610857300655,0.7635486976249556,5.148815003426952,7.253991533590923,-0.22503039912987843,6.41927282930124,-0.22503039912987843,6.019040287195339,12.92711496980945,9.13827706668338,-0.7877945666235673,7.114248779873054,1.0255259462522868,5.799449997635182,9.612404076981687,14.01747783211762,8.295021201225648,3.580255842977644,6.657167552091767,-0.2475112753141064,8.54905051338135,11.71471445333665,8.443341807338804,14.415444570344395,5.5800201799593525,-0.22503039912987843,5.172426879803697,-0.22503039912987843,8.464348176083547,5.711517495127751,-0.4527726509530907,-0.1891015381167241,8.772921603649449,-0.3300102705411011,13.383657143775755,8.439163413436113,13.297934749128185,5.18997738423693,8.464348176083547,5.92081874836925,13.083214382326014,6.316207013590383
"High School Chemistry (Base: 0.153, +62.1%)",83.87096774193546,103.2258064516129,87.09677419354837,58.06451612903226,12.903225806451616,6.451612903225798,70.96774193548387,77.41935483870968,74.19354838709677,80.64516129032256,58.06451612903226,77.41935483870968,83.87096774193546,58.06451612903226,93.5483870967742,0.0,64.51612903225808,80.64516129032256,96.7741935483871,77.41935483870968,77.41935483870968,70.96774193548387,103.2258064516129,83.87096774193546,77.41935483870968,74.19354838709677,0.0,0.0,51.61290322580644,83.87096774193546,83.87096774193546,25.80645161290321,90.32258064516127,74.19354838709677,93.5483870967742,112.9032258064516,38.709677419354826,83.87096774193546,32.258064516129025,54.83870967741934,77.41935483870968,93.5483870967742,77.41935483870968,16.129032258064512,77.41935483870968,93.5483870967742,70.96774193548387,83.87096774193546,83.87096774193546,0.0,0.0,100.0,61.29032258064515,77.41935483870968,93.5483870967742,58.06451612903226,74.19354838709677,12.903225806451616,6.451612903225798,96.7741935483871,67.74193548387098,77.41935483870968,67.74193548387098,77.41935483870968,77.41935483870968,74.19354838709677,100.0,83.87096774193546,6.451612903225798,0.0,80.64516129032256,6.451612903225798,67.74193548387098,77.41935483870968,90.32258064516127,87.09677419354837,41.935483870967744,90.32258064516127,83.87096774193546,109.6774193548387,38.709677419354826,80.64516129032256,41.935483870967744,77.41935483870968,77.41935483870968,74.19354838709677,-3.225806451612899,74.19354838709677,83.87096774193546,51.61290322580644,90.32258064516127,77.41935483870968,93.5483870967742,0.0,-6.451612903225816,80.64516129032256,-3.225806451612899,19.354838709677413,45.16129032258064,74.19354838709677,0.0,58.06451612903226,0.0,48.38709677419354,64.51612903225808,90.32258064516127,-3.225806451612899,80.64516129032256,9.677419354838698,77.41935483870968,80.64516129032256,80.64516129032256,100.0,35.48387096774193,80.64516129032256,0.0,100.0,96.7741935483871,83.87096774193546,103.2258064516129,83.87096774193546,0.0,77.41935483870968,0.0,93.5483870967742,70.96774193548387,-3.225806451612899,0.0,90.32258064516127,-3.225806451612899,87.09677419354837,87.09677419354837,83.87096774193546,77.41935483870968,93.5483870967742,51.61290322580644,83.87096774193546,62.11443371791852
"High School Statistics (Base: 0.157, +47.0%)",88.23529411764704,55.88235294117647,199.99999999999994,38.23529411764705,2.9411764705882306,-5.882352941176479,2.9411764705882306,2.9411764705882306,32.35294117647059,5.882352941176461,-2.9411764705882306,138.23529411764704,199.99999999999994,2.9411764705882306,35.29411764705882,0.0,73.52941176470587,5.882352941176461,49.999999999999986,5.882352941176461,2.9411764705882306,167.64705882352936,38.23529411764705,199.99999999999994,2.9411764705882306,132.35294117647058,-2.9411764705882306,-2.9411764705882306,120.58823529411764,199.99999999999994,199.99999999999994,17.647058823529402,82.35294117647058,20.58823529411765,35.29411764705882,97.05882352941175,14.705882352941172,199.99999999999994,-5.882352941176479,176.47058823529412,2.9411764705882306,35.29411764705882,2.9411764705882306,0.0,2.9411764705882306,191.17647058823528,17.647058823529402,199.99999999999994,199.99999999999994,-5.882352941176479,-2.9411764705882306,35.29411764705882,64.70588235294116,38.23529411764705,35.29411764705882,5.882352941176461,2.9411764705882306,2.9411764705882306,-5.882352941176479,35.29411764705882,44.11764705882353,0.0,132.35294117647058,2.9411764705882306,2.9411764705882306,2.9411764705882306,38.23529411764705,191.17647058823528,-2.9411764705882306,-2.9411764705882306,61.76470588235294,-5.882352941176479,49.999999999999986,2.9411764705882306,35.29411764705882,114.70588235294117,0.0,38.23529411764705,0.0,91.17647058823529,-11.76470588235294,5.882352941176461,-5.882352941176479,2.9411764705882306,2.9411764705882306,0.0,8.82352941176471,0.0,199.99999999999994,26.470588235294112,-2.9411764705882306,2.9411764705882306,35.29411764705882,-2.9411764705882306,0.0,5.882352941176461,-2.9411764705882306,-2.9411764705882306,20.58823529411765,26.470588235294112,-2.9411764705882306,14.705882352941172,-2.9411764705882306,91.17647058823529,173.52941176470586,35.29411764705882,0.0,26.470588235294112,5.882352941176461,0.0,85.29411764705883,197.0588235294118,32.35294117647059,2.9411764705882306,20.58823529411765,-2.9411764705882306,35.29411764705882,141.1764705882353,41.17647058823528,199.99999999999994,5.882352941176461,-2.9411764705882306,2.9411764705882306,-2.9411764705882306,35.29411764705882,29.411764705882344,-5.882352941176479,-2.9411764705882306,35.29411764705882,0.0,161.76470588235296,35.29411764705882,182.35294117647055,2.9411764705882306,35.29411764705882,76.47058823529413,155.88235294117646,46.95148132245598
"Philosophy (Base: 0.170, +46.6%)",58.49056603773587,69.81132075471699,41.50943396226416,26.41509433962266,0.0,9.433962264150948,54.71698113207547,60.37735849056604,58.49056603773587,60.37735849056604,60.37735849056604,52.830188679245296,41.50943396226416,66.03773584905662,79.24528301886794,9.433962264150948,24.528301886792452,66.03773584905662,69.81132075471699,58.49056603773587,60.37735849056604,69.81132075471699,75.47169811320757,41.50943396226416,60.37735849056604,30.18867924528303,9.433962264150948,9.433962264150948,33.9622641509434,41.50943396226416,41.50943396226416,43.39622641509435,43.39622641509435,62.264150943396245,75.47169811320757,54.71698113207547,20.75471698113208,41.50943396226416,22.641509433962266,39.622641509433976,60.37735849056604,75.47169811320757,60.37735849056604,30.18867924528303,60.37735849056604,37.73584905660379,77.35849056603773,41.50943396226416,41.50943396226416,3.773584905660389,9.433962264150948,73.58490566037736,47.169811320754725,77.35849056603773,77.35849056603773,77.35849056603773,49.056603773584925,3.773584905660389,15.094339622641522,75.47169811320757,66.03773584905662,54.71698113207547,30.18867924528303,60.37735849056604,60.37735849056604,60.37735849056604,75.47169811320757,49.056603773584925,7.547169811320761,11.320754716981133,67.92452830188682,11.320754716981133,26.41509433962266,60.37735849056604,75.47169811320757,39.622641509433976,7.547169811320761,71.69811320754718,66.03773584905662,67.92452830188682,43.39622641509435,62.264150943396245,30.18867924528303,60.37735849056604,60.37735849056604,54.71698113207547,28.30188679245284,60.37735849056604,41.50943396226416,45.28301886792453,71.69811320754718,60.37735849056604,75.47169811320757,11.320754716981133,9.433962264150948,54.71698113207547,11.320754716981133,30.18867924528303,67.92452830188682,66.03773584905662,9.433962264150948,64.15094339622641,9.433962264150948,9.433962264150948,41.50943396226416,77.35849056603773,18.867924528301895,77.35849056603773,15.094339622641522,71.69811320754718,49.056603773584925,37.73584905660379,75.47169811320757,7.547169811320761,64.15094339622641,9.433962264150948,75.47169811320757,49.056603773584925,79.24528301886794,45.28301886792453,60.37735849056604,9.433962264150948,60.37735849056604,9.433962264150948,75.47169811320757,56.60377358490567,7.547169811320761,5.660377358490575,73.58490566037736,9.433962264150948,45.28301886792453,77.35849056603773,37.73584905660379,60.37735849056604,75.47169811320757,37.73584905660379,43.39622641509435,46.61892301335905
"Global Facts (Base: 0.180, +43.7%)",55.55555555555558,66.66666666666666,0.0,55.55555555555558,0.0,11.111111111111121,77.77777777777779,72.22222222222223,77.77777777777779,77.77777777777779,66.66666666666666,22.222222222222225,0.0,88.8888888888889,77.77777777777779,0.0,-38.888888888888886,133.33333333333331,55.55555555555558,72.22222222222223,72.22222222222223,44.44444444444445,83.33333333333334,5.555555555555561,72.22222222222223,66.66666666666666,0.0,0.0,16.666666666666664,0.0,0.0,5.555555555555561,61.11111111111111,66.66666666666666,83.33333333333334,38.88888888888889,50.000000000000014,0.0,-5.555555555555546,0.0,72.22222222222223,83.33333333333334,72.22222222222223,16.666666666666664,72.22222222222223,5.555555555555561,83.33333333333334,5.555555555555561,0.0,0.0,0.0,83.33333333333334,33.33333333333333,38.88888888888889,83.33333333333334,50.000000000000014,66.66666666666666,-5.555555555555546,0.0,83.33333333333334,77.77777777777779,72.22222222222223,0.0,72.22222222222223,72.22222222222223,66.66666666666666,83.33333333333334,-5.555555555555546,-5.555555555555546,0.0,83.33333333333334,16.666666666666664,5.555555555555561,72.22222222222223,83.33333333333334,16.666666666666664,50.000000000000014,77.77777777777779,72.22222222222223,27.77777777777779,16.666666666666664,72.22222222222223,66.66666666666666,72.22222222222223,72.22222222222223,77.77777777777779,33.33333333333333,72.22222222222223,0.0,55.55555555555558,72.22222222222223,72.22222222222223,83.33333333333334,0.0,0.0,77.77777777777779,11.111111111111121,50.000000000000014,50.000000000000014,50.000000000000014,0.0,72.22222222222223,0.0,38.88888888888889,22.222222222222225,94.44444444444444,-5.555555555555546,83.33333333333334,0.0,66.66666666666666,61.11111111111111,0.0,77.77777777777779,22.222222222222225,66.66666666666666,0.0,83.33333333333334,72.22222222222223,83.33333333333334,-5.555555555555546,72.22222222222223,0.0,72.22222222222223,0.0,83.33333333333334,77.77777777777779,0.0,0.0,83.33333333333334,0.0,55.55555555555558,83.33333333333334,27.77777777777779,72.22222222222223,83.33333333333334,-11.111111111111107,27.77777777777779,43.67396593673966
"Management (Base: 0.175, +36.5%)",55.55555555555555,27.77777777777778,116.66666666666666,0.0,0.0,-5.555555555555554,44.444444444444436,44.444444444444436,44.444444444444436,49.99999999999999,16.666666666666657,77.77777777777776,116.66666666666666,-5.555555555555554,11.111111111111107,0.0,94.44444444444444,5.555555555555554,11.111111111111107,27.77777777777778,44.444444444444436,94.44444444444444,11.111111111111107,100.0,44.444444444444436,72.2222222222222,0.0,0.0,61.11111111111109,116.66666666666666,116.66666666666666,49.99999999999999,38.888888888888886,27.77777777777778,11.111111111111107,94.44444444444444,0.0,116.66666666666666,-5.555555555555554,116.66666666666666,44.444444444444436,11.111111111111107,44.444444444444436,5.555555555555554,44.444444444444436,77.77777777777776,0.0,116.66666666666666,116.66666666666666,-5.555555555555554,0.0,11.111111111111107,0.0,94.44444444444444,5.555555555555554,33.33333333333333,0.0,27.77777777777778,5.555555555555554,11.111111111111107,16.666666666666657,44.444444444444436,55.55555555555555,44.444444444444436,44.444444444444436,38.888888888888886,11.111111111111107,111.11111111111111,5.555555555555554,0.0,16.666666666666657,5.555555555555554,5.555555555555554,44.444444444444436,11.111111111111107,100.0,22.222222222222214,11.111111111111107,44.444444444444436,38.888888888888886,38.888888888888886,49.99999999999999,16.666666666666657,44.444444444444436,44.444444444444436,44.444444444444436,66.66666666666666,44.444444444444436,116.66666666666666,27.77777777777778,27.77777777777778,44.444444444444436,11.111111111111107,0.0,0.0,44.444444444444436,0.0,55.55555555555555,38.888888888888886,-5.555555555555554,0.0,11.111111111111107,0.0,38.888888888888886,77.77777777777776,16.666666666666657,5.555555555555554,16.666666666666657,11.111111111111107,49.99999999999999,66.66666666666666,116.66666666666666,11.111111111111107,5.555555555555554,38.888888888888886,0.0,11.111111111111107,38.888888888888886,27.77777777777778,88.8888888888889,44.444444444444436,0.0,44.444444444444436,0.0,11.111111111111107,33.33333333333333,0.0,5.555555555555554,5.555555555555554,0.0,88.8888888888889,11.111111111111107,94.44444444444444,44.444444444444436,11.111111111111107,33.33333333333333,72.2222222222222,36.53690186536901
"High School Biology (Base: 0.181, +34.5%)",58.928571428571445,37.50000000000001,75.0,8.928571428571438,-3.571428571428566,-3.571428571428566,39.28571428571428,41.07142857142857,35.714285714285715,44.64285714285715,33.928571428571445,42.85714285714286,75.0,21.428571428571438,39.28571428571428,0.0,33.928571428571445,51.78571428571428,67.85714285714286,39.28571428571428,41.07142857142857,42.85714285714286,41.07142857142857,75.0,42.85714285714286,53.57142857142857,-1.785714285714275,-1.785714285714275,55.35714285714286,75.0,75.0,44.64285714285715,35.714285714285715,42.85714285714286,39.28571428571428,71.42857142857144,8.928571428571438,75.0,8.928571428571438,73.21428571428574,42.85714285714286,39.28571428571428,41.07142857142857,1.7857142857142905,41.07142857142857,55.35714285714286,28.571428571428587,75.0,75.0,-1.785714285714275,-1.785714285714275,39.28571428571428,30.35714285714286,7.142857142857147,41.07142857142857,42.85714285714286,39.28571428571428,-1.785714285714275,10.714285714285728,39.28571428571428,30.35714285714286,42.85714285714286,51.78571428571428,41.07142857142857,41.07142857142857,41.07142857142857,37.50000000000001,60.71428571428573,0.0,-1.785714285714275,33.928571428571445,-1.785714285714275,25.000000000000007,41.07142857142857,39.28571428571428,66.07142857142857,14.285714285714294,41.07142857142857,39.28571428571428,53.57142857142857,41.07142857142857,42.85714285714286,12.500000000000004,41.07142857142857,41.07142857142857,37.50000000000001,1.7857142857142905,42.85714285714286,76.78571428571429,30.35714285714286,37.50000000000001,41.07142857142857,39.28571428571428,0.0,0.0,39.28571428571428,-3.571428571428566,1.7857142857142905,17.857142857142858,44.64285714285715,-1.785714285714275,32.14285714285715,-1.785714285714275,33.928571428571445,64.28571428571428,46.428571428571445,-3.571428571428566,28.571428571428587,7.142857142857147,46.428571428571445,53.57142857142857,76.78571428571429,37.50000000000001,1.7857142857142905,37.50000000000001,-1.785714285714275,39.28571428571428,37.50000000000001,41.07142857142857,71.42857142857144,42.85714285714286,-1.785714285714275,41.07142857142857,-1.785714285714275,39.28571428571428,35.714285714285715,-1.785714285714275,-1.785714285714275,37.50000000000001,-1.785714285714275,44.64285714285715,41.07142857142857,66.07142857142857,41.07142857142857,39.28571428571428,26.785714285714295,69.64285714285715,34.502085505735145
"Anatomy (Base: 0.185, +34.5%)",28.000000000000014,68.00000000000001,28.000000000000014,35.99999999999999,-3.999999999999991,12.000000000000002,35.99999999999999,35.99999999999999,28.000000000000014,44.00000000000001,24.000000000000004,28.000000000000014,24.000000000000004,68.00000000000001,80.0,0.0,28.000000000000014,55.99999999999999,35.99999999999999,24.000000000000004,35.99999999999999,12.000000000000002,80.0,24.000000000000004,35.99999999999999,8.000000000000012,0.0,0.0,-3.999999999999991,24.000000000000004,24.000000000000004,24.000000000000004,24.000000000000004,60.0,80.0,55.99999999999999,24.000000000000004,24.000000000000004,12.000000000000002,28.000000000000014,35.99999999999999,80.0,35.99999999999999,24.000000000000004,35.99999999999999,20.0,64.0,24.000000000000004,24.000000000000004,8.000000000000012,0.0,80.0,20.0,48.00000000000001,84.00000000000001,80.0,76.00000000000003,0.0,-3.999999999999991,80.0,72.00000000000001,40.0,20.0,35.99999999999999,35.99999999999999,32.0,80.0,20.0,-3.999999999999991,0.0,80.0,-15.999999999999995,20.0,35.99999999999999,80.0,32.0,48.00000000000001,76.00000000000003,28.000000000000014,64.0,40.0,40.0,20.0,35.99999999999999,35.99999999999999,32.0,20.0,35.99999999999999,28.000000000000014,20.0,32.0,35.99999999999999,80.0,0.0,0.0,35.99999999999999,0.0,24.000000000000004,24.000000000000004,55.99999999999999,0.0,76.00000000000003,0.0,20.0,48.00000000000001,64.0,4.000000000000006,72.00000000000001,8.000000000000012,35.99999999999999,28.000000000000014,28.000000000000014,72.00000000000001,8.000000000000012,48.00000000000001,0.0,80.0,12.000000000000002,64.0,8.000000000000012,48.00000000000001,0.0,35.99999999999999,0.0,80.0,40.0,0.0,0.0,76.00000000000003,0.0,28.000000000000014,84.00000000000001,20.0,35.99999999999999,80.0,35.99999999999999,35.99999999999999,34.45255474452555
"High School Geography (Base: 0.177, +34.3%)",0.0,54.28571428571427,100.0,11.428571428571423,5.71428571428572,5.71428571428572,22.85714285714286,22.85714285714286,20.000000000000004,22.85714285714286,34.285714285714285,74.28571428571428,100.0,48.57142857142859,42.85714285714287,0.0,54.28571428571427,42.85714285714287,48.57142857142859,17.142857142857142,22.85714285714286,51.42857142857144,42.85714285714287,97.14285714285715,22.85714285714286,60.0,0.0,0.0,42.85714285714287,100.0,100.0,14.285714285714283,22.85714285714286,31.428571428571427,42.85714285714287,88.57142857142856,25.714285714285705,100.0,-2.85714285714286,102.85714285714285,22.85714285714286,42.85714285714287,22.85714285714286,8.571428571428562,22.85714285714286,105.71428571428572,34.285714285714285,100.0,100.0,0.0,0.0,42.85714285714287,17.142857142857142,51.42857142857144,42.85714285714287,34.285714285714285,8.571428571428562,8.571428571428562,8.571428571428562,42.85714285714287,42.85714285714287,22.85714285714286,91.42857142857143,22.85714285714286,22.85714285714286,20.000000000000004,42.85714285714287,105.71428571428572,5.71428571428572,0.0,51.42857142857144,-17.142857142857142,-2.85714285714286,22.85714285714286,42.85714285714287,62.85714285714287,25.714285714285705,45.714285714285715,17.142857142857142,57.14285714285715,8.571428571428562,22.85714285714286,0.0,22.85714285714286,22.85714285714286,22.85714285714286,17.142857142857142,22.85714285714286,100.0,28.571428571428566,28.571428571428566,22.85714285714286,42.85714285714287,0.0,0.0,25.714285714285705,0.0,11.428571428571423,37.142857142857146,25.714285714285705,0.0,45.714285714285715,0.0,54.28571428571427,71.42857142857143,40.00000000000001,2.85714285714286,28.571428571428566,11.428571428571423,31.428571428571427,17.142857142857142,100.0,42.85714285714287,-5.71428571428572,0.0,0.0,42.85714285714287,31.428571428571427,40.00000000000001,97.14285714285715,25.714285714285705,0.0,22.85714285714286,0.0,42.85714285714287,37.142857142857146,0.0,2.85714285714286,42.85714285714287,0.0,34.285714285714285,42.85714285714287,85.71428571428572,22.85714285714286,42.85714285714287,17.142857142857142,74.28571428571428,34.3274244004171
