,340k,550k,257k,207k,330k,675k,432k,665k,235k,240k,465k,582k,185k,127k,400k,205k,500k,345k,365k,540k,632k,517k,470k,230k,55k,40k,125k,30k,362k,490k,325k,35k,430k,50k,657k,130k,245k,45k,620k,252k,505k,425k,202k,410k,405k,625k,180k,467k,677k,262k,645k,357k,512k,662k,377k,520k,480k,570k,352k,57k,255k,197k,592k,360k,435k,115k,395k,510k,402k,60k,530k,420k,277k,630k,650k,367k,447k,390k,67k,47k,560k,587k,122k,415k,600k,457k,247k,460k,552k,110k,535k,282k,590k,267k,660k,485k,382k,372k,95k,160k,605k,585k,52k,575k,335k,615k,555k,132k,635k,577k,105k,165k,135k,90k,120k,170k,187k,117k,275k,175k,182k,655k,100k,192k,355k,250k,580k,65k,495k,295k,320k,462k,290k,265k,450k,507k,25k,270k,280k,137k,475k,595k,610k,670k,350k,497k,62k,190k,532k,200k,455k,672k,260k,565k,70k,195k,545k,667k,640k,AVG
MMLU OFFICIAL IMPROVEMENT,-0.4335707649427148,-0.34066274388355383,-0.3096934035305123,-0.2787240631774586,-0.247754722824405,-0.21678538247135137,-0.21678538247135137,-0.21678538247135137,-0.21678538247135137,-0.21678538247135137,-0.21678538247135137,-0.21678538247135137,-0.21678538247135137,-0.21678538247135137,-0.1858160421183098,-0.1858160421183098,-0.09290802105914886,-0.09290802105914886,-0.09290802105914886,-0.09290802105914886,-0.030969340353053647,0.0,0.030969340353053647,0.15484670176524407,0.15484670176524407,0.34066274388355383,0.49550944564881,0.6193868070610126,1.0529575720037152,1.145865593062864,1.3626509755342153,1.734283059770823,1.79622174047693,1.9820377825952278,2.198823165066579,2.5394859089501334,2.632393930009282,4.3047383090740095,4.335707649427063,4.80024775472282,5.450603902136885,5.450603902136885,6.131929389903994,6.224837410963143,6.317745432022291,6.348714772375345,6.627438835552804,6.627438835552804,6.875193558377209,6.9371322390833035,6.999070919789411,7.030040260142453,7.030040260142453,7.153917621554655,7.153917621554655,7.184886961907709,7.184886961907709,7.215856302260762,7.215856302260762,7.215856302260762,7.215856302260762,7.215856302260762,7.215856302260762,7.246825642613803,7.246825642613803,7.277794982966858,7.463611025085168,7.866212449674817,7.89718179002787,7.959120470733966,8.052028491793125,8.082997832146168,8.547537937441923,8.70238463920718,8.888200681325479,8.91917002167853,8.91917002167853,8.98110870238464,9.012078042737691,9.166924744502937,9.290802105915152,9.693403530504801,9.848250232270045,10.003096934035312,10.034066274388342,10.096004955094449,10.126974295447503,10.343759677918854,10.498606379684098,10.498606379684098,10.529575720037151,10.622483741096312,10.68442242180242,10.715391762155473,10.746361102508503,10.777330442861558,10.90120780427377,10.932177144626825,10.932177144626825,10.932177144626825,10.932177144626825,10.932177144626825,10.932177144626825,10.932177144626825,10.994115825332909,11.025085165685962,11.056054506039017,11.056054506039017,11.210901207804259,11.30380922886342,11.396717249922581,11.427686590275634,11.427686590275634,11.768349334159177,11.861257355218338,11.985134716630528,12.5735521833385,12.914214927222043,12.976153607928149,13.347785692164743,13.998141839578823,14.369773923815417,14.431712604521524,14.61752864663982,15.17497677299474,15.17497677299474,15.422731495819145,16.2589036853515,16.506658408175902,16.537627748528955,16.568597088882008,16.630535769588118,16.6924744502942,16.6924744502942,16.847321152059465,16.847321152059465,16.847321152059465,16.8782904924125,16.940229173118603,16.940229173118603,16.940229173118603,16.940229173118603,16.940229173118603,16.940229173118603,16.940229173118603,16.940229173118603,16.97119851347166,16.97119851347166,16.97119851347166,16.97119851347166,17.002167853824712,17.002167853824712,17.002167853824712,17.002167853824712,17.06410653453082,17.09507587488387,17.34283059770828,17.497677299473523,17.55961598017963,8.857426116697924
SIMPLE AVERAGE IMPROVEMENT,0.06779910731099632,-0.30338065701626205,-0.2298674220577488,-0.27604526535886154,-0.2379137814660819,-0.22503039912987843,-0.22503039912987843,-0.22503039912987843,-0.22503039912987843,-0.22503039912987843,-0.22503039912987843,-0.22503039912987843,-0.22503039912987843,-0.22503039912987843,-0.1689256425061626,-0.5889599576409092,-0.17660888437770014,-0.07440420960593327,-0.09627354723666598,-0.10328270313339735,-0.16289812656946082,-0.08726338527470408,0.08765909429647804,-0.06879001441002619,0.3816349613072207,0.08340939703206117,0.3463365694830964,0.47862435442165124,0.818160406886511,0.7650224628308688,0.9914284643598835,1.2511299856148768,2.1107775517384546,1.5932631515648132,1.7179147467560698,2.118093155611221,2.5664134477071574,2.8329716079610856,3.8866351677230857,2.858690166951223,3.5562856265869565,4.099757176119418,5.54823481101972,5.358097637033438,4.595376899838915,4.229330024808688,4.238703562701079,4.578346748023446,4.886239875351984,4.992368741202355,4.936598724617768,5.645535725603608,5.090977116375469,5.832243284374533,5.153946611723709,5.1582710181249185,5.136835632495268,5.176933343793777,5.172426879803697,5.1815235422034,5.214970601296298,5.172426879803697,5.172426879803697,5.203613254634729,5.180612068028647,5.106021802042803,6.21583565945236,5.310983269894874,7.118682305262528,4.814532763684451,5.906623772802494,7.097608515325968,6.502623722050788,6.722892962379744,7.478858697150913,7.728942484044546,6.497168473511137,7.727933301261814,6.103275805867835,8.058218044408221,7.56972045903362,6.295015717607666,7.983015361183611,9.657641610650684,7.77104443297378,9.255904960948671,8.02553209328214,7.995267093560643,7.866577775066234,8.404844091180614,10.067864714789465,8.270565515198726,8.152996389411662,8.353275973493915,8.274747561065224,8.354650800312273,8.415506458438772,8.46434817608355,8.46434817608355,8.46434817608355,8.46434817608355,8.46434817608355,8.46434817608355,8.46434817608355,8.518158898979863,9.206697779630524,8.542280920749988,8.511707996062938,9.013101856232288,9.235758716897061,9.936462061814332,8.371993409252221,10.823763430830569,10.34113029262609,9.591504611973901,9.768581482412248,9.288070550694545,11.736707015120889,11.34762909234509,11.442212345172493,10.887254409203951,12.527063088869115,13.599854070943392,12.315599797258889,11.246770283415046,12.992370377178334,13.373006810582721,13.48896047323556,13.947827481861868,14.243043258458089,13.7522492892626,14.344736872564443,14.331944104262744,14.193071088129171,14.377148551077221,14.130732017174829,14.261745196737394,14.312732137584543,14.336845419948835,14.336845419948835,14.336845419948835,14.336845419948835,14.336845419948835,14.336845419948835,14.336845419948835,14.336845419948835,14.079015618920216,14.348817733135796,14.35635667011219,14.357313250642049,14.481472923970347,14.404517022789053,14.440043880566531,14.419666083463689,14.517730449172262,14.373109850373849,14.431312162243737,14.520273531779615,15.301380820397663,7.1946579385017495
"High School Statistics (Base: 0.157, +64.7%)",-2.9411764705882306,-2.9411764705882306,-2.9411764705882306,-2.9411764705882306,-2.9411764705882306,-2.9411764705882306,-2.9411764705882306,-2.9411764705882306,-2.9411764705882306,-2.9411764705882306,-2.9411764705882306,-2.9411764705882306,-2.9411764705882306,-2.9411764705882306,-2.9411764705882306,-8.82352941176471,-2.9411764705882306,-2.9411764705882306,-2.9411764705882306,-2.9411764705882306,0.0,-2.9411764705882306,0.0,-2.9411764705882306,-5.882352941176479,-2.9411764705882306,2.9411764705882306,-2.9411764705882306,-5.882352941176479,-29.41176470588236,-11.76470588235294,11.76470588235294,-5.882352941176479,-2.9411764705882306,23.52941176470588,11.76470588235294,0.0,-11.76470588235294,14.705882352941172,11.76470588235294,0.0,2.9411764705882306,20.58823529411765,-2.9411764705882306,76.47058823529413,-5.882352941176479,32.35294117647059,2.9411764705882306,8.82352941176471,2.9411764705882306,2.9411764705882306,32.35294117647059,2.9411764705882306,8.82352941176471,2.9411764705882306,2.9411764705882306,2.9411764705882306,2.9411764705882306,2.9411764705882306,2.9411764705882306,2.9411764705882306,2.9411764705882306,2.9411764705882306,2.9411764705882306,2.9411764705882306,0.0,44.11764705882353,14.705882352941172,147.05882352941174,8.82352941176471,17.647058823529402,14.705882352941172,8.82352941176471,11.76470588235294,52.941176470588225,79.41176470588233,23.52941176470588,32.35294117647059,29.411764705882344,35.29411764705882,23.52941176470588,26.470588235294112,41.17647058823528,85.29411764705883,47.05882352941176,58.823529411764696,32.35294117647059,55.88235294117647,29.411764705882344,29.411764705882344,108.82352941176472,23.52941176470588,35.29411764705882,35.29411764705882,35.29411764705882,35.29411764705882,35.29411764705882,35.29411764705882,35.29411764705882,35.29411764705882,35.29411764705882,35.29411764705882,35.29411764705882,35.29411764705882,38.23529411764705,85.29411764705883,35.29411764705882,35.29411764705882,108.82352941176472,17.647058823529402,111.76470588235293,55.88235294117647,141.1764705882353,114.70588235294117,67.64705882352942,52.941176470588225,35.29411764705882,170.58823529411762,129.41176470588235,129.41176470588235,97.05882352941175,126.47058823529409,155.88235294117646,141.1764705882353,138.23529411764704,182.35294117647055,108.82352941176472,188.23529411764704,182.35294117647055,202.94117647058823,197.0588235294118,185.29411764705878,194.11764705882354,199.99999999999994,202.94117647058823,199.99999999999994,197.0588235294118,199.99999999999994,199.99999999999994,199.99999999999994,199.99999999999994,199.99999999999994,199.99999999999994,199.99999999999994,199.99999999999994,199.99999999999994,199.99999999999994,199.99999999999994,199.99999999999994,197.0588235294118,197.0588235294118,199.99999999999994,199.99999999999994,199.99999999999994,202.94117647058823,202.94117647058823,199.99999999999994,208.82352941176472,197.0588235294118,64.68738438771733
"High School Chemistry (Base: 0.153, +63.2%)",-3.225806451612899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.225806451612899,-3.225806451612899,-3.225806451612899,-6.451612903225816,0.0,9.677419354838698,-3.225806451612899,6.451612903225798,6.451612903225798,0.0,19.354838709677413,0.0,9.677419354838698,9.677419354838698,25.80645161290321,19.354838709677413,3.225806451612899,38.709677419354826,0.0,9.677419354838698,16.129032258064512,25.80645161290321,6.451612903225798,16.129032258064512,67.74193548387098,64.51612903225808,58.06451612903226,41.935483870967744,61.29032258064515,12.903225806451616,54.83870967741934,77.41935483870968,74.19354838709677,112.9032258064516,77.41935483870968,77.41935483870968,51.61290322580644,80.64516129032256,64.51612903225808,77.41935483870968,77.41935483870968,77.41935483870968,77.41935483870968,77.41935483870968,77.41935483870968,77.41935483870968,77.41935483870968,77.41935483870968,77.41935483870968,77.41935483870968,64.51612903225808,77.41935483870968,83.87096774193546,58.06451612903226,100.0,80.64516129032256,58.06451612903226,83.87096774193546,96.7741935483871,58.06451612903226,54.83870967741934,80.64516129032256,93.5483870967742,80.64516129032256,96.7741935483871,100.0,74.19354838709677,80.64516129032256,93.5483870967742,80.64516129032256,83.87096774193546,93.5483870967742,77.41935483870968,83.87096774193546,93.5483870967742,80.64516129032256,103.2258064516129,90.32258064516127,90.32258064516127,93.5483870967742,103.2258064516129,93.5483870967742,93.5483870967742,93.5483870967742,93.5483870967742,93.5483870967742,93.5483870967742,93.5483870967742,93.5483870967742,90.32258064516127,61.29032258064515,103.2258064516129,93.5483870967742,93.5483870967742,87.09677419354837,93.5483870967742,87.09677419354837,61.29032258064515,93.5483870967742,83.87096774193546,103.2258064516129,116.1290322580645,67.74193548387098,74.19354838709677,67.74193548387098,80.64516129032256,74.19354838709677,106.4516129032258,83.87096774193546,106.4516129032258,96.7741935483871,87.09677419354837,83.87096774193546,70.96774193548387,83.87096774193546,93.5483870967742,70.96774193548387,83.87096774193546,83.87096774193546,80.64516129032256,83.87096774193546,80.64516129032256,83.87096774193546,83.87096774193546,83.87096774193546,83.87096774193546,83.87096774193546,83.87096774193546,83.87096774193546,83.87096774193546,83.87096774193546,93.5483870967742,83.87096774193546,83.87096774193546,83.87096774193546,87.09677419354837,83.87096774193546,83.87096774193546,83.87096774193546,80.64516129032256,83.87096774193546,83.87096774193546,87.09677419354837,80.64516129032256,63.21769121525664
"Management (Base: 0.175, +48.6%)",0.0,5.555555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.555555555555554,0.0,5.555555555555554,0.0,5.555555555555554,22.222222222222214,-5.555555555555554,0.0,0.0,5.555555555555554,-5.555555555555554,0.0,5.555555555555554,-5.555555555555554,11.111111111111107,16.666666666666657,-5.555555555555554,0.0,5.555555555555554,0.0,5.555555555555554,0.0,-11.111111111111121,22.222222222222214,38.888888888888886,11.111111111111107,22.222222222222214,44.444444444444436,44.444444444444436,11.111111111111107,38.888888888888886,-11.111111111111121,27.77777777777778,33.33333333333333,44.444444444444436,44.444444444444436,0.0,49.99999999999999,33.33333333333333,44.444444444444436,44.444444444444436,44.444444444444436,44.444444444444436,44.444444444444436,44.444444444444436,44.444444444444436,44.444444444444436,44.444444444444436,44.444444444444436,44.444444444444436,44.444444444444436,55.55555555555555,55.55555555555555,33.33333333333333,55.55555555555555,66.66666666666666,77.77777777777776,22.222222222222214,38.888888888888886,94.44444444444444,94.44444444444444,44.444444444444436,27.77777777777778,44.444444444444436,100.0,16.666666666666657,0.0,49.99999999999999,100.0,22.222222222222214,77.77777777777776,16.666666666666657,77.77777777777776,5.555555555555554,33.33333333333333,49.99999999999999,16.666666666666657,16.666666666666657,22.222222222222214,11.111111111111107,16.666666666666657,11.111111111111107,11.111111111111107,11.111111111111107,11.111111111111107,11.111111111111107,11.111111111111107,11.111111111111107,11.111111111111107,11.111111111111107,127.77777777777777,11.111111111111107,11.111111111111107,0.0,27.77777777777778,94.44444444444444,11.111111111111107,111.11111111111111,100.0,49.99999999999999,33.33333333333333,55.55555555555555,77.77777777777776,55.55555555555555,127.77777777777777,66.66666666666666,100.0,122.22222222222221,122.22222222222221,55.55555555555555,66.66666666666666,105.55555555555556,100.0,116.66666666666666,116.66666666666666,122.22222222222221,100.0,111.11111111111111,116.66666666666666,116.66666666666666,122.22222222222221,116.66666666666666,116.66666666666666,116.66666666666666,116.66666666666666,116.66666666666666,116.66666666666666,116.66666666666666,116.66666666666666,116.66666666666666,116.66666666666666,105.55555555555556,116.66666666666666,116.66666666666666,116.66666666666666,116.66666666666666,116.66666666666666,116.66666666666666,116.66666666666666,116.66666666666666,111.11111111111111,122.22222222222221,116.66666666666666,116.66666666666666,48.567435359888194
"Philosophy (Base: 0.170, +45.1%)",5.660377358490575,7.547169811320761,9.433962264150948,9.433962264150948,9.433962264150948,9.433962264150948,9.433962264150948,9.433962264150948,9.433962264150948,9.433962264150948,9.433962264150948,9.433962264150948,9.433962264150948,9.433962264150948,9.433962264150948,3.773584905660389,9.433962264150948,9.433962264150948,9.433962264150948,13.20754716981132,9.433962264150948,9.433962264150948,7.547169811320761,9.433962264150948,20.75471698113208,13.20754716981132,16.98113207547171,7.547169811320761,15.094339622641522,24.528301886792452,11.320754716981133,5.660377358490575,18.867924528301895,9.433962264150948,18.867924528301895,32.07547169811322,32.07547169811322,26.41509433962266,32.07547169811322,26.41509433962266,50.943396226415096,64.15094339622641,64.15094339622641,52.830188679245296,41.50943396226416,64.15094339622641,50.943396226415096,60.37735849056604,56.60377358490567,60.37735849056604,60.37735849056604,52.830188679245296,60.37735849056604,50.943396226415096,64.15094339622641,60.37735849056604,60.37735849056604,60.37735849056604,60.37735849056604,60.37735849056604,62.264150943396245,60.37735849056604,60.37735849056604,60.37735849056604,60.37735849056604,62.264150943396245,62.264150943396245,64.15094339622641,20.75471698113208,64.15094339622641,47.169811320754725,39.622641509433976,56.60377358490567,50.943396226415096,73.58490566037736,28.30188679245284,64.15094339622641,71.69811320754718,66.03773584905662,60.37735849056604,73.58490566037736,75.47169811320757,47.169811320754725,69.81132075471699,64.15094339622641,45.28301886792453,79.24528301886794,71.69811320754718,71.69811320754718,73.58490566037736,18.867924528301895,73.58490566037736,75.47169811320757,75.47169811320757,75.47169811320757,73.58490566037736,75.47169811320757,75.47169811320757,75.47169811320757,75.47169811320757,75.47169811320757,75.47169811320757,75.47169811320757,75.47169811320757,75.47169811320757,67.92452830188682,77.35849056603773,73.58490566037736,69.81132075471699,77.35849056603773,60.37735849056604,77.35849056603773,22.641509433962266,56.60377358490567,37.73584905660379,71.69811320754718,50.943396226415096,67.92452830188682,37.73584905660379,39.622641509433976,43.39622641509435,47.169811320754725,33.9622641509434,47.169811320754725,52.830188679245296,52.830188679245296,66.03773584905662,41.50943396226416,58.49056603773587,39.622641509433976,41.50943396226416,54.71698113207547,47.169811320754725,41.50943396226416,41.50943396226416,39.622641509433976,37.73584905660379,41.50943396226416,41.50943396226416,41.50943396226416,41.50943396226416,41.50943396226416,41.50943396226416,41.50943396226416,41.50943396226416,41.50943396226416,50.943396226415096,41.50943396226416,41.50943396226416,41.50943396226416,41.50943396226416,43.39622641509435,41.50943396226416,41.50943396226416,45.28301886792453,41.50943396226416,41.50943396226416,45.28301886792453,43.39622641509435,45.11688619912187
"High School Geography (Base: 0.177, +43.5%)",0.0,0.0,2.85714285714286,-2.85714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.85714285714286,0.0,0.0,0.0,0.0,0.0,2.85714285714286,0.0,0.0,5.71428571428572,0.0,0.0,2.85714285714286,2.85714285714286,-5.71428571428572,14.285714285714283,2.85714285714286,0.0,25.714285714285705,-8.571428571428562,14.285714285714283,5.71428571428572,40.00000000000001,-2.85714285714286,25.714285714285705,17.142857142857142,25.714285714285705,8.571428571428562,20.000000000000004,20.000000000000004,25.714285714285705,22.85714285714286,14.285714285714283,17.142857142857142,22.85714285714286,22.85714285714286,20.000000000000004,20.000000000000004,14.285714285714283,22.85714285714286,22.85714285714286,22.85714285714286,25.714285714285705,22.85714285714286,22.85714285714286,22.85714285714286,22.85714285714286,22.85714285714286,22.85714285714286,22.85714285714286,25.714285714285705,31.428571428571427,11.428571428571423,40.00000000000001,28.571428571428566,31.428571428571427,17.142857142857142,45.714285714285715,20.000000000000004,48.57142857142859,68.57142857142856,20.000000000000004,34.285714285714285,5.71428571428572,57.14285714285715,62.85714285714287,25.714285714285705,20.000000000000004,42.85714285714287,48.57142857142859,22.85714285714286,42.85714285714287,62.85714285714287,51.42857142857144,40.00000000000001,45.714285714285715,17.142857142857142,42.85714285714287,45.714285714285715,42.85714285714287,42.85714285714287,42.85714285714287,42.85714285714287,42.85714285714287,42.85714285714287,42.85714285714287,42.85714285714287,42.85714285714287,42.85714285714287,42.85714285714287,68.57142857142856,42.85714285714287,42.85714285714287,60.0,45.714285714285715,105.71428571428572,40.00000000000001,88.57142857142856,34.285714285714285,77.14285714285715,80.0,17.142857142857142,54.28571428571427,91.42857142857143,80.0,88.57142857142856,111.42857142857143,82.85714285714288,80.0,102.85714285714285,71.42857142857143,102.85714285714285,105.71428571428572,100.0,94.28571428571428,97.14285714285715,105.71428571428572,97.14285714285715,100.0,91.42857142857143,105.71428571428572,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77.14285714285715,100.0,100.0,100.0,100.0,97.14285714285715,100.0,100.0,97.14285714285715,100.0,97.14285714285715,105.71428571428572,100.0,43.504043126684635
"Professional Medicine (Base: 0.184, +41.8%)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.999999999999994,0.0,0.0,-8.000000000000002,0.0,-4.000000000000001,-12.000000000000002,0.0,0.0,0.0,3.9999999999999853,3.9999999999999853,0.0,39.99999999999997,5.999999999999994,7.999999999999987,9.999999999999993,-18.00000000000001,25.999999999999996,30.0,9.999999999999993,-10.000000000000009,7.999999999999987,11.999999999999988,9.999999999999993,9.999999999999993,9.999999999999993,9.999999999999993,11.999999999999988,9.999999999999993,9.999999999999993,9.999999999999993,9.999999999999993,9.999999999999993,9.999999999999993,9.999999999999993,9.999999999999993,9.999999999999993,9.999999999999993,9.999999999999993,11.999999999999988,13.999999999999996,21.999999999999993,85.99999999999999,9.999999999999993,17.999999999999993,-22.00000000000001,7.999999999999987,15.999999999999986,43.999999999999986,1.9999999999999927,11.999999999999988,-6.000000000000009,-8.000000000000002,17.999999999999993,-8.000000000000002,-16.000000000000004,7.999999999999987,7.999999999999987,7.999999999999987,60.0,-10.000000000000009,9.999999999999993,-10.000000000000009,-10.000000000000009,109.99999999999999,-6.000000000000009,-10.000000000000009,-10.000000000000009,-10.000000000000009,-10.000000000000009,-10.000000000000009,-10.000000000000009,-10.000000000000009,-10.000000000000009,-10.000000000000009,-10.000000000000009,-10.000000000000009,-10.000000000000009,-10.000000000000009,-8.000000000000002,-10.000000000000009,-10.000000000000009,113.99999999999999,5.999999999999994,79.99999999999999,1.9999999999999927,79.99999999999999,103.99999999999999,34.0,25.999999999999996,1.9999999999999927,129.99999999999997,105.99999999999999,97.99999999999997,111.99999999999999,123.99999999999997,94.0,139.99999999999997,100.0,144.0,92.0,145.99999999999997,141.99999999999997,144.0,144.0,105.99999999999999,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,141.99999999999997,144.0,144.0,144.0,141.99999999999997,144.0,144.0,144.0,144.0,144.0,144.0,145.99999999999997,144.0,41.77358490566038
"High School Biology (Base: 0.181, +39.2%)",-1.785714285714275,3.571428571428581,-3.571428571428566,-1.785714285714275,-3.571428571428566,-1.785714285714275,-1.785714285714275,-1.785714285714275,-1.785714285714275,-1.785714285714275,-1.785714285714275,-1.785714285714275,-1.785714285714275,-1.785714285714275,-1.785714285714275,-3.571428571428566,-1.785714285714275,0.0,-1.785714285714275,-1.785714285714275,-1.785714285714275,-1.785714285714275,-3.571428571428566,1.7857142857142905,-5.357142857142856,0.0,-1.785714285714275,-3.571428571428566,8.928571428571438,1.7857142857142905,7.142857142857147,8.928571428571438,-7.142857142857132,1.7857142857142905,7.142857142857147,17.857142857142858,12.500000000000004,16.071428571428584,16.071428571428584,17.857142857142858,39.28571428571428,39.28571428571428,28.571428571428587,39.28571428571428,28.571428571428587,35.714285714285715,32.14285714285715,39.28571428571428,41.07142857142857,41.07142857142857,39.28571428571428,30.35714285714286,44.64285714285715,44.64285714285715,39.28571428571428,41.07142857142857,41.07142857142857,41.07142857142857,41.07142857142857,41.07142857142857,41.07142857142857,41.07142857142857,41.07142857142857,41.07142857142857,41.07142857142857,42.85714285714286,35.714285714285715,23.21428571428573,51.78571428571428,41.07142857142857,58.928571428571445,28.571428571428587,50.00000000000002,30.35714285714286,44.64285714285715,58.928571428571445,41.07142857142857,44.64285714285715,44.64285714285715,62.499999999999986,48.21428571428573,42.85714285714286,42.85714285714286,37.50000000000001,28.571428571428587,46.428571428571445,37.50000000000001,60.71428571428573,37.50000000000001,39.28571428571428,33.928571428571445,37.50000000000001,32.14285714285715,41.07142857142857,39.28571428571428,41.07142857142857,39.28571428571428,39.28571428571428,39.28571428571428,39.28571428571428,39.28571428571428,39.28571428571428,39.28571428571428,39.28571428571428,39.28571428571428,48.21428571428573,39.28571428571428,41.07142857142857,53.57142857142857,55.35714285714286,69.64285714285715,33.928571428571445,50.00000000000002,53.57142857142857,57.14285714285715,17.857142857142858,39.28571428571428,69.64285714285715,57.14285714285715,73.21428571428574,73.21428571428574,62.499999999999986,64.28571428571428,57.14285714285715,64.28571428571428,42.85714285714286,53.57142857142857,64.28571428571428,69.64285714285715,67.85714285714286,75.0,78.57142857142858,71.42857142857144,75.0,75.0,69.64285714285715,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,67.85714285714286,75.0,75.0,75.0,75.0,75.0,75.0,75.0,71.42857142857144,75.0,73.21428571428574,75.0,75.0,39.16217430368374
"Astronomy (Base: 0.184, +38.0%)",-3.5714285714285676,3.571428571428583,10.714285714285717,-3.5714285714285676,-3.5714285714285676,-3.5714285714285676,-3.5714285714285676,-3.5714285714285676,-3.5714285714285676,-3.5714285714285676,-3.5714285714285676,-3.5714285714285676,-3.5714285714285676,-3.5714285714285676,-3.5714285714285676,-3.5714285714285676,-3.5714285714285676,-3.5714285714285676,3.571428571428583,-3.5714285714285676,-3.5714285714285676,0.0,0.0,-3.5714285714285676,3.571428571428583,-7.142857142857135,0.0,0.0,17.85714285714287,17.85714285714287,7.142857142857151,7.142857142857151,3.571428571428583,0.0,-10.714285714285703,-7.142857142857135,14.285714285714285,25.000000000000007,-3.5714285714285676,25.000000000000007,-7.142857142857135,21.428571428571434,60.71428571428571,17.85714285714287,3.571428571428583,-3.5714285714285676,35.71428571428572,0.0,0.0,-3.5714285714285676,0.0,53.57142857142857,0.0,-7.142857142857135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.571428571428583,10.714285714285717,10.714285714285717,21.428571428571434,57.14285714285716,-3.5714285714285676,3.571428571428583,10.714285714285717,14.285714285714285,7.142857142857151,53.57142857142857,35.71428571428572,25.000000000000007,50.00000000000002,50.00000000000002,25.000000000000007,39.285714285714306,60.71428571428571,25.000000000000007,67.85714285714288,39.285714285714306,0.0,57.14285714285716,42.857142857142854,64.28571428571429,75.00000000000001,92.85714285714286,53.57142857142857,64.28571428571429,57.14285714285716,64.28571428571429,64.28571428571429,64.28571428571429,64.28571428571429,64.28571428571429,64.28571428571429,64.28571428571429,64.28571428571429,64.28571428571429,64.28571428571429,67.85714285714288,53.57142857142857,64.28571428571429,64.28571428571429,25.000000000000007,42.857142857142854,71.42857142857143,67.85714285714288,78.5714285714286,21.428571428571434,39.285714285714306,82.14285714285715,35.71428571428572,71.42857142857143,39.285714285714306,85.71428571428574,57.14285714285716,89.28571428571428,57.14285714285716,64.28571428571429,96.42857142857146,82.14285714285715,85.71428571428574,75.00000000000001,82.14285714285715,82.14285714285715,64.28571428571429,82.14285714285715,82.14285714285715,82.14285714285715,82.14285714285715,82.14285714285715,82.14285714285715,82.14285714285715,82.14285714285715,82.14285714285715,82.14285714285715,82.14285714285715,82.14285714285715,82.14285714285715,82.14285714285715,82.14285714285715,85.71428571428574,82.14285714285715,82.14285714285715,82.14285714285715,82.14285714285715,82.14285714285715,82.14285714285715,82.14285714285715,82.14285714285715,82.14285714285715,89.28571428571428,82.14285714285715,89.28571428571428,37.96046720575023
