,30k,35k,40k,45k,50k,52k,55k,57k,60k,62k,65k,67k,70k,72k,75k,105k,110k,115k,120k,125k,130k,132k,135k,137k,140k,142k,145k,147k,150k,180k,185k,190k,195k,200k,202k,205k,207k,210k,212k,215k,217k,220k,222k,225k,255k,260k,262k,265k,270k,272k,275k,280k,282k,285k,287k,290k,292k,295k,297k,300k,340k,345k,350k,355k,357k,360k,365k,370k,372k,375k,380k,382k,385k,410k,412k,415k,420k,422k,425k,430k,432k,435k,440k,442k,445k,447k,450k,455k,482k,485k,490k,492k,495k,500k,502k,505k,510k,512k,515k,517k,520k,525k,527k,530k,545k,552k,557k,560k,565k,567k,570k,575k,580k,585k,587k,590k,595k,600k,602k,605k,627k,630k,632k,635k,640k,642k,645k,650k,652k,655k,660k,662k,665k,667k,670k,675k,677k,AVG
MMLU OFFICIAL,0.2608602763139154,0.2516735507762427,0.26926363765845324,0.24562028201110953,0.22916963395527704,0.2299529981484119,0.24619000142429853,0.24654607605754167,0.24960831790343255,0.24661729098419027,0.2444096282580829,0.26442102264634665,0.2689075630252101,0.24533542230451502,0.2553767269619712,0.23016664292835778,0.24426719840478564,0.24704458054408204,0.25566158666856575,0.24562028201110953,0.24654607605754167,0.2669135450790486,0.2549494374020795,0.269690927218345,0.24690215069078478,0.260361771827375,0.22945449366187154,0.22945449366187154,0.2560888762284575,0.2689075630252101,0.2689075630252101,0.2435550491382994,0.25160233584959407,0.24754308503062242,0.25509186725537675,0.25708588520153824,0.23928215353938184,0.2689075630252101,0.2340834638940322,0.26570289132602193,0.24704458054408204,0.25509186725537675,0.24654607605754167,0.23230309072781655,0.24654607605754167,0.26883634809856144,0.2491810283435408,0.26904999287850734,0.2689075630252101,0.2293832787352229,0.22945449366187154,0.2544509329155391,0.24910981341689217,0.24341261928500213,0.25402364335564737,0.24633243127759577,0.2480415895171628,0.23116365190143853,0.2315909414613303,0.2553055120353226,0.2518871955561886,0.2486113089303518,0.25302663438256656,0.24654607605754167,0.24647486113089304,0.2461187864976499,0.25523429710867396,0.2676969092721834,0.22945449366187154,0.22945449366187154,0.25373878364905283,0.2337986041874377,0.23978065802592224,0.24654607605754167,0.25509186725537675,0.2600769121207805,0.2380002848597066,0.25452214784218774,0.24782794473721692,0.2575843896880786,0.23714570573992308,0.24597635664435266,0.23586383706024783,0.24654607605754167,0.24661729098419027,0.24768551488391968,0.23458196838057258,0.2464036462042444,0.2684090585386697,0.2472582253240279,0.2469733656174334,0.24654607605754167,0.25509186725537675,0.22959692351516878,0.2293832787352229,0.24711579547073068,0.23030907278165502,0.23201823102122204,0.2466885059108389,0.2525993448226748,0.22945449366187154,0.2501780373166216,0.22945449366187154,0.24619000142429853,0.2601481270474291,0.25566158666856575,0.22738926078906138,0.2505341119498647,0.2329440250676542,0.24747187010397378,0.25302663438256656,0.2680529839054266,0.2543797179888905,0.23735935051986898,0.25046289702321606,0.22945449366187154,0.2553055120353226,0.26463466742629255,0.25402364335564737,0.26983335707164224,0.24754308503062242,0.22945449366187154,0.24654607605754167,0.22945449366187154,0.25509186725537675,0.2454778521578123,0.22895598917533114,0.22945449366187154,0.2553767269619712,0.22924084888192564,0.26520438683948155,0.25452214784218774,0.26598775103261646,0.24661729098419027,0.25509186725537675,0.24661729098419027,0.26605896595926504,0.24810552700605168
SIMPLE AVERAGE (All Tasks),0.2605254733948952,0.2494137401379886,0.271135996569812,0.24632737709999536,0.23018669296516314,0.23198495908616124,0.244105281486353,0.24462018824497303,0.24679968788675927,0.24483209084644134,0.24358419299601577,0.265822473261319,0.27037992423374224,0.2438222869763563,0.25412277122822446,0.2319134000498951,0.24923743309169016,0.24749941938384107,0.2524607836370452,0.24363324387354315,0.24462018824497303,0.2669748109136008,0.2533096078539783,0.26884924323916354,0.2449862254837309,0.25779395950714057,0.2311685755537102,0.2311685755537102,0.25351929742299883,0.27037992423374224,0.27037992423374224,0.242396569566278,0.24893059824158997,0.24957386562794504,0.2538313119675745,0.25882461783610716,0.2373265429971295,0.27037992423374224,0.23438067067740762,0.2672543219375343,0.24509438167247136,0.2538313119675745,0.24462018824497303,0.23480549810913384,0.24462018824497303,0.2718182097750885,0.2478746038758109,0.27065774296357337,0.27037992423374224,0.23160461291401993,0.2311685755537102,0.25322294898732806,0.24714282235070134,0.2455252583797464,0.2525973473902239,0.2438021513334705,0.24656450597348115,0.23324469808037634,0.2349710663276871,0.25393497439792156,0.25161885402347595,0.24868232333862383,0.252977067613312,0.24462018824497303,0.24435046386954296,0.24351527076540572,0.25373367191384877,0.26809105100170766,0.23080777004132455,0.2311600094200242,0.25082046570806515,0.2354554079260056,0.24243185148333296,0.24462018824497303,0.25406924500170847,0.2615386183763801,0.2418028427210438,0.2531305990173854,0.24657462909964184,0.2575129567684176,0.23734694372362447,0.24379022873084344,0.2377386467327425,0.24462018824497303,0.2446651725004836,0.24626121211134544,0.23761864257039053,0.24432826782092953,0.269723671938265,0.24856243950617077,0.24487752178501737,0.24462018824497303,0.2538313119675745,0.23128157977362623,0.23105327160689926,0.24665968865360174,0.23288468302390394,0.2322631603486532,0.24392932602894132,0.25139044275560407,0.2311685755537102,0.2473028366313456,0.2311685755537102,0.24679559807302523,0.26635670222786206,0.25603216192355477,0.22843433582138928,0.24944010128246888,0.2349719546929034,0.24631956865073415,0.2571772959862549,0.26931695467030636,0.2533663244216754,0.2429778263905779,0.24993632169873178,0.23105312561611419,0.2540899030022945,0.2639719591174333,0.25355122106816863,0.27110918116901733,0.24595821073856525,0.2311685755537102,0.24462018824497303,0.2311685755537102,0.2538313119675745,0.2454890386290379,0.23040121786334342,0.2312050207222092,0.255355163870778,0.23064672211607087,0.26747441841658043,0.2536053349429222,0.26728525599210823,0.24469484296688418,0.2538313119675745,0.24620426833424974,0.2662519196869811,0.2481359791702068
Human Aging (Avg: 0.272),0.3452914798206278,0.17488789237668162,0.10762331838565023,0.28699551569506726,0.31390134529147984,0.2825112107623318,0.37668161434977576,0.37668161434977576,0.36771300448430494,0.38565022421524664,0.37668161434977576,0.13901345291479822,0.10762331838565023,0.273542600896861,0.2062780269058296,0.31390134529147984,0.21973094170403587,0.3183856502242152,0.23766816143497757,0.37668161434977576,0.37668161434977576,0.27802690582959644,0.20179372197309417,0.1210762331838565,0.37668161434977576,0.28699551569506726,0.31390134529147984,0.31390134529147984,0.17040358744394618,0.10762331838565023,0.10762331838565023,0.40358744394618834,0.3542600896860987,0.2556053811659193,0.20179372197309417,0.14798206278026907,0.3004484304932735,0.10762331838565023,0.3273542600896861,0.11659192825112108,0.3811659192825112,0.20179372197309417,0.37668161434977576,0.2825112107623318,0.37668161434977576,0.13901345291479822,0.20179372197309417,0.10762331838565023,0.10762331838565023,0.3183856502242152,0.31390134529147984,0.20179372197309417,0.26905829596412556,0.2600896860986547,0.20179372197309417,0.273542600896861,0.25112107623318386,0.3094170403587444,0.2825112107623318,0.20179372197309417,0.25112107623318386,0.3721973094170404,0.16143497757847533,0.37668161434977576,0.37668161434977576,0.37668161434977576,0.20179372197309417,0.09865470852017937,0.3004484304932735,0.31390134529147984,0.20179372197309417,0.3452914798206278,0.27802690582959644,0.37668161434977576,0.19730941704035873,0.17040358744394618,0.37668161434977576,0.20179372197309417,0.3721973094170404,0.242152466367713,0.3632286995515695,0.3721973094170404,0.38565022421524664,0.37668161434977576,0.37668161434977576,0.3721973094170404,0.30493273542600896,0.37668161434977576,0.10762331838565023,0.30493273542600896,0.37668161434977576,0.37668161434977576,0.20179372197309417,0.31390134529147984,0.3183856502242152,0.3721973094170404,0.31390134529147984,0.3273542600896861,0.2062780269058296,0.27802690582959644,0.31390134529147984,0.20179372197309417,0.31390134529147984,0.2556053811659193,0.2556053811659193,0.2062780269058296,0.2914798206278027,0.20179372197309417,0.29596412556053814,0.34977578475336324,0.30493273542600896,0.10762331838565023,0.2062780269058296,0.27802690582959644,0.27802690582959644,0.31390134529147984,0.20179372197309417,0.33183856502242154,0.2062780269058296,0.16591928251121077,0.37668161434977576,0.31390134529147984,0.37668161434977576,0.31390134529147984,0.20179372197309417,0.34977578475336324,0.3183856502242152,0.31390134529147984,0.20179372197309417,0.31390134529147984,0.21524663677130046,0.20179372197309417,0.15246636771300448,0.37668161434977576,0.20179372197309417,0.23766816143497757,0.15695067264573992,0.2718077967987954
Global Facts (Avg: 0.259),0.28,0.3,0.18,0.28,0.18,0.2,0.32,0.31,0.32,0.32,0.3,0.22,0.18,0.34,0.32,0.18,0.11,0.42,0.28,0.31,0.31,0.26,0.33,0.19,0.31,0.3,0.18,0.18,0.21,0.18,0.18,0.19,0.29,0.3,0.33,0.25,0.27,0.18,0.17,0.18,0.31,0.33,0.31,0.21,0.31,0.19,0.33,0.19,0.18,0.18,0.18,0.33,0.24,0.25,0.33,0.27,0.3,0.17,0.18,0.33,0.32,0.31,0.18,0.31,0.31,0.3,0.33,0.17,0.17,0.18,0.33,0.21,0.19,0.31,0.33,0.21,0.27,0.32,0.31,0.23,0.21,0.31,0.3,0.31,0.31,0.32,0.24,0.31,0.18,0.28,0.31,0.31,0.33,0.18,0.18,0.32,0.2,0.27,0.27,0.27,0.18,0.31,0.18,0.25,0.22,0.35,0.17,0.33,0.18,0.3,0.29,0.18,0.32,0.22,0.3,0.18,0.33,0.31,0.33,0.17,0.31,0.18,0.31,0.18,0.33,0.32,0.18,0.18,0.33,0.18,0.28,0.33,0.23,0.31,0.33,0.16,0.23,0.2586131386861314
International Law (Avg: 0.258),0.19834710743801653,0.371900826446281,0.14049586776859505,0.32231404958677684,0.23140495867768596,0.2644628099173554,0.2396694214876033,0.24793388429752067,0.23140495867768596,0.2396694214876033,0.24793388429752067,0.1652892561983471,0.14049586776859505,0.2727272727272727,0.371900826446281,0.2396694214876033,0.19834710743801653,0.256198347107438,0.33884297520661155,0.2396694214876033,0.24793388429752067,0.2809917355371901,0.38016528925619836,0.14049586776859505,0.24793388429752067,0.2231404958677686,0.2396694214876033,0.2396694214876033,0.2066115702479339,0.14049586776859505,0.14049586776859505,0.2809917355371901,0.2066115702479339,0.3140495867768595,0.371900826446281,0.2396694214876033,0.371900826446281,0.14049586776859505,0.2231404958677686,0.1322314049586777,0.24793388429752067,0.371900826446281,0.24793388429752067,0.2644628099173554,0.24793388429752067,0.18181818181818182,0.3884297520661157,0.14049586776859505,0.14049586776859505,0.2396694214876033,0.2396694214876033,0.371900826446281,0.3305785123966942,0.23140495867768596,0.35537190082644626,0.32231404958677684,0.2727272727272727,0.2396694214876033,0.256198347107438,0.371900826446281,0.371900826446281,0.256198347107438,0.2231404958677686,0.24793388429752067,0.2396694214876033,0.256198347107438,0.371900826446281,0.17355371900826447,0.2396694214876033,0.2396694214876033,0.3305785123966942,0.256198347107438,0.2975206611570248,0.24793388429752067,0.371900826446281,0.21487603305785125,0.2066115702479339,0.371900826446281,0.256198347107438,0.2396694214876033,0.18181818181818182,0.256198347107438,0.2396694214876033,0.24793388429752067,0.24793388429752067,0.24793388429752067,0.2396694214876033,0.24793388429752067,0.1487603305785124,0.2644628099173554,0.2231404958677686,0.24793388429752067,0.371900826446281,0.2396694214876033,0.23140495867768596,0.23140495867768596,0.24793388429752067,0.2396694214876033,0.21487603305785125,0.4049586776859504,0.2396694214876033,0.34710743801652894,0.2396694214876033,0.2644628099173554,0.1652892561983471,0.371900826446281,0.2396694214876033,0.371900826446281,0.2231404958677686,0.2644628099173554,0.2066115702479339,0.1322314049586777,0.36363636363636365,0.33884297520661155,0.2975206611570248,0.2396694214876033,0.371900826446281,0.2396694214876033,0.3305785123966942,0.14049586776859505,0.2396694214876033,0.2396694214876033,0.24793388429752067,0.2396694214876033,0.371900826446281,0.2396694214876033,0.2396694214876033,0.2396694214876033,0.38016528925619836,0.2231404958677686,0.19008264462809918,0.33884297520661155,0.18181818181818182,0.24793388429752067,0.371900826446281,0.21487603305785125,0.15702479338842976,0.2578874343970562
Virology (Avg: 0.258),0.2891566265060241,0.21686746987951808,0.1927710843373494,0.2289156626506024,0.28313253012048195,0.27710843373493976,0.3132530120481928,0.3192771084337349,0.3132530120481928,0.3192771084337349,0.3253012048192771,0.18674698795180722,0.1927710843373494,0.29518072289156627,0.21084337349397592,0.27710843373493976,0.24096385542168675,0.28313253012048195,0.24096385542168675,0.3192771084337349,0.3192771084337349,0.25301204819277107,0.20481927710843373,0.1927710843373494,0.3192771084337349,0.3192771084337349,0.28313253012048195,0.28313253012048195,0.2710843373493976,0.1927710843373494,0.1927710843373494,0.3192771084337349,0.25301204819277107,0.2289156626506024,0.20481927710843373,0.28313253012048195,0.18072289156626506,0.1927710843373494,0.2891566265060241,0.21084337349397592,0.3192771084337349,0.20481927710843373,0.3192771084337349,0.3192771084337349,0.3192771084337349,0.20481927710843373,0.20481927710843373,0.1927710843373494,0.1927710843373494,0.27710843373493976,0.28313253012048195,0.20481927710843373,0.22289156626506024,0.21686746987951808,0.20481927710843373,0.2469879518072289,0.2289156626506024,0.30120481927710846,0.27710843373493976,0.20481927710843373,0.21084337349397592,0.3192771084337349,0.1686746987951807,0.3192771084337349,0.3192771084337349,0.3072289156626506,0.20481927710843373,0.18072289156626506,0.28313253012048195,0.28313253012048195,0.18072289156626506,0.2891566265060241,0.21686746987951808,0.3192771084337349,0.20481927710843373,0.21084337349397592,0.3072289156626506,0.20481927710843373,0.3192771084337349,0.21686746987951808,0.28313253012048195,0.3192771084337349,0.3373493975903614,0.3192771084337349,0.3192771084337349,0.3132530120481928,0.25301204819277107,0.3192771084337349,0.1927710843373494,0.21686746987951808,0.3192771084337349,0.3192771084337349,0.20481927710843373,0.28313253012048195,0.27710843373493976,0.30120481927710846,0.28313253012048195,0.28313253012048195,0.2289156626506024,0.20481927710843373,0.28313253012048195,0.21084337349397592,0.28313253012048195,0.24096385542168675,0.25301204819277107,0.21084337349397592,0.2469879518072289,0.2289156626506024,0.2710843373493976,0.30120481927710846,0.26506024096385544,0.1927710843373494,0.20481927710843373,0.3192771084337349,0.3373493975903614,0.28313253012048195,0.20481927710843373,0.25301204819277107,0.21084337349397592,0.2289156626506024,0.3192771084337349,0.28313253012048195,0.3192771084337349,0.28313253012048195,0.20481927710843373,0.3192771084337349,0.28313253012048195,0.28313253012048195,0.20481927710843373,0.28313253012048195,0.19879518072289157,0.20481927710843373,0.18674698795180722,0.3192771084337349,0.20481927710843373,0.2469879518072289,0.20481927710843373,0.2575850848650075
Business Ethics (Avg: 0.256),0.26,0.24,0.21,0.26,0.31,0.32,0.26,0.26,0.27,0.26,0.27,0.26,0.21,0.21,0.23,0.3,0.27,0.27,0.2,0.27,0.26,0.23,0.22,0.19,0.26,0.29,0.3,0.3,0.27,0.21,0.21,0.28,0.19,0.22,0.23,0.26,0.21,0.21,0.24,0.22,0.26,0.23,0.26,0.32,0.26,0.28,0.24,0.21,0.21,0.32,0.3,0.24,0.24,0.3,0.22,0.21,0.3,0.33,0.32,0.23,0.26,0.26,0.26,0.26,0.26,0.26,0.23,0.22,0.3,0.3,0.23,0.29,0.28,0.26,0.22,0.19,0.25,0.23,0.25,0.24,0.32,0.24,0.23,0.26,0.26,0.27,0.31,0.26,0.21,0.29,0.28,0.26,0.23,0.3,0.3,0.26,0.32,0.33,0.26,0.23,0.3,0.19,0.3,0.38,0.19,0.23,0.25,0.19,0.32,0.25,0.24,0.21,0.22,0.32,0.3,0.3,0.23,0.21,0.22,0.25,0.26,0.3,0.26,0.3,0.23,0.25,0.3,0.3,0.25,0.25,0.22,0.22,0.22,0.26,0.23,0.25,0.23,0.25635036496350366
Public Relations (Avg: 0.256),0.3,0.20909090909090908,0.22727272727272727,0.20909090909090908,0.21818181818181817,0.2,0.34545454545454546,0.34545454545454546,0.3090909090909091,0.34545454545454546,0.3181818181818182,0.2909090909090909,0.22727272727272727,0.2545454545454545,0.20909090909090908,0.21818181818181817,0.2727272727272727,0.3,0.2636363636363636,0.32727272727272727,0.34545454545454546,0.3,0.20909090909090908,0.2,0.34545454545454546,0.2818181818181818,0.21818181818181817,0.21818181818181817,0.24545454545454545,0.22727272727272727,0.22727272727272727,0.3,0.2727272727272727,0.21818181818181817,0.20909090909090908,0.21818181818181817,0.18181818181818182,0.22727272727272727,0.22727272727272727,0.23636363636363636,0.34545454545454546,0.20909090909090908,0.34545454545454546,0.22727272727272727,0.34545454545454546,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.21818181818181817,0.21818181818181817,0.21818181818181817,0.22727272727272727,0.20909090909090908,0.2545454545454545,0.21818181818181817,0.21818181818181817,0.20909090909090908,0.20909090909090908,0.2,0.34545454545454546,0.2,0.34545454545454546,0.34545454545454546,0.34545454545454546,0.20909090909090908,0.22727272727272727,0.2,0.21818181818181817,0.2,0.23636363636363636,0.21818181818181817,0.34545454545454546,0.20909090909090908,0.24545454545454545,0.24545454545454545,0.20909090909090908,0.34545454545454546,0.2636363636363636,0.32727272727272727,0.33636363636363636,0.2636363636363636,0.34545454545454546,0.34545454545454546,0.34545454545454546,0.24545454545454545,0.34545454545454546,0.22727272727272727,0.22727272727272727,0.34545454545454546,0.34545454545454546,0.20909090909090908,0.21818181818181817,0.21818181818181817,0.34545454545454546,0.21818181818181817,0.2818181818181818,0.22727272727272727,0.20909090909090908,0.21818181818181817,0.20909090909090908,0.21818181818181817,0.2545454545454545,0.3,0.21818181818181817,0.2,0.23636363636363636,0.21818181818181817,0.32727272727272727,0.3090909090909091,0.22727272727272727,0.20909090909090908,0.20909090909090908,0.36363636363636365,0.21818181818181817,0.20909090909090908,0.32727272727272727,0.21818181818181817,0.2545454545454545,0.34545454545454546,0.21818181818181817,0.34545454545454546,0.21818181818181817,0.20909090909090908,0.33636363636363636,0.21818181818181817,0.21818181818181817,0.20909090909090908,0.21818181818181817,0.23636363636363636,0.2,0.18181818181818182,0.34545454545454546,0.20909090909090908,0.24545454545454545,0.2636363636363636,0.2558725945587259
Abstract Algebra (Avg: 0.255),0.23,0.3,0.21,0.28,0.22,0.22,0.26,0.26,0.26,0.26,0.27,0.21,0.21,0.27,0.31,0.22,0.16,0.24,0.31,0.24,0.26,0.23,0.31,0.2,0.26,0.23,0.22,0.22,0.23,0.21,0.21,0.31,0.32,0.28,0.31,0.19,0.25,0.21,0.21,0.21,0.26,0.31,0.26,0.26,0.26,0.28,0.28,0.21,0.21,0.22,0.22,0.31,0.19,0.27,0.31,0.32,0.3,0.22,0.2,0.31,0.27,0.28,0.22,0.26,0.26,0.26,0.3,0.2,0.21,0.22,0.27,0.22,0.35,0.26,0.31,0.28,0.22,0.31,0.26,0.23,0.24,0.27,0.28,0.26,0.26,0.27,0.23,0.26,0.21,0.27,0.26,0.26,0.31,0.22,0.23,0.27,0.22,0.23,0.28,0.36,0.22,0.27,0.22,0.2,0.26,0.3,0.25,0.29,0.26,0.29,0.25,0.21,0.31,0.23,0.36,0.22,0.31,0.23,0.32,0.21,0.26,0.22,0.26,0.22,0.31,0.29,0.22,0.22,0.31,0.22,0.25,0.31,0.19,0.26,0.31,0.33,0.21,0.2554014598540146
Machine Learning (Avg: 0.255),0.23214285714285715,0.22321428571428573,0.16071428571428573,0.26785714285714285,0.33035714285714285,0.26785714285714285,0.2767857142857143,0.2857142857142857,0.26785714285714285,0.2857142857142857,0.30357142857142855,0.24107142857142858,0.16071428571428573,0.24107142857142858,0.25,0.3125,0.23214285714285715,0.2767857142857143,0.20535714285714285,0.26785714285714285,0.2857142857142857,0.23214285714285715,0.24107142857142858,0.15178571428571427,0.2857142857142857,0.30357142857142855,0.3125,0.3125,0.16964285714285715,0.16071428571428573,0.16071428571428573,0.25,0.24107142857142858,0.24107142857142858,0.24107142857142858,0.17857142857142858,0.25892857142857145,0.16071428571428573,0.30357142857142855,0.16071428571428573,0.2857142857142857,0.24107142857142858,0.2857142857142857,0.2767857142857143,0.2857142857142857,0.16964285714285715,0.24107142857142858,0.16071428571428573,0.16071428571428573,0.3125,0.3125,0.24107142857142858,0.15178571428571427,0.20535714285714285,0.24107142857142858,0.22321428571428573,0.2767857142857143,0.33035714285714285,0.3125,0.24107142857142858,0.3125,0.3125,0.21428571428571427,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.22321428571428573,0.15178571428571427,0.32142857142857145,0.3125,0.24107142857142858,0.29464285714285715,0.25892857142857145,0.2857142857142857,0.24107142857142858,0.20535714285714285,0.2857142857142857,0.25,0.3125,0.25892857142857145,0.33035714285714285,0.2767857142857143,0.33035714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.16071428571428573,0.24107142857142858,0.29464285714285715,0.2857142857142857,0.24107142857142858,0.3125,0.30357142857142855,0.2767857142857143,0.3125,0.22321428571428573,0.26785714285714285,0.24107142857142858,0.3125,0.23214285714285715,0.3125,0.24107142857142858,0.17857142857142858,0.24107142857142858,0.30357142857142855,0.24107142857142858,0.3392857142857143,0.26785714285714285,0.24107142857142858,0.16071428571428573,0.25,0.3392857142857143,0.25892857142857145,0.3125,0.24107142857142858,0.17857142857142858,0.23214285714285715,0.16071428571428573,0.2857142857142857,0.3125,0.2857142857142857,0.3125,0.24107142857142858,0.21428571428571427,0.3125,0.3125,0.25,0.33035714285714285,0.1875,0.23214285714285715,0.16071428571428573,0.2857142857142857,0.24107142857142858,0.21428571428571427,0.19642857142857142,0.25534410844629823
