run_type,checkpoint_type,step,ppl,mmlu_overall,mmlu_humanities,mmlu_stem,mmlu_social_sciences,mmlu_other
unknown,unknown,0,,,,,,
unknown,unknown,0,,0.22945,0.24208,0.2125,0.21709,0.23978
unknown,unknown,0,,,,,,
unknown,unknown,0,,,,,,
unknown,unknown,0,,0.26898,0.24166,0.28639,0.31069,0.25137
unknown,unknown,0,,0.24249,0.24825,0.23819,0.23237,0.24815
unknown,unknown,0,,,,,,
unknown,unknown,0,,0.22896,0.2406,0.21345,0.21677,0.23914
unknown,unknown,0,,0.26877,0.24187,0.28544,0.31004,0.25169
unknown,unknown,0,,,,,,
