Task,Wechsel_Score,Improvement_vs_T5Base_%
astronomy,0.3026315789473684,64.28571428571435
high_school_statistics,0.2546296296296296,61.764705882352914
high_school_chemistry,0.2315270935960591,51.61290322580647
security_studies,0.273469387755102,45.65217391304347
philosophy,0.2379421221864952,39.62264150943402
high_school_biology,0.2354838709677419,30.357142857142904
professional_medicine,0.2389705882352941,30.0
anatomy,0.237037037037037,28.000000000000043
high_school_european_history,0.2787878787878788,27.77777777777784
global_facts,0.23,27.77777777777779
abstract_algebra,0.28,27.27272727272728
college_medicine,0.2774566473988439,26.31578947368423
high_school_geography,0.2222222222222222,25.714285714285744
high_school_psychology,0.2440366972477064,24.299065420560733
international_law,0.2892561983471074,20.689655172413783
electrical_engineering,0.2758620689655172,17.647058823529417
high_school_microeconomics,0.2394957983193277,14.000000000000036
miscellaneous,0.2694763729246487,13.44086021505374
high_school_government_and_politics,0.2176165803108808,10.526315789473696
college_physics,0.2254901960784313,9.52380952380952
