Task,Wechsel_Score,Improvement_vs_T5Base_%
medical_genetics,0.2,-33.33333333333333
human_aging,0.210762331838565,-32.857142857142854
virology,0.1987951807228915,-29.7872340425532
business_ethics,0.23,-23.33333333333333
college_computer_science,0.2,-23.076923076923077
marketing,0.2222222222222222,-22.388059701492537
machine_learning,0.25,-20.0
us_foreign_policy,0.24,-20.0
high_school_physics,0.1655629139072847,-16.666666666666696
college_chemistry,0.18,-14.285714285714285
high_school_us_history,0.2156862745098039,-13.725490196078438
nutrition,0.1993464052287581,-12.857142857142875
world_religions,0.2865497076023391,-10.909090909090926
formal_logic,0.2857142857142857,-9.999999999999984
professional_accounting,0.2127659574468085,-9.09090909090907
logical_fallacies,0.2085889570552147,-8.108108108108098
jurisprudence,0.2407407407407407,-7.142857142857134
professional_psychology,0.2320261437908496,-6.578947368421074
public_relations,0.209090909090909,-4.16666666666667
econometrics,0.2280701754385964,-3.703703703703705
