,25k,30k,35k,40k,45k,50k,52k,55k,57k,60k,62k,65k,67k,70k,72k,75k,77k,80k,82k,85k,87k,90k,115k,120k,125k,130k,135k,140k,142k,145k,147k,150k,152k,155k,157k,160k,162k,190k,195k,200k,205k,207k,210k,212k,215k,217k,220k,222k,225k,227k,230k,232k,235k,237k,250k,255k,260k,265k,267k,270k,275k,277k,280k,282k,285k,287k,290k,292k,295k,297k,310k,315k,320k,322k,325k,327k,330k,332k,335k,337k,340k,342k,345k,347k,350k,352k,355k,360k,365k,370k,375k,377k,380k,382k,385k,387k,390k,392k,395k,400k,402k,405k,410k,420k,425k,430k,435k,437k,440k,445k,447k,AVG
High School Statistics (Avg: 0.259),0.4722222222222222,0.1527777777777778,0.23148148148148148,0.23148148148148148,0.4722222222222222,0.19907407407407407,0.21296296296296297,0.21296296296296297,0.4722222222222222,0.2916666666666667,0.16666666666666666,0.16203703703703703,0.4537037037037037,0.4537037037037037,0.4722222222222222,0.4675925925925926,0.4722222222222222,0.18981481481481483,0.21296296296296297,0.4444444444444444,0.19444444444444445,0.4722222222222222,0.16203703703703703,0.1388888888888889,0.21296296296296297,0.16203703703703703,0.3287037037037037,0.2037037037037037,0.16203703703703703,0.18518518518518517,0.16203703703703703,0.16203703703703703,0.1527777777777778,0.3888888888888889,0.1527777777777778,0.16203703703703703,0.3888888888888889,0.4074074074074074,0.41203703703703703,0.44907407407407407,0.4722222222222222,0.4722222222222222,0.3333333333333333,0.16666666666666666,0.1574074074074074,0.18055555555555555,0.18055555555555555,0.16666666666666666,0.21296296296296297,0.35185185185185186,0.4583333333333333,0.16203703703703703,0.25,0.18518518518518517,0.1527777777777778,0.3472222222222222,0.21296296296296297,0.3472222222222222,0.1527777777777778,0.16203703703703703,0.35185185185185186,0.4722222222222222,0.2916666666666667,0.4722222222222222,0.16203703703703703,0.19444444444444445,0.16203703703703703,0.1527777777777778,0.1574074074074074,0.1527777777777778,0.1527777777777778,0.18518518518518517,0.19444444444444445,0.1527777777777778,0.4675925925925926,0.1527777777777778,0.2222222222222222,0.2037037037037037,0.16203703703703703,0.19907407407407407,0.16666666666666666,0.21296296296296297,0.18055555555555555,0.1574074074074074,0.18055555555555555,0.1527777777777778,0.28703703703703703,0.1527777777777778,0.23148148148148148,0.19907407407407407,0.21296296296296297,0.14814814814814814,0.1527777777777778,0.1574074074074074,0.48148148148148145,0.4675925925925926,0.4537037037037037,0.46296296296296297,0.4722222222222222,0.14351851851851852,0.21296296296296297,0.2824074074074074,0.1527777777777778,0.16203703703703703,0.21296296296296297,0.17592592592592593,0.46296296296296297,0.19444444444444445,0.16203703703703703,0.20833333333333334,0.1527777777777778,0.2589673006339673
Professional Medicine (Avg: 0.258),0.4485294117647059,0.18382352941176472,0.16544117647058823,0.16911764705882354,0.4485294117647059,0.16176470588235295,0.16544117647058823,0.16544117647058823,0.4485294117647059,0.39338235294117646,0.20220588235294118,0.20220588235294118,0.4522058823529412,0.4411764705882353,0.4485294117647059,0.4485294117647059,0.4485294117647059,0.17279411764705882,0.17279411764705882,0.4375,0.19852941176470587,0.4485294117647059,0.20220588235294118,0.1948529411764706,0.16544117647058823,0.20220588235294118,0.3161764705882353,0.17279411764705882,0.20588235294117646,0.18382352941176472,0.20588235294117646,0.20220588235294118,0.18382352941176472,0.3382352941176471,0.18382352941176472,0.20220588235294118,0.35661764705882354,0.4007352941176471,0.4338235294117647,0.4264705882352941,0.4485294117647059,0.4485294117647059,0.34191176470588236,0.19852941176470587,0.18382352941176472,0.19852941176470587,0.16544117647058823,0.1875,0.16544117647058823,0.3382352941176471,0.44485294117647056,0.20220588235294118,0.19117647058823528,0.15073529411764705,0.18382352941176472,0.39705882352941174,0.16544117647058823,0.3272058823529412,0.18382352941176472,0.20220588235294118,0.4007352941176471,0.4485294117647059,0.21691176470588236,0.4485294117647059,0.16176470588235295,0.16911764705882354,0.20220588235294118,0.18382352941176472,0.16544117647058823,0.18382352941176472,0.1948529411764706,0.16544117647058823,0.1875,0.18382352941176472,0.4485294117647059,0.18382352941176472,0.16544117647058823,0.19117647058823528,0.20220588235294118,0.1948529411764706,0.17279411764705882,0.17647058823529413,0.18382352941176472,0.18382352941176472,0.17647058823529413,0.20220588235294118,0.24632352941176472,0.18382352941176472,0.2536764705882353,0.1948529411764706,0.16544117647058823,0.16911764705882354,0.18382352941176472,0.20220588235294118,0.4485294117647059,0.4485294117647059,0.4338235294117647,0.4485294117647059,0.4485294117647059,0.17647058823529413,0.16544117647058823,0.17279411764705882,0.18382352941176472,0.20220588235294118,0.16544117647058823,0.20955882352941177,0.4375,0.1801470588235294,0.20220588235294118,0.15808823529411764,0.18382352941176472,0.2575185479597244
College Physics (Avg: 0.257),0.37254901960784315,0.21568627450980393,0.21568627450980393,0.22549019607843138,0.37254901960784315,0.23529411764705882,0.21568627450980393,0.21568627450980393,0.37254901960784315,0.24509803921568626,0.19607843137254902,0.19607843137254902,0.3431372549019608,0.3235294117647059,0.37254901960784315,0.3627450980392157,0.37254901960784315,0.20588235294117646,0.22549019607843138,0.3627450980392157,0.21568627450980393,0.37254901960784315,0.19607843137254902,0.17647058823529413,0.21568627450980393,0.19607843137254902,0.39215686274509803,0.18627450980392157,0.19607843137254902,0.23529411764705882,0.19607843137254902,0.19607843137254902,0.21568627450980393,0.30392156862745096,0.21568627450980393,0.19607843137254902,0.4019607843137255,0.35294117647058826,0.3627450980392157,0.3333333333333333,0.37254901960784315,0.37254901960784315,0.28431372549019607,0.19607843137254902,0.20588235294117646,0.28431372549019607,0.1568627450980392,0.2549019607843137,0.21568627450980393,0.24509803921568626,0.3627450980392157,0.19607843137254902,0.22549019607843138,0.29411764705882354,0.21568627450980393,0.29411764705882354,0.21568627450980393,0.24509803921568626,0.20588235294117646,0.19607843137254902,0.3333333333333333,0.37254901960784315,0.2647058823529412,0.37254901960784315,0.21568627450980393,0.22549019607843138,0.19607843137254902,0.21568627450980393,0.22549019607843138,0.21568627450980393,0.19607843137254902,0.21568627450980393,0.23529411764705882,0.21568627450980393,0.3627450980392157,0.21568627450980393,0.21568627450980393,0.19607843137254902,0.19607843137254902,0.19607843137254902,0.2549019607843137,0.21568627450980393,0.24509803921568626,0.21568627450980393,0.17647058823529413,0.16666666666666666,0.28431372549019607,0.21568627450980393,0.2647058823529412,0.2647058823529412,0.21568627450980393,0.24509803921568626,0.21568627450980393,0.20588235294117646,0.37254901960784315,0.37254901960784315,0.3627450980392157,0.37254901960784315,0.37254901960784315,0.21568627450980393,0.21568627450980393,0.27450980392156865,0.21568627450980393,0.22549019607843138,0.21568627450980393,0.24509803921568626,0.3137254901960784,0.2549019607843137,0.19607843137254902,0.21568627450980393,0.21568627450980393,0.2573750220809044
Management (Avg: 0.257),0.3786407766990291,0.17475728155339806,0.21359223300970873,0.1941747572815534,0.3786407766990291,0.17475728155339806,0.1941747572815534,0.1941747572815534,0.3786407766990291,0.23300970873786409,0.2621359223300971,0.2524271844660194,0.3883495145631068,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.1941747572815534,0.1941747572815534,0.33980582524271846,0.22330097087378642,0.3786407766990291,0.2524271844660194,0.21359223300970873,0.1941747572815534,0.2524271844660194,0.3592233009708738,0.24271844660194175,0.2524271844660194,0.17475728155339806,0.23300970873786409,0.2524271844660194,0.18446601941747573,0.36893203883495146,0.17475728155339806,0.2524271844660194,0.3592233009708738,0.3300970873786408,0.3300970873786408,0.3592233009708738,0.3786407766990291,0.36893203883495146,0.36893203883495146,0.24271844660194175,0.14563106796116504,0.22330097087378642,0.1941747572815534,0.1650485436893204,0.1941747572815534,0.24271844660194175,0.3592233009708738,0.2524271844660194,0.17475728155339806,0.17475728155339806,0.17475728155339806,0.34951456310679613,0.1941747572815534,0.3106796116504854,0.17475728155339806,0.2524271844660194,0.2912621359223301,0.3786407766990291,0.3883495145631068,0.3786407766990291,0.18446601941747573,0.17475728155339806,0.2524271844660194,0.17475728155339806,0.1650485436893204,0.17475728155339806,0.23300970873786409,0.1650485436893204,0.24271844660194175,0.17475728155339806,0.3592233009708738,0.17475728155339806,0.21359223300970873,0.1941747572815534,0.2524271844660194,0.2621359223300971,0.24271844660194175,0.20388349514563106,0.2815533980582524,0.17475728155339806,0.18446601941747573,0.24271844660194175,0.2621359223300971,0.17475728155339806,0.24271844660194175,0.1941747572815534,0.1941747572815534,0.24271844660194175,0.17475728155339806,0.24271844660194175,0.3786407766990291,0.3786407766990291,0.3786407766990291,0.3883495145631068,0.3786407766990291,0.1650485436893204,0.1941747572815534,0.3300970873786408,0.17475728155339806,0.2524271844660194,0.1941747572815534,0.20388349514563106,0.3592233009708738,0.20388349514563106,0.2524271844660194,0.1941747572815534,0.17475728155339806,0.25662555759643135
High School Government And Politics (Avg: 0.257),0.36787564766839376,0.19689119170984457,0.24352331606217617,0.23316062176165803,0.36787564766839376,0.22797927461139897,0.22797927461139897,0.22797927461139897,0.36787564766839376,0.2694300518134715,0.20207253886010362,0.20725388601036268,0.35751295336787564,0.35233160621761656,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.22797927461139897,0.22279792746113988,0.32642487046632124,0.20207253886010362,0.36787564766839376,0.20725388601036268,0.16580310880829016,0.22797927461139897,0.20725388601036268,0.3471502590673575,0.20207253886010362,0.20725388601036268,0.20725388601036268,0.23316062176165803,0.21243523316062177,0.20207253886010362,0.33678756476683935,0.19689119170984457,0.20725388601036268,0.3471502590673575,0.37823834196891193,0.35233160621761656,0.3626943005181347,0.36787564766839376,0.36787564766839376,0.32642487046632124,0.20725388601036268,0.18652849740932642,0.24352331606217617,0.23316062176165803,0.20725388601036268,0.22797927461139897,0.3316062176165803,0.3471502590673575,0.20725388601036268,0.22797927461139897,0.21761658031088082,0.19689119170984457,0.34196891191709844,0.22797927461139897,0.24870466321243523,0.19689119170984457,0.20725388601036268,0.3316062176165803,0.36787564766839376,0.33678756476683935,0.36787564766839376,0.23834196891191708,0.21243523316062177,0.20725388601036268,0.19689119170984457,0.17616580310880828,0.19170984455958548,0.22797927461139897,0.20725388601036268,0.20207253886010362,0.19689119170984457,0.3626943005181347,0.19689119170984457,0.22797927461139897,0.22279792746113988,0.20725388601036268,0.20207253886010362,0.22279792746113988,0.23316062176165803,0.20207253886010362,0.19689119170984457,0.21761658031088082,0.20725388601036268,0.31088082901554404,0.19689119170984457,0.23316062176165803,0.24870466321243523,0.22797927461139897,0.19170984455958548,0.19689119170984457,0.19689119170984457,0.36787564766839376,0.36787564766839376,0.36787564766839376,0.38341968911917096,0.36787564766839376,0.18652849740932642,0.22797927461139897,0.26424870466321243,0.19689119170984457,0.20725388601036268,0.22797927461139897,0.17098445595854922,0.32642487046632124,0.20725388601036268,0.20725388601036268,0.21761658031088082,0.19689119170984457,0.2565467021425571
Security Studies (Avg: 0.256),0.4,0.18775510204081633,0.22857142857142856,0.23673469387755103,0.4,0.20408163265306123,0.24081632653061225,0.24081632653061225,0.4,0.30612244897959184,0.17551020408163265,0.17142857142857143,0.40408163265306124,0.39183673469387753,0.4,0.4,0.4,0.23673469387755103,0.23673469387755103,0.363265306122449,0.20816326530612245,0.4,0.17142857142857143,0.17142857142857143,0.24081632653061225,0.17142857142857143,0.2857142857142857,0.21224489795918366,0.17142857142857143,0.1836734693877551,0.17142857142857143,0.17142857142857143,0.18775510204081633,0.35918367346938773,0.18775510204081633,0.17142857142857143,0.3224489795918367,0.3795918367346939,0.3795918367346939,0.3877551020408163,0.4,0.4,0.3510204081632653,0.16326530612244897,0.2,0.19591836734693877,0.20408163265306123,0.17142857142857143,0.24081632653061225,0.3346938775510204,0.40408163265306124,0.17142857142857143,0.24081632653061225,0.2,0.18775510204081633,0.3020408163265306,0.24081632653061225,0.3306122448979592,0.18775510204081633,0.17142857142857143,0.35918367346938773,0.4,0.2979591836734694,0.4,0.21224489795918366,0.22040816326530613,0.17142857142857143,0.18775510204081633,0.18775510204081633,0.1836734693877551,0.19183673469387755,0.2163265306122449,0.20816326530612245,0.18775510204081633,0.4,0.18775510204081633,0.24489795918367346,0.22448979591836735,0.17142857142857143,0.2,0.17959183673469387,0.23673469387755103,0.20408163265306123,0.18775510204081633,0.19591836734693877,0.17142857142857143,0.2816326530612245,0.18775510204081633,0.23673469387755103,0.22857142857142856,0.24081632653061225,0.17959183673469387,0.18775510204081633,0.16326530612244897,0.4,0.4,0.39183673469387753,0.4,0.4,0.21224489795918366,0.24081632653061225,0.2530612244897959,0.18775510204081633,0.17142857142857143,0.23673469387755103,0.1836734693877551,0.39591836734693875,0.19591836734693877,0.17142857142857143,0.22448979591836735,0.18775510204081633,0.2562603419746277
High School Macroeconomics (Avg: 0.256),0.3641025641025641,0.20256410256410257,0.21025641025641026,0.2128205128205128,0.3564102564102564,0.23333333333333334,0.2128205128205128,0.2128205128205128,0.3641025641025641,0.24102564102564103,0.23333333333333334,0.2230769230769231,0.36153846153846153,0.3230769230769231,0.3641025641025641,0.3487179487179487,0.3641025641025641,0.2128205128205128,0.2128205128205128,0.2846153846153846,0.22564102564102564,0.3641025641025641,0.2205128205128205,0.21025641025641026,0.2128205128205128,0.2205128205128205,0.35128205128205126,0.2230769230769231,0.2205128205128205,0.21025641025641026,0.20512820512820512,0.2205128205128205,0.20256410256410257,0.358974358974359,0.20256410256410257,0.2205128205128205,0.35128205128205126,0.3333333333333333,0.35384615384615387,0.3564102564102564,0.3641025641025641,0.3641025641025641,0.358974358974359,0.21025641025641026,0.2153846153846154,0.2564102564102564,0.19230769230769232,0.18974358974358974,0.2128205128205128,0.23076923076923078,0.3384615384615385,0.2205128205128205,0.2230769230769231,0.21794871794871795,0.20256410256410257,0.3153846153846154,0.2128205128205128,0.258974358974359,0.20256410256410257,0.2205128205128205,0.35384615384615387,0.3641025641025641,0.35384615384615387,0.3641025641025641,0.2076923076923077,0.20256410256410257,0.2205128205128205,0.20256410256410257,0.2358974358974359,0.2076923076923077,0.23333333333333334,0.2230769230769231,0.23333333333333334,0.20256410256410257,0.35384615384615387,0.20256410256410257,0.2282051282051282,0.2205128205128205,0.2205128205128205,0.19743589743589743,0.19743589743589743,0.21025641025641026,0.2282051282051282,0.20256410256410257,0.2,0.2230769230769231,0.32051282051282054,0.20256410256410257,0.23846153846153847,0.21794871794871795,0.2128205128205128,0.24615384615384617,0.20256410256410257,0.2205128205128205,0.35128205128205126,0.36153846153846153,0.35384615384615387,0.35128205128205126,0.3641025641025641,0.22564102564102564,0.2128205128205128,0.2205128205128205,0.20256410256410257,0.22564102564102564,0.21025641025641026,0.24615384615384617,0.31025641025641026,0.2205128205128205,0.2205128205128205,0.18205128205128204,0.20256410256410257,0.2560637560637561
High School Psychology (Avg: 0.256),0.3486238532110092,0.1926605504587156,0.22568807339449543,0.22752293577981653,0.3486238532110092,0.2,0.22201834862385322,0.22201834862385322,0.3486238532110092,0.25688073394495414,0.23669724770642203,0.23669724770642203,0.344954128440367,0.3504587155963303,0.3486238532110092,0.3467889908256881,0.3486238532110092,0.20733944954128442,0.22568807339449543,0.3467889908256881,0.21284403669724772,0.3486238532110092,0.23669724770642203,0.22568807339449543,0.22201834862385322,0.23669724770642203,0.3100917431192661,0.24036697247706423,0.23853211009174313,0.1944954128440367,0.23119266055045873,0.23669724770642203,0.1944954128440367,0.3302752293577982,0.1926605504587156,0.23669724770642203,0.3357798165137615,0.3486238532110092,0.3155963302752294,0.3339449541284404,0.3486238532110092,0.3486238532110092,0.3192660550458716,0.22752293577981653,0.1853211009174312,0.26605504587155965,0.22201834862385322,0.1981651376146789,0.22201834862385322,0.30091743119266057,0.3155963302752294,0.23669724770642203,0.22568807339449543,0.21284403669724772,0.1926605504587156,0.28990825688073396,0.22201834862385322,0.29541284403669726,0.1926605504587156,0.23669724770642203,0.29541284403669726,0.3486238532110092,0.3229357798165138,0.3486238532110092,0.21467889908256882,0.21834862385321102,0.23669724770642203,0.1926605504587156,0.21284403669724772,0.2,0.23302752293577983,0.22385321100917432,0.22935779816513763,0.1926605504587156,0.3486238532110092,0.1926605504587156,0.22568807339449543,0.23119266055045873,0.23669724770642203,0.25321100917431194,0.22018348623853212,0.21284403669724772,0.23669724770642203,0.1908256880733945,0.2,0.23486238532110093,0.3284403669724771,0.1926605504587156,0.23486238532110093,0.22018348623853212,0.22201834862385322,0.2,0.1926605504587156,0.23669724770642203,0.3504587155963303,0.3486238532110092,0.3467889908256881,0.3504587155963303,0.3486238532110092,0.1981651376146789,0.22201834862385322,0.26788990825688075,0.1926605504587156,0.23486238532110093,0.22568807339449543,0.22385321100917432,0.3137614678899083,0.1944954128440367,0.23669724770642203,0.21284403669724772,0.1926605504587156,0.2559219770228945
College Chemistry (Avg: 0.256),0.41,0.2,0.17,0.2,0.41,0.17,0.18,0.18,0.41,0.34,0.22,0.21,0.42,0.4,0.41,0.39,0.41,0.18,0.19,0.39,0.23,0.42,0.21,0.22,0.18,0.21,0.28,0.2,0.22,0.19,0.19,0.21,0.2,0.35,0.2,0.21,0.39,0.39,0.27,0.37,0.41,0.41,0.29,0.26,0.18,0.23,0.2,0.22,0.18,0.3,0.35,0.21,0.22,0.19,0.2,0.33,0.18,0.3,0.2,0.21,0.35,0.41,0.29,0.41,0.19,0.18,0.21,0.2,0.2,0.2,0.21,0.19,0.23,0.2,0.39,0.2,0.19,0.18,0.21,0.18,0.18,0.2,0.21,0.21,0.21,0.21,0.29,0.2,0.27,0.18,0.18,0.15,0.2,0.21,0.41,0.41,0.41,0.4,0.4,0.22,0.18,0.24,0.2,0.2,0.18,0.21,0.38,0.19,0.21,0.12,0.2,0.2556756756756757
College Medicine (Avg: 0.256),0.3352601156069364,0.20809248554913296,0.24855491329479767,0.2543352601156069,0.3352601156069364,0.24277456647398843,0.24855491329479767,0.24855491329479767,0.3352601156069364,0.3236994219653179,0.20809248554913296,0.20809248554913296,0.3236994219653179,0.30057803468208094,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.24855491329479767,0.2543352601156069,0.3179190751445087,0.24855491329479767,0.3352601156069364,0.20809248554913296,0.1791907514450867,0.24855491329479767,0.20809248554913296,0.3468208092485549,0.2023121387283237,0.2138728323699422,0.2138728323699422,0.20809248554913296,0.20809248554913296,0.20809248554913296,0.30057803468208094,0.20809248554913296,0.20809248554913296,0.3179190751445087,0.3179190751445087,0.30057803468208094,0.3352601156069364,0.3352601156069364,0.3352601156069364,0.3063583815028902,0.23699421965317918,0.20809248554913296,0.2543352601156069,0.23121387283236994,0.18497109826589594,0.24855491329479767,0.2774566473988439,0.3179190751445087,0.20809248554913296,0.23699421965317918,0.2254335260115607,0.20809248554913296,0.28901734104046245,0.24855491329479767,0.31213872832369943,0.20809248554913296,0.20809248554913296,0.3179190751445087,0.3352601156069364,0.3236994219653179,0.3352601156069364,0.26011560693641617,0.2254335260115607,0.20809248554913296,0.20809248554913296,0.23121387283236994,0.2138728323699422,0.24277456647398843,0.24855491329479767,0.2138728323699422,0.20809248554913296,0.32947976878612717,0.20809248554913296,0.2543352601156069,0.24277456647398843,0.20809248554913296,0.23121387283236994,0.12716763005780346,0.26011560693641617,0.21965317919075145,0.20809248554913296,0.2138728323699422,0.2138728323699422,0.3063583815028902,0.20809248554913296,0.2543352601156069,0.2543352601156069,0.24855491329479767,0.1907514450867052,0.20809248554913296,0.19653179190751446,0.32947976878612717,0.3352601156069364,0.32947976878612717,0.3352601156069364,0.3352601156069364,0.2254335260115607,0.24855491329479767,0.28901734104046245,0.20809248554913296,0.20809248554913296,0.24855491329479767,0.1676300578034682,0.32947976878612717,0.2138728323699422,0.20809248554913296,0.24277456647398843,0.20809248554913296,0.2555329896370359
