,5k,10k,15k,20k,25k,30k,35k,40k,45k,50k,55k,60k,65k,70k,75k,80k,85k,90k,95k,100k,105k,110k,115k,120k,125k,130k,135k,140k,145k,150k,155k,160k,165k,170k,175k,180k,205k,210k,215k,220k,225k,230k,AVG
MMLU OFFICIAL,0.22945449366187154,0.2293832787352229,0.22952570858852014,0.2293832787352229,0.22973935336846604,0.22988178322176328,0.23059393248824953,0.23137729668138443,0.2357214072069506,0.22902720410197977,0.23821392963965246,0.24020794758581399,0.23308645492095142,0.2494658880501353,0.2444808431847315,0.24063523714570573,0.23807149978635522,0.23593505198689646,0.24704458054408204,0.2432701894317049,0.23743056544651758,0.24056402221905712,0.2519584104828372,0.23871243412619286,0.24241561031192138,0.23821392963965246,0.24120495655889473,0.23921093861273324,0.24148981626548924,0.24490813274462328,0.23671841618003134,0.24170346104543514,0.2352229027204102,0.2357214072069506,0.24284289987181312,0.23864121919954423,0.24262925509186725,0.23600626691354507,0.23251673550776242,0.2513174761429996,0.24704458054408204,0.2438399088448939,0.23844792154149794
SIMPLE AVERAGE (All Tasks),0.23136320824554743,0.23121336705994,0.23118001222884,0.23118045880616453,0.2312815513669005,0.23137580183954753,0.23284636792753186,0.23250806353954293,0.23665495018703053,0.23029017331427698,0.2378990083171281,0.23791049552257454,0.2329975387867554,0.25163317465949936,0.24465459144907345,0.24490369399319187,0.23895409070437076,0.23691346544051886,0.24927091570626372,0.24492471536145624,0.23839481348274416,0.24152930861097188,0.24919016680569886,0.23760964062487971,0.2423714359592566,0.23840259912052267,0.242552005856224,0.23793171513612923,0.23982482642100414,0.24670805626092301,0.23402861253114346,0.24225753932694036,0.23337079475901615,0.2331907849211195,0.24579680753639752,0.2378211884381234,0.24017752865480418,0.23667603530192177,0.23284853962226454,0.25337942126880203,0.24832637526313717,0.2447172723893912,0.2389776455416088
Machine Learning (Avg: 0.315),0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.33035714285714285,0.3125,0.32142857142857145,0.3125,0.2857142857142857,0.30357142857142855,0.3125,0.2857142857142857,0.3125,0.3125,0.3125,0.30357142857142855,0.36607142857142855,0.29464285714285715,0.33035714285714285,0.32142857142857145,0.23214285714285715,0.3482142857142857,0.33035714285714285,0.30357142857142855,0.30357142857142855,0.32142857142857145,0.3482142857142857,0.26785714285714285,0.35714285714285715,0.29464285714285715,0.29464285714285715,0.32142857142857145,0.3125,0.36607142857142855,0.25892857142857145,0.32142857142857145,0.3482142857142857,0.33035714285714285,0.33035714285714285,0.3482142857142857,0.3150510204081633
Human Aging (Avg: 0.301),0.31390134529147984,0.31390134529147984,0.31390134529147984,0.31390134529147984,0.31390134529147984,0.3183856502242152,0.32286995515695066,0.3183856502242152,0.30493273542600896,0.31390134529147984,0.33183856502242154,0.3094170403587444,0.3004484304932735,0.2914798206278027,0.3004484304932735,0.28699551569506726,0.28699551569506726,0.2914798206278027,0.34080717488789236,0.3452914798206278,0.3183856502242152,0.34080717488789236,0.2556053811659193,0.31390134529147984,0.33183856502242154,0.31390134529147984,0.31390134529147984,0.27802690582959644,0.3094170403587444,0.3004484304932735,0.273542600896861,0.3094170403587444,0.2914798206278027,0.25112107623318386,0.273542600896861,0.2645739910313901,0.3094170403587444,0.3094170403587444,0.2914798206278027,0.273542600896861,0.22869955156950672,0.2645739910313901,0.3011958146487294
Medical Genetics (Avg: 0.292),0.3,0.3,0.3,0.3,0.3,0.3,0.31,0.31,0.29,0.3,0.25,0.25,0.28,0.26,0.24,0.25,0.31,0.25,0.25,0.29,0.28,0.28,0.26,0.31,0.31,0.3,0.25,0.29,0.26,0.32,0.3,0.34,0.26,0.31,0.35,0.37,0.27,0.29,0.34,0.28,0.33,0.31,0.2916666666666667
World Religions (Avg: 0.286),0.3216374269005848,0.3216374269005848,0.3216374269005848,0.3216374269005848,0.3216374269005848,0.3216374269005848,0.3216374269005848,0.3216374269005848,0.3157894736842105,0.3216374269005848,0.30994152046783624,0.3216374269005848,0.3157894736842105,0.2631578947368421,0.30994152046783624,0.3216374269005848,0.30409356725146197,0.29239766081871343,0.2573099415204678,0.24561403508771928,0.29239766081871343,0.28654970760233917,0.1871345029239766,0.26900584795321636,0.29239766081871343,0.2982456140350877,0.2982456140350877,0.26900584795321636,0.2631578947368421,0.23391812865497075,0.2982456140350877,0.2807017543859649,0.3157894736842105,0.2046783625730994,0.22807017543859648,0.28654970760233917,0.24561403508771928,0.28654970760233917,0.26900584795321636,0.25146198830409355,0.21637426900584794,0.29239766081871343,0.28613199665831246
Formal Logic (Avg: 0.278),0.29365079365079366,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.29365079365079366,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.29365079365079366,0.2619047619047619,0.29365079365079366,0.2619047619047619,0.2698412698412698,0.30952380952380953,0.3253968253968254,0.30158730158730157,0.2619047619047619,0.20634920634920634,0.2619047619047619,0.25396825396825395,0.2698412698412698,0.2222222222222222,0.29365079365079366,0.2619047619047619,0.2619047619047619,0.29365079365079366,0.29365079365079366,0.2698412698412698,0.29365079365079366,0.3253968253968254,0.2698412698412698,0.30952380952380953,0.2698412698412698,0.2777777777777778,0.3253968253968254,0.2698412698412698,0.24603174603174602,0.29365079365079366,0.2619047619047619,0.2698412698412698,0.2698412698412698,0.2619047619047619,0.2783446712018141
Business Ethics (Avg: 0.274),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.28,0.3,0.3,0.34,0.27,0.3,0.29,0.29,0.29,0.29,0.29,0.26,0.28,0.31,0.33,0.2,0.25,0.23,0.29,0.27,0.22,0.2,0.25,0.26,0.34,0.31,0.32,0.27,0.25,0.22,0.24,0.19,0.23,0.18,0.27,0.274047619047619
Us Foreign Policy (Avg: 0.271),0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.28,0.27,0.26,0.28,0.25,0.22,0.22,0.26,0.23,0.27,0.31,0.3,0.28,0.28,0.31,0.28,0.28,0.28,0.24,0.27,0.25,0.23,0.26,0.27,0.27,0.26,0.32,0.26,0.26,0.33,0.29,0.22,0.27,0.28,0.2707142857142857
Virology (Avg: 0.268),0.28313253012048195,0.28313253012048195,0.28313253012048195,0.28313253012048195,0.28313253012048195,0.28313253012048195,0.2891566265060241,0.29518072289156627,0.27710843373493976,0.28313253012048195,0.3072289156626506,0.25903614457831325,0.28313253012048195,0.2710843373493976,0.26506024096385544,0.27710843373493976,0.25903614457831325,0.26506024096385544,0.30120481927710846,0.28313253012048195,0.26506024096385544,0.28313253012048195,0.25301204819277107,0.28313253012048195,0.2289156626506024,0.2710843373493976,0.24096385542168675,0.2891566265060241,0.28313253012048195,0.2289156626506024,0.25301204819277107,0.2891566265060241,0.23493975903614459,0.23493975903614459,0.25301204819277107,0.2710843373493976,0.25903614457831325,0.27710843373493976,0.23493975903614459,0.23493975903614459,0.21686746987951808,0.25903614457831325,0.2680722891566265
