run_type,checkpoint_type,step,ppl,mmlu_overall,mmlu_humanities,mmlu_stem,mmlu_social_sciences,mmlu_other
pretraining_logs_adafactor_relative_step_clip1_OPTIMIZED_text_0olap512_v3,step,110000,,0.2432,0.26057,0.23819,0.23302,0.23206
pretraining_logs_adafactor_relative_step_clip1_OPTIMIZED_text_0olap512_v3,step,115000,,0.25082,0.2661,0.25436,0.23269,0.24203
pretraining_logs_adafactor_relative_step_clip1_OPTIMIZED_text_0olap512_v3,step,120000,,0.23423,0.25101,0.22487,0.22099,0.23141
pretraining_logs_adafactor_relative_step_clip1_OPTIMIZED_text_0olap512_v3,step,125000,,0.23024,0.24357,0.21408,0.21904,0.23753
pretraining_logs_adafactor_relative_step_clip1_OPTIMIZED_text_0olap512_v3,step,130000,,0.23252,0.23804,0.22455,0.21937,0.24525
pretraining_logs_adafactor_relative_step_clip1_OPTIMIZED_text_0olap512_v3,step,135000,,0.25046,0.26546,0.24611,0.24017,0.24236
pretraining_logs_adafactor_relative_step_clip1_OPTIMIZED_text_0olap512_v3,step,140000,,0.23415,0.24293,0.22487,0.22717,0.23721
pretraining_logs_adafactor_relative_step_clip1_OPTIMIZED_text_0olap512_v3,step,145000,,0.23921,0.24697,0.23216,0.22197,0.25169
pretraining_logs_adafactor_relative_step_clip1_OPTIMIZED_text_0olap512_v3,step,150000,,0.2395,0.24378,0.23184,0.22652,0.25362
pretraining_logs_adafactor_relative_step_clip1_OPTIMIZED_text_0olap512_v3,step,155000,,0.23337,0.24697,0.22772,0.22067,0.23109
pretraining_logs_adafactor_relative_step_clip1_OPTIMIZED_text_0olap512_v3,step,160000,,0.24882,0.25101,0.24992,0.23919,0.25394
pretraining_logs_adafactor_relative_step_clip1_OPTIMIZED_text_0olap512_v3,step,255000,,0.24021,0.24825,0.24009,0.22554,0.24268
pretraining_logs_adafactor_relative_step_clip1_OPTIMIZED_text_0olap512_v3,step,260000,,0.23465,0.24081,0.2182,0.23594,0.24075
pretraining_logs_adafactor_relative_step_clip1_OPTIMIZED_text_0olap512_v3,step,265000,,0.23971,0.24421,0.23375,0.23822,0.24042
pretraining_logs_adafactor_relative_step_clip1_OPTIMIZED_text_0olap512_v3,step,270000,,0.23978,0.24293,0.22518,0.24017,0.24944
pretraining_logs_adafactor_relative_step_clip1_OPTIMIZED_text_0olap512_v3,step,275000,,0.24106,0.24548,0.23438,0.23627,0.2459
pretraining_logs_adafactor_relative_step_clip1_OPTIMIZED_text_0olap512_v3,step,280000,,0.22981,0.24166,0.2144,0.22002,0.23721
pretraining_logs_adafactor_relative_step_clip1_OPTIMIZED_text_0olap512_v3,step,285000,,0.23209,0.24421,0.21916,0.22099,0.23785
pretraining_logs_adafactor_relative_step_clip1_OPTIMIZED_text_0olap512_v3,step,290000,,0.23024,0.24442,0.22042,0.21872,0.23013
pretraining_logs_adafactor_relative_step_clip1_OPTIMIZED_text_0olap512_v3,step,295000,,0.23764,0.24697,0.22074,0.22912,0.24911
pretraining_logs_adafactor_relative_step_clip1_OPTIMIZED_text_0olap512_v3,step,300000,,0.24185,0.2542,0.22804,0.23757,0.24139
pretraining_logs_adafactor_relative_step_clip1_OPTIMIZED_text_0olap512_v3,step,305000,,0.24818,0.25335,0.23819,0.25219,0.24654
pretraining_logs_adafactor_relative_step_clip1_OPTIMIZED_text_0olap512_v3,step,310000,,0.24242,0.25866,0.23945,0.22944,0.23367
pretraining_logs_adafactor_relative_step_clip1_OPTIMIZED_text_0olap512_v3,step,315000,,0.24277,0.23932,0.23977,0.23042,0.26328
pretraining_logs_adafactor_relative_step_clip1_OPTIMIZED_text_0olap512_v3,step,320000,,0.24975,0.26227,0.25214,0.23367,0.24429
pretraining_logs_adafactor_relative_step_clip1_OPTIMIZED_text_0olap512_v3,step,325000,,0.23401,0.2474,0.22804,0.22294,0.23077
pretraining_logs_adafactor_relative_step_clip1_OPTIMIZED_text_0olap512_v3,step,330000,,0.23344,0.24208,0.2182,0.22749,0.24171
pretraining_logs_adafactor_relative_step_clip1_OPTIMIZED_text_0olap512_v3,step,335000,,0.23558,0.24102,0.23057,0.22879,0.23914
pretraining_logs_adafactor_relative_step_clip1_OPTIMIZED_text_0olap512_v3,step,340000,,0.23401,0.24208,0.21598,0.22782,0.24622
pretraining_logs_adafactor_relative_step_clip1_OPTIMIZED_text_0olap512_v3,step,350000,,0.23259,0.23996,0.21947,0.22814,0.23914
