,280k,290k,125k,285k,130k,350k,155k,330k,325k,340k,140k,120k,260k,335k,420k,295k,390k,425k,145k,150k,435k,265k,270k,370k,255k,430k,415k,275k,360k,300k,310k,315k,110k,380k,305k,160k,320k,135k,115k,AVG
MMLU OFFICIAL,0.22981056829511465,0.23023785785500642,0.23023785785500642,0.23208944594787068,0.23251673550776242,0.23258795043441105,0.23337131462754593,0.23344252955419456,0.23401224896738357,0.23401224896738357,0.2341546788206808,0.23422589374732944,0.23465318330722118,0.23557897735365332,0.23735935051986898,0.23764421022646345,0.2377154251531121,0.2385700042728956,0.23921093861273324,0.23949579831932774,0.23963822817262498,0.2397094430992736,0.23978065802592224,0.24013673265916535,0.24020794758581399,0.2404928072924085,0.24099131177894886,0.2410625267055975,0.24141860133884063,0.24184589089873237,0.24241561031192138,0.24277168494516452,0.24319897450505626,0.24683093576413617,0.24818401937046006,0.24882495371029767,0.2497507477567298,0.25046289702321606,0.25081897165645917,0.23896077335758292
SIMPLE AVERAGE (All Tasks),0.229986725695024,0.22990311189477436,0.23071003079100577,0.2327867317132829,0.23628164599174953,0.23370190265126262,0.23387275618169723,0.23306678848534687,0.2340320409883332,0.23287477043327426,0.23502595628285095,0.23445591692382023,0.23520382683669225,0.23782988413333397,0.23659619803026186,0.2376263750318738,0.2369593883747156,0.24021437719525676,0.24282462613290556,0.2374194024009716,0.2406367126419471,0.24144877017462177,0.23830491962684722,0.23920295443117615,0.24087392768021582,0.23934542701375422,0.24421458631767537,0.24404798242793124,0.24064960227516294,0.24264129935042492,0.2397421839314058,0.2436487505554571,0.24141463525818677,0.24317516689538263,0.24631421969440154,0.2517694079062159,0.24890907792427444,0.24915251749665168,0.2488627509209691,0.23912121406900344
World Religions (Avg: 0.291),0.27485380116959063,0.2982456140350877,0.3216374269005848,0.2982456140350877,0.3333333333333333,0.30994152046783624,0.30409356725146197,0.29239766081871343,0.2982456140350877,0.30994152046783624,0.3216374269005848,0.32748538011695905,0.2807017543859649,0.24561403508771928,0.29239766081871343,0.29239766081871343,0.2982456140350877,0.2982456140350877,0.29239766081871343,0.2982456140350877,0.30409356725146197,0.30994152046783624,0.2982456140350877,0.29239766081871343,0.28654970760233917,0.23976608187134502,0.26900584795321636,0.3157894736842105,0.3391812865497076,0.3216374269005848,0.30409356725146197,0.22807017543859648,0.2631578947368421,0.19883040935672514,0.23391812865497075,0.29239766081871343,0.30409356725146197,0.28654970760233917,0.28654970760233917,0.2913480281901334
Medical Genetics (Avg: 0.281),0.3,0.25,0.31,0.29,0.33,0.23,0.31,0.3,0.33,0.29,0.32,0.3,0.32,0.31,0.27,0.3,0.26,0.23,0.33,0.3,0.28,0.29,0.24,0.22,0.33,0.26,0.32,0.33,0.27,0.26,0.23,0.27,0.23,0.24,0.22,0.32,0.24,0.26,0.25,0.28051282051282056
Computer Security (Avg: 0.279),0.26,0.27,0.27,0.28,0.26,0.28,0.23,0.22,0.27,0.26,0.27,0.31,0.3,0.32,0.31,0.3,0.23,0.34,0.29,0.33,0.33,0.26,0.25,0.39,0.31,0.32,0.24,0.33,0.25,0.21,0.28,0.24,0.3,0.24,0.28,0.29,0.29,0.22,0.26,0.2792307692307692
Business Ethics (Avg: 0.279),0.3,0.3,0.31,0.3,0.31,0.27,0.28,0.28,0.37,0.29,0.26,0.22,0.29,0.33,0.29,0.26,0.27,0.32,0.3,0.3,0.33,0.26,0.22,0.3,0.29,0.26,0.33,0.29,0.27,0.25,0.26,0.24,0.23,0.22,0.24,0.28,0.24,0.3,0.21,0.2787179487179488
Marketing (Avg: 0.278),0.2905982905982906,0.2863247863247863,0.2905982905982906,0.2905982905982906,0.2863247863247863,0.29914529914529914,0.2264957264957265,0.2777777777777778,0.2564102564102564,0.32051282051282054,0.2863247863247863,0.2777777777777778,0.2564102564102564,0.28205128205128205,0.28205128205128205,0.3803418803418803,0.28205128205128205,0.2692307692307692,0.2948717948717949,0.2777777777777778,0.2564102564102564,0.2777777777777778,0.32051282051282054,0.2564102564102564,0.26495726495726496,0.31196581196581197,0.23931623931623933,0.3034188034188034,0.27350427350427353,0.2606837606837607,0.2863247863247863,0.2777777777777778,0.2564102564102564,0.2863247863247863,0.21367521367521367,0.2692307692307692,0.27350427350427353,0.2564102564102564,0.23931623931623933,0.27788735481043175
Electrical Engineering (Avg: 0.272),0.2413793103448276,0.2689655172413793,0.2413793103448276,0.2620689655172414,0.25517241379310346,0.2689655172413793,0.27586206896551724,0.2413793103448276,0.35172413793103446,0.2482758620689655,0.2413793103448276,0.296551724137931,0.27586206896551724,0.2896551724137931,0.21379310344827587,0.25517241379310346,0.27586206896551724,0.2896551724137931,0.2689655172413793,0.2413793103448276,0.27586206896551724,0.27586206896551724,0.2482758620689655,0.31724137931034485,0.32413793103448274,0.2206896551724138,0.2413793103448276,0.30344827586206896,0.2413793103448276,0.2413793103448276,0.31724137931034485,0.27586206896551724,0.2896551724137931,0.2896551724137931,0.2896551724137931,0.2689655172413793,0.296551724137931,0.2896551724137931,0.3103448275862069,0.2723253757736516
Human Aging (Avg: 0.270),0.28699551569506726,0.2600896860986547,0.31390134529147984,0.28699551569506726,0.30493273542600896,0.273542600896861,0.25112107623318386,0.28699551569506726,0.22869955156950672,0.3094170403587444,0.3094170403587444,0.2825112107623318,0.2825112107623318,0.26905829596412556,0.3004484304932735,0.2825112107623318,0.3094170403587444,0.2825112107623318,0.3004484304932735,0.3273542600896861,0.28699551569506726,0.24663677130044842,0.242152466367713,0.242152466367713,0.2062780269058296,0.2600896860986547,0.30493273542600896,0.24663677130044842,0.27802690582959644,0.3183856502242152,0.2242152466367713,0.2914798206278027,0.2062780269058296,0.21524663677130046,0.23766816143497757,0.27802690582959644,0.2600896860986547,0.21076233183856502,0.23766816143497757,0.2703230999195125
Formal Logic (Avg: 0.270),0.2857142857142857,0.2698412698412698,0.30952380952380953,0.31746031746031744,0.2857142857142857,0.2777777777777778,0.23809523809523808,0.30158730158730157,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.25396825396825395,0.30158730158730157,0.23809523809523808,0.25396825396825395,0.30952380952380953,0.2857142857142857,0.25396825396825395,0.30158730158730157,0.21428571428571427,0.2619047619047619,0.2698412698412698,0.2777777777777778,0.2698412698412698,0.2777777777777778,0.30158730158730157,0.29365079365079366,0.30158730158730157,0.29365079365079366,0.23015873015873015,0.23015873015873015,0.24603174603174602,0.23809523809523808,0.29365079365079366,0.2777777777777778,0.29365079365079366,0.2619047619047619,0.18253968253968253,0.20634920634920634,0.27024827024827025
