run_type,checkpoint_type,step,ppl,mmlu_overall,mmlu_humanities,mmlu_stem,mmlu_social_sciences,mmlu_other
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,5000,,0.22981,0.24272,0.21186,0.21742,0.24075
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,15000,,0.22988,0.23932,0.21472,0.21872,0.24203
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,20000,,0.23109,0.24081,0.21725,0.21969,0.24171
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,30000,,0.23081,0.24081,0.21567,0.21937,0.24236
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,40000,,0.23102,0.24145,0.21535,0.22034,0.24171
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,45000,,0.22981,0.24081,0.21376,0.22002,0.23914
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,50000,,0.23145,0.2406,0.21535,0.22067,0.24461
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,55000,,0.23109,0.23953,0.21694,0.22359,0.2401
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,60000,,0.23302,0.23847,0.22011,0.22619,0.24461
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,65000,,0.23358,0.24251,0.21725,0.22164,0.24847
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,80000,,0.23622,0.24612,0.21916,0.23399,0.24075
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,85000,,0.24042,0.24208,0.23026,0.24829,0.24042
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,90000,,0.23907,0.2406,0.22613,0.24894,0.2401
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,95000,,0.23309,0.24251,0.21757,0.22684,0.24075
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,100000,,0.23707,0.24315,0.21947,0.23724,0.24557
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,105000,,0.24135,0.24272,0.22804,0.24797,0.24622
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,110000,,0.24014,0.2423,0.22804,0.24407,0.24525
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,115000,,0.23665,0.24187,0.2236,0.23887,0.23978
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,120000,,0.23999,0.24251,0.22867,0.24732,0.24042
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,125000,,0.23893,0.24017,0.22804,0.24634,0.24075
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,130000,,0.24213,0.2457,0.22804,0.25089,0.24236
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,135000,,0.23964,0.24463,0.22487,0.24309,0.24364
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,140000,,0.24113,0.24548,0.22899,0.24277,0.24525
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,155000,,0.23437,0.24145,0.22455,0.23464,0.23334
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,170000,,0.24056,0.24527,0.22804,0.25674,0.23013
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,175000,,0.24519,0.24846,0.23438,0.26324,0.23334
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,180000,,0.23601,0.24655,0.2236,0.23692,0.23173
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,185000,,0.24541,0.24931,0.2347,0.25642,0.23946
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,195000,,0.25182,0.24697,0.24643,0.28079,0.23592
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,200000,,0.25046,0.24782,0.24421,0.27787,0.23367
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,205000,,0.25288,0.24315,0.24897,0.28209,0.24268
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,210000,,0.25153,0.25016,0.24453,0.27657,0.23592
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,215000,,0.25011,0.24697,0.2477,0.27527,0.23238
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,220000,,0.25837,0.25016,0.25626,0.29249,0.23914
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,235000,,0.26435,0.24655,0.26768,0.30452,0.24815
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,240000,,0.25865,0.24442,0.26419,0.29509,0.23849
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,245000,,0.26065,0.25037,0.26356,0.29379,0.24042
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,250000,,0.25609,0.24612,0.2588,0.28567,0.23914
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,255000,,0.25466,0.24655,0.25626,0.28469,0.2356
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,265000,,0.25538,0.24633,0.255,0.29087,0.23431
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,270000,,0.25773,0.2508,0.25912,0.28794,0.23688
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,285000,,0.26164,0.24633,0.26863,0.29444,0.24525
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,290000,,0.2578,0.24888,0.25753,0.29119,0.23849
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,295000,,0.26599,0.24697,0.26895,0.30322,0.25491
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,300000,,0.26727,0.24867,0.26768,0.30842,0.25426
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,305000,,0.26307,0.24761,0.26546,0.30159,0.2459
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,310000,,0.26634,0.24888,0.27149,0.30224,0.25201
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,315000,,0.26577,0.24591,0.27244,0.30452,0.25072
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,320000,,0.26663,0.24336,0.27561,0.30874,0.25105
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,325000,,0.2667,0.24527,0.27244,0.30614,0.25426
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,330000,,0.26513,0.24995,0.27307,0.29932,0.24622
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,335000,,0.26414,0.24867,0.27149,0.29802,0.24654
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,340000,,0.26563,0.24315,0.27371,0.30419,0.2533
pretraining_logs_lr_001_OPTIMIZED_clean_restart_v2,step,345000,,0.26592,0.23953,0.27593,0.30907,0.25298
