run_type,checkpoint_type,step,ppl,mmlu_overall,mmlu_humanities,mmlu_stem,mmlu_social_sciences,mmlu_other
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,105000,,0.26613,0.24591,0.26895,0.30712,0.2533
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,110000,,0.26627,0.2423,0.27434,0.31134,0.24976
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,115000,,0.2588,0.24378,0.25785,0.29477,0.24686
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,125000,,0.26442,0.24315,0.26673,0.30582,0.2533
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,130000,,0.26043,0.2423,0.25722,0.30517,0.24686
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,132000,,0.26186,0.24421,0.26197,0.30257,0.24815
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,135000,,0.26556,0.24145,0.27371,0.30614,0.25362
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,140000,,0.26492,0.244,0.27117,0.30452,0.25105
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,145000,,0.26727,0.24591,0.26927,0.31004,0.25523
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,147000,,0.26884,0.24463,0.27593,0.31037,0.25716
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,150000,,0.26784,0.24272,0.27688,0.30842,0.25652
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,152000,,0.26713,0.24017,0.2772,0.30777,0.25748
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,232000,,0.26976,0.24166,0.28481,0.31199,0.25523
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,235000,,0.26976,0.24208,0.28544,0.31232,0.25362
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,240000,,0.26998,0.24272,0.28703,0.31264,0.25169
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,242000,,0.2699,0.24208,0.28671,0.31199,0.2533
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,245000,,0.26941,0.24166,0.28639,0.31134,0.25266
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,247000,,0.26948,0.24208,0.28608,0.31134,0.25266
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,250000,,0.27012,0.24166,0.2883,0.31199,0.2533
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,252000,,0.26962,0.24187,0.28703,0.31134,0.25266
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,255000,,0.26926,0.24145,0.28639,0.31199,0.25169
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,257000,,0.26941,0.24187,0.28703,0.31069,0.25233
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,262000,,0.26926,0.24166,0.28703,0.31069,0.25201
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,265000,,0.26941,0.24166,0.28608,0.31167,0.25266
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,267000,,0.26962,0.24187,0.28671,0.31167,0.25266
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,270000,,0.26926,0.24166,0.28703,0.31102,0.25169
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,272000,,0.26912,0.24187,0.28608,0.31069,0.25201
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,277000,,0.26898,0.24145,0.28576,0.31102,0.25201
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,280000,,0.26919,0.24166,0.28671,0.31069,0.25201
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,282000,,0.26891,0.24145,0.28608,0.31069,0.25169
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,357000,,0.26898,0.2423,0.28481,0.31069,0.25201
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,362000,,0.26877,0.24208,0.28544,0.31037,0.25105
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,365000,,0.26862,0.24208,0.28481,0.31037,0.25105
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,370000,,0.26898,0.24166,0.28671,0.31004,0.25169
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,372000,,0.26926,0.24208,0.28639,0.31102,0.25169
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,375000,,0.26891,0.24208,0.28608,0.31004,0.25137
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,380000,,0.26877,0.24208,0.28544,0.31102,0.2504
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,382000,,0.26877,0.24208,0.28544,0.31069,0.25072
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,387000,,0.26848,0.24208,0.28417,0.31069,0.25072
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,390000,,0.26891,0.24187,0.28544,0.31069,0.25169
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,392000,,0.26926,0.24208,0.28639,0.31069,0.25201
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,395000,,0.26919,0.24251,0.28513,0.31004,0.25298
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,397000,,0.26862,0.2423,0.28386,0.31069,0.25137
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,400000,,0.26877,0.24187,0.28576,0.30939,0.25201
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,402000,,0.26869,0.24293,0.28259,0.30907,0.25362
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,405000,,0.26834,0.24166,0.28322,0.30972,0.25266
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,407000,,0.2682,0.24123,0.28481,0.31004,0.25072
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,417000,,0.26855,0.24166,0.28449,0.31069,0.25137
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,422000,,0.26877,0.24208,0.28513,0.31037,0.25137
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,442000,,0.26862,0.2423,0.28322,0.31004,0.25266
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,457000,,0.26827,0.24251,0.28354,0.30972,0.25072
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,462000,,0.26827,0.24187,0.28259,0.30972,0.25266
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,467000,,0.26877,0.24187,0.28417,0.31037,0.25266
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,477000,,0.26884,0.24272,0.28322,0.31037,0.25266
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,480000,,0.26855,0.24166,0.28322,0.31102,0.25233
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,482000,,0.26891,0.24187,0.28481,0.31037,0.25266
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,485000,,0.26834,0.24145,0.28449,0.31004,0.25137
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,487000,,0.26869,0.24187,0.28513,0.31069,0.25105
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,490000,,0.26841,0.24166,0.28386,0.31069,0.25137
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,492000,,0.26827,0.24145,0.28481,0.31037,0.2504
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,495000,,0.2682,0.24145,0.28291,0.31069,0.25169
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,500000,,0.26834,0.24123,0.28417,0.31037,0.25169
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,505000,,0.26855,0.24166,0.28544,0.30972,0.25137
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,510000,,0.26877,0.24187,0.28544,0.31004,0.25169
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,515000,,0.26877,0.24166,0.28544,0.31069,0.25137
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,520000,,0.26884,0.24166,0.28576,0.31102,0.25105
pretraining_logs_lr_001_OPTIMIZED_clean_restart,step,525000,,0.26912,0.24187,0.28671,0.31102,0.25105
