model_name,run_type,steps,token_f1,exact_match,bleu,rouge_l,empty_ratio,total_tasks
red-run-t5-base-sci-cp-en-50k-steps-lr00001-clip0_5,red,50000,0.3150044347703583,0.15217391304347827,0.0,0.45506583318125843,0.021739130434782608,46
red-run-t5-base-sci-cp-en-105k-steps-lr00001-clip0_5,red,105000,0.30806274556996444,0.10869565217391304,0.0,0.4356220373815274,0.021739130434782608,46
red-run-t5-base-sci-cp-en-200k-steps-lr00001-clip0_5,red,200000,0.22074782101956014,0.043478260869565216,0.0,0.28189562729772283,0.10869565217391304,46
red-run-t5-base-sci-cp-en-300k-steps-lr00001-clip0_5,red,300000,0.2066102180232615,0.043478260869565216,0.0,0.24794221466341929,0.2826086956521739,46
green-run-t5-base-sci-cp-en-200k-steps-lr0001-clip1,green,200000,0.05386047953183502,0.0,0.0,0.042198067632850236,0.17391304347826086,46
yellow-run-flan-t5-base-sci-cp-en-90k-steps-lr0001-clip1,yellow,90000,0.046563943303073736,0.0,0.0,0.03751440375481296,0.2391304347826087,46
yellow-run-flan-t5-base-sci-cp-en-50k-steps-lr0001-clip1,yellow,50000,0.044340735645083465,0.0,0.0,0.04378248375812094,0.45652173913043476,46
green-run-t5-base-sci-cp-en-655k-steps-lr0001-clip1,green,655000,0.0427536231884058,0.0,0.0,0.028699780544510355,0.15217391304347827,46
yellow-run-flan-t5-base-sci-cp-en-200k-steps-lr0001-clip1,yellow,200000,0.042369043999478787,0.0,0.0,0.02811078360537976,0.2391304347826087,46
red-run-t5-base-sci-cp-en-600k-steps-lr00001-clip0_5,red,600000,0.02898550724637681,0.0,0.0,0.019279399889498068,0.5652173913043478,46
yellow-run-flan-t5-base-sci-cp-en-500k-steps-lr0001-clip1,yellow,500000,0.026509239552717813,0.0,0.0,0.015972255529708945,0.13043478260869565,46
red-run-t5-base-sci-cp-en-500k-steps-lr00001-clip0_5,red,500000,0.024989020641194556,0.0,0.0,0.011756274416120965,0.6086956521739131,46
yellow-run-flan-t5-base-sci-cp-en-295k-steps-lr0001-clip1,yellow,295000,0.02411742846525455,0.0,0.0,0.014390886761153241,0.1956521739130435,46
yellow-run-flan-t5-base-sci-cp-en-600k-steps-lr0001-clip1,yellow,600000,0.022312938553347757,0.0,0.0,0.014159568461141076,0.13043478260869565,46
green-run-t5-base-sci-cp-en-500k-steps-lr0001-clip1,green,500000,0.02054865424430642,0.0,0.0,0.022786505906710507,0.45652173913043476,46
green-run-t5-base-sci-cp-en-50k-steps-lr0001-clip1,green,50000,0.014492753623188404,0.0,0.0,0.019021739130434784,0.6086956521739131,46
green-run-t5-base-sci-cp-en-400k-steps-lr0001-clip1,green,400000,0.014290215140876767,0.0,0.0,0.01173222912353347,0.3695652173913043,46
green-run-t5-base-sci-cp-en-250k-steps-lr0001-clip1,green,250000,0.013285024154589374,0.0,0.0,0.010331917609800408,0.08695652173913043,46
green-run-t5-base-sci-cp-en-295k-steps-lr0001-clip1,green,295000,0.011645962732919258,0.0,0.0,0.013457556935817806,0.5217391304347826,46
yellow-run-flan-t5-base-sci-cp-en-400k-steps-lr0001-clip1,yellow,400000,0.010869565217391304,0.0,0.0,0.01143992883123318,0.13043478260869565,46
green-run-t5-base-sci-cp-en-100k-steps-lr0001-clip1,green,100000,0.0,0.0,0.0,0.002990455991516437,0.717391304347826,46
