model_name,run_type,steps,avg_quality,eval_time_s
green-run-t5-base-sci-cp-en-50k-steps-lr0001-clip1,green,50000,0.22999999999999998,40.46435880661011
green-run-t5-base-sci-cp-en-100k-steps-lr0001-clip1,green,100000,0.25,42.28964972496033
green-run-t5-base-sci-cp-en-200k-steps-lr0001-clip1,green,200000,0.32,43.73937702178955
green-run-t5-base-sci-cp-en-250k-steps-lr0001-clip1,green,250000,0.28250000000000003,43.76451802253723
green-run-t5-base-sci-cp-en-295k-steps-lr0001-clip1,green,295000,0.27999999999999997,44.33751058578491
green-run-t5-base-sci-cp-en-400k-steps-lr0001-clip1,green,400000,0.23000000000000004,43.98733854293823
green-run-t5-base-sci-cp-en-500k-steps-lr0001-clip1,green,500000,0.24000000000000005,41.69034385681152
green-run-t5-base-sci-cp-en-655k-steps-lr0001-clip1,green,655000,0.2125,44.01374077796936
red-run-t5-base-sci-cp-en-50k-steps-lr00001-clip0_5,red,50000,0.8171428571428571,13.572865009307861
red-run-t5-base-sci-cp-en-105k-steps-lr00001-clip0_5,red,105000,0.6799999999999999,18.485294580459595
red-run-t5-base-sci-cp-en-200k-steps-lr00001-clip0_5,red,200000,0.4800000000000001,33.04707932472229
red-run-t5-base-sci-cp-en-300k-steps-lr00001-clip0_5,red,300000,0.30000000000000004,35.76732921600342
red-run-t5-base-sci-cp-en-500k-steps-lr00001-clip0_5,red,500000,0.14,46.88212442398071
red-run-t5-base-sci-cp-en-600k-steps-lr00001-clip0_5,red,600000,0.16,47.37467956542969
yellow-run-flan-t5-base-sci-cp-en-50k-steps-lr0001-clip1,yellow,50000,0.16,47.761051177978516
yellow-run-flan-t5-base-sci-cp-en-90k-steps-lr0001-clip1,yellow,90000,0.16,47.96078681945801
yellow-run-flan-t5-base-sci-cp-en-200k-steps-lr0001-clip1,yellow,200000,0.25000000000000006,49.33764600753784
yellow-run-flan-t5-base-sci-cp-en-295k-steps-lr0001-clip1,yellow,295000,0.31285714285714283,48.46874451637268
yellow-run-flan-t5-base-sci-cp-en-400k-steps-lr0001-clip1,yellow,400000,0.24,47.89766192436218
yellow-run-flan-t5-base-sci-cp-en-500k-steps-lr0001-clip1,yellow,500000,0.27999999999999997,48.403128147125244
yellow-run-flan-t5-base-sci-cp-en-600k-steps-lr0001-clip1,yellow,600000,0.43428571428571433,49.70352125167847
