task,dataset,metric_1,baseline_score_1,metric_2,baseline_score_2,pretrained_score_1,pretrained_score_2,diff_score_1,diff_score_2,rel_improve_1,rel_improve_2
ner,bc5cdr,micro F1,,macro F1,0.9439717090820589,,0.9380792134795436,,-0.0058924956025152575,,-0.6242237501212048
ner,JNLPBA,micro F1,,macro F1,0.2816486863591071,,0.0003719776809672,,-0.2812767086781399,,-99.86792848716046
ner,NCBI-disease,micro F1,,macro F1,0.8785206253901496,,0.751575157043737,,-0.12694546834641263,,-14.449913260720127
ner,sciie,micro F1,,macro F1,0.3315364321044929,,0.5137198014377734,,0.1821833693332805,,54.95123663388534
pico,ebmnlp,micro F1,0.9479239341085272,macro F1,0.3899939654295135,0.9470760658914728,0.473652687660712,-0.0008478682170544038,0.08365872223119852,-0.08944475253194019,21.451286339536654
rel,chemprot,micro F1,0.4966849236091092,macro F1,0.1668438236743088,0.3609109253387144,0.0441996752100543,-0.13577399827039482,-0.1226441484642545,-27.336041787579784,-73.50835395840888
rel,sciie-relation-extraction,micro F1,0.5646817248459959,macro F1,0.1454571629773786,0.5472279260780287,0.1010522324390937,-0.017453798767967155,-0.0444049305382849,-3.0909090909090926,-30.527840382251043
cls,citation_intent,micro F1,0.5539568345323741,macro F1,0.1771906254664875,0.4964028776978417,0.110576923076923,-0.057553956834532405,-0.0666137023895645,-10.389610389610397,-37.59437171926645
cls,mag,micro F1,0.7389615607839636,macro F1,0.7381158789736473,0.6988704852895219,0.6982540192074856,-0.040091075494441686,-0.039861859766161634,-5.425326244562586,-5.400488040115014
cls,sci-cite,micro F1,0.8613648576034391,macro F1,0.8424415957153496,0.5368081676518001,0.2349230191802146,-0.324556689951639,-0.607518576535135,-37.67935121646913,-72.11402898728755
dep,genia,uas,0.1682426555178316,las,0.0603832879710429,0.1173433598024635,0.0349897584107298,-0.050899295715368095,-0.0253935295603131,-30.25350233488998,-42.05390334572488
