run_type,checkpoint_type,step,ppl,mmlu_overall,mmlu_humanities,mmlu_stem,mmlu_social_sciences,mmlu_other
baseline,baseline,0,,0.33806,0.33688,0.27434,0.36984,0.37303
baseline,baseline,0,,0.22995,0.24166,0.21313,0.21937,0.23978
flan_t5,step,25000,,0.26891,0.24166,0.28608,0.31069,0.25137
flan_t5,step,30000,,0.22945,0.24208,0.2125,0.21709,0.23978
flan_t5,step,35000,,0.25488,0.26397,0.26673,0.24082,0.243
flan_t5,step,40000,,0.25367,0.2695,0.26102,0.23822,0.23753
flan_t5,step,45000,,0.26891,0.24187,0.28639,0.30907,0.25233
flan_t5,best,50000,13.86,0.2516,0.26461,0.25848,0.23659,0.23978
flan_t5,best,52000,1385.08,0.25509,0.2712,0.26261,0.23789,0.2401
flan_t5,best,55000,1384.03,0.25509,0.2712,0.26261,0.23789,0.2401
flan_t5,best,57000,1382.78,0.26891,0.24166,0.28608,0.31069,0.25137
flan_t5,best,60000,13.82,0.25317,0.23358,0.25912,0.25674,0.27325
flan_t5,best,62000,1381.29,0.24833,0.24676,0.24009,0.23659,0.27068
flan_t5,best,65000,1380.33,0.24662,0.24506,0.23882,0.23464,0.26875
flan_t5,best,67000,1379.71,0.26805,0.2423,0.281,0.31004,0.25233
flan_t5,best,70000,1379.19,0.26642,0.2423,0.28354,0.30322,0.24911
flan_t5,best,72000,1377.91,0.26884,0.24166,0.28576,0.31069,0.25137
flan_t5,best,75000,1377.35,0.2677,0.24102,0.28481,0.30712,0.25169
flan_t5,best,77000,1376.65,0.26891,0.24208,0.28576,0.31037,0.25137
flan_t5,best,80000,1376.28,0.25004,0.26823,0.2458,0.23399,0.24268
flan_t5,best,82000,1375.85,0.25374,0.26823,0.26324,0.23757,0.23817
flan_t5,best,85000,1374.99,0.26449,0.24102,0.27783,0.29217,0.25909
flan_t5,best,87000,1374.16,0.23216,0.23953,0.21916,0.22554,0.24075
flan_t5,best,90000,1373.97,0.26891,0.24145,0.28608,0.31069,0.25169
flan_t5,step,115000,,0.24655,0.24506,0.23882,0.23432,0.26875
flan_t5,step,120000,,0.23401,0.24038,0.21884,0.22392,0.24976
flan_t5,step,125000,,0.25509,0.27141,0.26261,0.23757,0.2401
flan_t5,step,130000,,0.24655,0.24506,0.23882,0.23432,0.26875
flan_t5,best,135000,1368.51,0.25979,0.23953,0.26958,0.29022,0.2504
flan_t5,step,140000,,0.25388,0.25951,0.25119,0.23887,0.26295
flan_t5,best,142000,1368.37,0.24633,0.24421,0.23914,0.23399,0.26907
flan_t5,best,145000,1367.99,0.23038,0.2423,0.21662,0.21937,0.23721
flan_t5,best,147000,1367.61,0.24434,0.24506,0.24389,0.23107,0.25684
flan_t5,best,150000,1367.25,0.24619,0.24506,0.23819,0.23464,0.26746
flan_t5,best,152000,1367.17,0.22981,0.24166,0.21376,0.21839,0.23946
flan_t5,best,155000,1367.46,0.26627,0.24931,0.27593,0.30257,0.24622
flan_t5,best,157000,1367.94,0.22945,0.24208,0.2125,0.21709,0.23978
flan_t5,best,160000,1366.25,0.24655,0.24506,0.23882,0.23432,0.26875
flan_t5,best,162000,136.62,0.26456,0.24995,0.27593,0.29899,0.24107
flan_t5,step,190000,,0.27574,0.24378,0.28639,0.30744,0.28194
flan_t5,step,195000,,0.26357,0.23868,0.26863,0.29899,0.26102
flan_t5,step,200000,,0.26428,0.24038,0.27878,0.30289,0.24751
flan_t5,step,205000,,0.26891,0.24166,0.28608,0.31069,0.25137
flan_t5,best,207000,1364.24,0.26891,0.24187,0.28608,0.31069,0.25105
flan_t5,step,210000,,0.25951,0.24463,0.25595,0.30289,0.24268
flan_t5,best,212000,1364.21,0.25082,0.24888,0.25468,0.23757,0.26295
flan_t5,best,215000,1364.37,0.23067,0.24825,0.21123,0.22002,0.23431
flan_t5,best,217000,1363.91,0.23807,0.23932,0.23216,0.24472,0.2356
flan_t5,step,220000,,0.24192,0.25377,0.22645,0.23334,0.24815
flan_t5,best,222000,1364.04,0.23252,0.24081,0.2236,0.21319,0.24815
flan_t5,best,225000,1363.69,0.25509,0.27141,0.26197,0.23757,0.24075
flan_t5,best,227000,1363.91,0.26378,0.25781,0.28069,0.26942,0.25008
flan_t5,step,230000,,0.26642,0.23996,0.28069,0.28859,0.27004
flan_t5,best,232000,1362.91,0.24662,0.24506,0.23914,0.23432,0.26875
flan_t5,best,235000,1362.85,0.25388,0.27014,0.26039,0.23854,0.23785
flan_t5,best,237000,1361.84,0.24555,0.24867,0.24675,0.23529,0.24976
flan_t5,step,250000,,0.22945,0.24187,0.21281,0.21709,0.23978
flan_t5,step,255000,,0.26656,0.24782,0.26768,0.28534,0.27519
flan_t5,step,260000,,0.25509,0.2712,0.26261,0.23789,0.2401
flan_t5,step,265000,,0.25474,0.2423,0.25563,0.26519,0.26231
flan_t5,best,267000,1362.71,0.2296,0.24357,0.21154,0.21709,0.23914
flan_t5,best,270000,1362.41,0.24655,0.24506,0.23882,0.23432,0.26875
flan_t5,best,275000,1362.71,0.26698,0.24995,0.2772,0.29477,0.25491
flan_t5,best,277000,1362.29,0.26969,0.24208,0.28703,0.31102,0.25298
flan_t5,best,280000,1362.55,0.25431,0.24527,0.24707,0.29217,0.23785
flan_t5,best,282000,1362.48,0.26891,0.24166,0.28608,0.31069,0.25137
flan_t5,step,285000,,0.25089,0.26419,0.25753,0.23269,0.24203
