run_type,checkpoint_type,step,ppl,mmlu_overall,mmlu_humanities,mmlu_stem,mmlu_social_sciences,mmlu_other
green_run,step,5000,,0.22945,0.24166,0.21218,0.21839,0.23946
green_run,step,10000,,0.22938,0.2423,0.21186,0.21709,0.23978
green_run,step,15000,,0.22953,0.2423,0.2125,0.21709,0.23978
green_run,step,20000,,0.22938,0.24187,0.2125,0.21709,0.23978
green_run,step,25000,,0.22974,0.24272,0.2125,0.21742,0.23978
green_run,step,30000,,0.22988,0.24293,0.21345,0.21742,0.23914
green_run,step,35000,,0.23059,0.24208,0.21472,0.21742,0.24236
green_run,step,40000,,0.23138,0.23974,0.2163,0.22652,0.23882
green_run,step,45000,,0.23572,0.24378,0.21725,0.23757,0.24042
green_run,step,50000,,0.22903,0.24081,0.21281,0.21709,0.23946
green_run,step,55000,,0.23821,0.25016,0.21979,0.22912,0.24783
green_run,step,60000,,0.24021,0.25632,0.2236,0.22099,0.25169
green_run,step,65000,,0.23309,0.24336,0.21916,0.22457,0.2401
green_run,step,70000,,0.24947,0.24421,0.25626,0.25057,0.24944
green_run,step,75000,,0.24448,0.24378,0.24389,0.23562,0.25491
green_run,step,80000,,0.24064,0.23868,0.25531,0.23107,0.23817
green_run,step,85000,,0.23807,0.23741,0.22962,0.23497,0.25072
green_run,step,90000,,0.23594,0.23741,0.22835,0.23139,0.2459
green_run,step,95000,,0.24704,0.24931,0.2385,0.24407,0.25523
green_run,step,100000,,0.24327,0.24102,0.22931,0.24797,0.2562
green_run,step,105000,,0.23743,0.25058,0.21852,0.22652,0.24751
green_run,step,110000,,0.24056,0.24548,0.23121,0.23334,0.24976
green_run,step,115000,,0.25196,0.24081,0.24675,0.27364,0.25266
green_run,step,120000,,0.23871,0.24315,0.23723,0.22782,0.24429
green_run,step,125000,,0.24242,0.24336,0.23914,0.23497,0.25169
green_run,step,130000,,0.23821,0.24633,0.2236,0.22879,0.25008
green_run,step,135000,,0.2412,0.23762,0.24453,0.23822,0.24622
green_run,step,140000,,0.23921,0.24102,0.23406,0.23594,0.24493
green_run,step,145000,,0.24149,0.24145,0.24041,0.23887,0.24525
green_run,step,150000,,0.24491,0.23804,0.25531,0.24147,0.24815
green_run,step,155000,,0.23672,0.24527,0.22677,0.23172,0.23882
green_run,step,160000,,0.2417,0.24973,0.2274,0.23139,0.25426
green_run,step,165000,,0.23522,0.23974,0.22106,0.22717,0.25072
green_run,step,170000,,0.23572,0.24187,0.22582,0.22652,0.24557
green_run,step,175000,,0.24284,0.24017,0.24041,0.24212,0.25008
green_run,step,180000,,0.23864,0.24506,0.23533,0.22619,0.24461
green_run,step,205000,,0.24263,0.25037,0.23438,0.23822,0.24364
green_run,step,210000,,0.23601,0.24761,0.22106,0.23529,0.23431
green_run,step,215000,,0.23252,0.23209,0.22296,0.23984,0.2356
green_run,step,220000,,0.25132,0.23741,0.25024,0.26422,0.2607
green_run,step,225000,,0.24704,0.23783,0.24453,0.27397,0.23688
green_run,step,230000,,0.24384,0.24463,0.23945,0.23984,0.25105
